method,cIoU,AUC,mean_sample_cIoU,num_samples
AUD_FINE,0.42690965490500193,0.42295463357890656,0.42293451522094005,5158
SLOT_L4_7,0.21442419542458316,0.3472179139201241,0.3466343631075107,5158
SLOT_L4_HR14,0.20104691740984879,0.3448914307871268,0.3442475445837555,5158
AUD_SLOT_L4_7,0.38580845288871657,0.4157231485071734,0.4151921720889653,5158
AUD_SLOT_L4_HR14,0.37766576192322604,0.41749709189608375,0.4171204313267065,5158
OBJ_PRIOR,0.34780922838309425,0.3924195424583172,0.3914037623400056,5158
OGL,0.4569600620395502,0.44010275300504076,0.440186748823337,5158
