epoch,learning_rate,epoch_seconds,loss_aud_coarse,loss_aud_equiv,loss_img_coarse,loss_total,mean_valid_ratio,skipped_small_overlap_samples,actual_flip_ratio,mean_crop_scale,grad_norm_aud,grad_norm_img,grad_norm_ratio,grad_cosine,negative_grad_cosine_ratio,gradient_diagnostic_batches,aud_l4_ciou,aud_l4_auc,aud_fine_ciou,aud_fine_auc,img_l4_ciou,img_l4_auc,img_fine_ciou,img_fine_auc,iqr_fine_ciou,iqr_fine_auc
1,5e-05,10.92464280128479,0.00010393986117261916,0.001049495270798126,0.0001319503474708957,0.001285385468807549,0.6613852442839206,0,0.49499198717948717,0.7765732086621798,9.329373662823762e-05,9.274255950818754e-05,0.9899100788079342,-0.6177452915383493,1.0,2,0.764,0.5916000000000001,0.784,0.6029999999999999,0.752,0.5890000000000001,0.768,0.603,0.768,0.6032
2,5e-05,8.300950527191162,0.00011122630791923699,0.00098610172370592,0.00011793260973018523,0.0012152606370643927,0.6619407259500943,0,0.4980969551282051,0.7780380340722891,0.0001420597317787415,0.00013413832847807125,0.9428826973430148,-0.7932536431556099,1.0,2,0.764,0.5916000000000001,0.788,0.607,0.752,0.5890000000000001,0.772,0.6084,0.78,0.6076
3,5e-05,8.343519449234009,0.00013709844475110562,0.0009039938793135568,0.00011384698192183024,0.0011549393127027613,0.6626372536023458,0,0.5029046474358975,0.7779760162035624,0.0001797831278118473,0.00014580895229081997,0.8197354101463294,-0.8667426567194056,1.0,2,0.764,0.5916000000000001,0.796,0.6082000000000001,0.752,0.5890000000000001,0.772,0.6092,0.792,0.6093999999999999
4,5e-05,9.562113285064697,0.00015873859154406743,0.0008462402351702062,0.00010462561234210928,0.0011096044312207363,0.6635315418243408,0,0.49819711538461536,0.7800724475811689,0.0001650576276441776,0.00014405659073594417,0.872487224210067,-0.7710988531906481,1.0,2,0.764,0.5916000000000001,0.796,0.6108,0.752,0.5890000000000001,0.784,0.6077999999999999,0.792,0.612
5,5e-05,9.453542709350586,0.00018002682974418768,0.0008293064520097313,9.615178789364365e-05,0.001105485072072882,0.6616576237556262,0,0.5052083333333334,0.7775517946634537,0.00017255524337666264,0.00012160582730285898,0.7235954080829937,-0.7539764629606618,1.0,2,0.764,0.5916000000000001,0.804,0.6116,0.752,0.5890000000000001,0.78,0.6056,0.784,0.6116
6,5e-05,8.369979619979858,0.00019404325165594809,0.0008030446344771638,9.155798183294396e-05,0.0010886458629288543,0.6625743982119437,0,0.49779647435897434,0.7790254461459625,0.00018926746852992787,0.00013153530587292213,0.6945394361089638,-0.6200238476115703,1.0,2,0.764,0.5916000000000001,0.804,0.6136,0.752,0.5890000000000001,0.784,0.6064,0.792,0.6126
7,5e-05,8.590982675552368,0.0001995127777963017,0.000779700835641378,8.793366578174755e-05,0.001067147276794108,0.6635044599190737,0,0.5028044871794872,0.7798153146719321,0.0001857969988798239,0.00011076503181972966,0.6020166752277494,-0.7685249867946717,1.0,2,0.764,0.5916000000000001,0.8,0.6128,0.752,0.5890000000000001,0.788,0.6066,0.788,0.6126
8,5e-05,9.55376648902893,0.00020511865053170672,0.000782734004016488,8.595970706291831e-05,0.0010738123584395419,0.6609846002016312,0,0.49619391025641024,0.7765481701264014,0.00015177054250940504,0.000106326467355269,0.7015225413048359,-0.6009321323723161,1.0,2,0.764,0.5916000000000001,0.8,0.6128,0.752,0.5890000000000001,0.784,0.6052,0.788,0.6116
9,5e-05,9.295038223266602,0.00020799022623134824,0.0007736199171258471,8.460297697008803e-05,0.0010662131124916368,0.6620756357144086,0,0.4996995192307692,0.7785199926449702,0.0001397889110540202,0.00013262056822898135,0.9481630691501894,-0.46803802016266055,1.0,2,0.764,0.5916000000000001,0.8,0.613,0.752,0.5890000000000001,0.784,0.6062000000000001,0.788,0.6126
10,5e-05,8.581820249557495,0.00021017896823393993,0.0007664586465137127,8.326522611941282e-05,0.0010599028438520737,0.6626561620296576,0,0.5004006410256411,0.7789313136002957,0.00015184184839604238,0.00010509870354728863,0.7048484743142676,-0.42029318917603364,1.0,2,0.764,0.5916000000000001,0.8,0.6126,0.752,0.5890000000000001,0.784,0.6056,0.784,0.6124
11,5e-05,8.597977638244629,0.0002085180984487614,0.0007571711366136486,8.246798731703073e-05,0.0010481572184616174,0.6626377671192853,0,0.5043068910256411,0.7787732527806208,0.00013524008796736653,0.0001285457958651111,0.9532014457526005,-0.4445018042742138,1.0,2,0.764,0.5916000000000001,0.804,0.614,0.752,0.5890000000000001,0.784,0.606,0.788,0.6128
