dataset,split,checkpoint,method,native_resolution,tau_aff,alpha,cIoU,AUC,mean_sample_cIoU,num_samples,delta_cIoU_vs_AUD,delta_AUC_vs_AUD
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,AUD_L4,7x7,,,0.804,0.6228,0.6219058408403154,250,0.0,0.0
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_AFFINITY,14x14,0.05,,0.0,0.028000000000000004,0.014104686608784415,250,-0.804,-0.5948
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.05,0.25,0.0,0.028000000000000004,0.014162163643435765,250,-0.804,-0.5948
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.05,0.25,0.0,0.055200000000000006,0.04710551748198581,250,-0.804,-0.5676
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.05,0.5,0.0,0.028000000000000004,0.014320873123640766,250,-0.804,-0.5948
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.05,0.5,0.0,0.0562,0.04854768098837295,250,-0.804,-0.5666
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.05,0.75,0.0,0.028200000000000003,0.015174671329358841,250,-0.804,-0.5946
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.05,0.75,0.0,0.06340000000000001,0.056098528315520695,250,-0.804,-0.5594
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_AFFINITY,14x14,0.1,,0.0,0.04460000000000001,0.03741553868729343,250,-0.804,-0.5782
flickr,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_144k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.1,0.25,0.0,0.04540000000000001,0.038316929200805094,250,-0.804,-0.5774
