dataset,group,seed,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
vggss,C0,12345,0,-0BIyqJj9ZU_000030,FP,0.4170989990234375,0.33780972195952336,5287
vggss,C0,12345,0,-0BIyqJj9ZU_000030,NearFP,0.505218505859375,0.45257518568123706,8213
vggss,C0,12345,0,-0BIyqJj9ZU_000030,FarFP,0.3110504150390625,0.1830850552618933,4162
vggss,C0,12345,0,-0BIyqJj9ZU_000030,HighAUDFP,0.41716746794871795,0.3395402298850575,4350
vggss,C0,12345,1,-0UuUoXQUoI_000107,FP,0.59307861328125,0.5401809473124002,5637
vggss,C0,12345,1,-0UuUoXQUoI_000107,NearFP,0.584686279296875,0.5429131054131054,5616
vggss,C0,12345,1,-0UuUoXQUoI_000107,FarFP,,,0
vggss,C0,12345,1,-0UuUoXQUoI_000107,HighAUDFP,0.35078125,0.4636363636363636,110
vggss,C0,12345,2,-2-wdcN5vOw_000017,FP,0.3901214599609375,0.39543954395439546,3333
vggss,C0,12345,2,-2-wdcN5vOw_000017,NearFP,0.3946075439453125,0.398038049940547,3364
vggss,C0,12345,2,-2-wdcN5vOw_000017,FarFP,,,0
vggss,C0,12345,2,-2-wdcN5vOw_000017,HighAUDFP,,,0
vggss,C0,12345,3,-23CeprtibU_000030,FP,0.6927490234375,0.6366569861245563,3099
vggss,C0,12345,3,-23CeprtibU_000030,NearFP,0.5828704833984375,0.5826508947528056,6594
vggss,C0,12345,3,-23CeprtibU_000030,FarFP,0.8053436279296875,0.6851851851851852,1782
vggss,C0,12345,3,-23CeprtibU_000030,HighAUDFP,0.7623922413793104,0.8515950069348127,721
vggss,C0,12345,4,-2Dm0VjW8oM_000001,FP,0.2880096435546875,0.13803263825929285,4412
vggss,C0,12345,4,-2Dm0VjW8oM_000001,NearFP,0.28985595703125,0.16101159114857744,4745
vggss,C0,12345,4,-2Dm0VjW8oM_000001,FarFP,,,0
vggss,C0,12345,4,-2Dm0VjW8oM_000001,HighAUDFP,0.08525126689189189,0.17973333333333333,1875
vggss,C0,12345,5,-2sOH8XovEE_000484,FP,0.51226806640625,0.20940514469453375,4976
vggss,C0,12345,5,-2sOH8XovEE_000484,NearFP,0.5647430419921875,0.27858372264568476,8134
vggss,C0,12345,5,-2sOH8XovEE_000484,FarFP,0.364990234375,0.0646874245715665,4143
vggss,C0,12345,5,-2sOH8XovEE_000484,HighAUDFP,0.3210392441860465,0.21012238124870358,4821
vggss,C0,12345,6,-3Kv4fdm7Uk_000030,FP,0.875244140625,0.4918711203074195,3383
vggss,C0,12345,6,-3Kv4fdm7Uk_000030,NearFP,0.8138427734375,0.4816117216117216,6825
vggss,C0,12345,6,-3Kv4fdm7Uk_000030,FarFP,0.9669342041015625,0.7711738484398217,673
vggss,C0,12345,6,-3Kv4fdm7Uk_000030,HighAUDFP,0.4521748310810811,0.33114446529080677,2132
vggss,C0,12345,7,-4bPiXbovf0_000008,FP,0.0794525146484375,0.08159523263809305,4363
vggss,C0,12345,7,-4bPiXbovf0_000008,NearFP,0.1478118896484375,0.1710696471457602,5413
vggss,C0,12345,7,-4bPiXbovf0_000008,FarFP,0.0175323486328125,0.0,3156
vggss,C0,12345,7,-4bPiXbovf0_000008,HighAUDFP,0.12653459821428573,0.18037135278514588,754
vggss,C0,12345,8,-5CGQGSFGyg_000060,FP,0.710052490234375,0.17440912795436023,3681
vggss,C0,12345,8,-5CGQGSFGyg_000060,NearFP,0.716888427734375,0.24235711120957024,4514
vggss,C0,12345,8,-5CGQGSFGyg_000060,FarFP,0.7409820556640625,0.0016565433462175593,1811
vggss,C0,12345,8,-5CGQGSFGyg_000060,HighAUDFP,0.4896399456521739,0.4601873536299766,854
vggss,C0,12345,9,-5z9IXBJefc_000227,FP,0.3745269775390625,0.6874354561101549,2905
vggss,C0,12345,9,-5z9IXBJefc_000227,NearFP,0.2919464111328125,0.6291626252828969,3093
vggss,C0,12345,9,-5z9IXBJefc_000227,FarFP,0.499420166015625,0.8667392883079158,2754
vggss,C0,12345,9,-5z9IXBJefc_000227,HighAUDFP,0.18526041666666668,0.7485029940119761,1002
vggss,C0,12345,10,-79qo5MUYBk_000207,FP,0.5135955810546875,0.5713962434940032,4419
vggss,C0,12345,10,-79qo5MUYBk_000207,NearFP,0.4687347412109375,0.5862726406101049,5245
vggss,C0,12345,10,-79qo5MUYBk_000207,FarFP,0.537078857421875,0.597186034392913,3838
vggss,C0,12345,10,-79qo5MUYBk_000207,HighAUDFP,0.25171875,0.34534534534534533,2331
vggss,C0,12345,11,-7TanrCbmME_000030,FP,0.413482666015625,0.43901569186875894,2804
vggss,C0,12345,11,-7TanrCbmME_000030,NearFP,0.2882080078125,0.051610399689561506,2577
vggss,C0,12345,11,-7TanrCbmME_000030,FarFP,0.4928436279296875,0.5521766965428937,3124
vggss,C0,12345,11,-7TanrCbmME_000030,HighAUDFP,0.28994030898876405,0.3377777777777778,450
vggss,C0,12345,12,-7sg--aJdrc_000049,FP,0.7559967041015625,0.7697784810126582,5056
vggss,C0,12345,12,-7sg--aJdrc_000049,NearFP,0.5279388427734375,0.706448033534706,8111
vggss,C0,12345,12,-7sg--aJdrc_000049,FarFP,0.8016204833984375,0.763584366062917,4196
vggss,C0,12345,12,-7sg--aJdrc_000049,HighAUDFP,0.5385320216049383,0.7662012173290369,2793
vggss,C0,12345,13,-7tYmeOmsRg_000058,FP,0.45611572265625,0.33446485623003197,5008
vggss,C0,12345,13,-7tYmeOmsRg_000058,NearFP,0.2963104248046875,0.10746309835839427,7249
vggss,C0,12345,13,-7tYmeOmsRg_000058,FarFP,0.54400634765625,0.47869354427149785,3919
vggss,C0,12345,13,-7tYmeOmsRg_000058,HighAUDFP,0.1643455615942029,0.032593933906745136,2209
vggss,C0,12345,14,-7tYmeOmsRg_000180,FP,0.662078857421875,0.7245524979962596,11229
vggss,C0,12345,14,-7tYmeOmsRg_000180,NearFP,0.6054229736328125,0.5661955006967947,10046
vggss,C0,12345,14,-7tYmeOmsRg_000180,FarFP,0.7102813720703125,0.8560938479448374,11167
vggss,C0,12345,14,-7tYmeOmsRg_000180,HighAUDFP,0.6850368232484076,0.700956450956451,9828
vggss,C0,12345,15,-86gl1hp1Aw_000105,FP,0.835174560546875,0.5893488137304391,3962
vggss,C0,12345,15,-86gl1hp1Aw_000105,NearFP,0.8192596435546875,0.6264009962640099,4818
vggss,C0,12345,15,-86gl1hp1Aw_000105,FarFP,0.8555755615234375,0.27623318385650225,1115
vggss,C0,12345,15,-86gl1hp1Aw_000105,HighAUDFP,0.5490451388888888,0.4074074074074074,405
vggss,C0,12345,16,-8cgbhIR_pw_000030,FP,0.664154052734375,0.4630776560266794,6297
vggss,C0,12345,16,-8cgbhIR_pw_000030,NearFP,0.4259796142578125,0.3938405797101449,8280
vggss,C0,12345,16,-8cgbhIR_pw_000030,FarFP,0.8401641845703125,0.669919036744862,4817
vggss,C0,12345,16,-8cgbhIR_pw_000030,HighAUDFP,0.3440139358108108,0.4039408866995074,2030
vggss,C0,12345,17,-A3zsFeU_OI_000030,FP,0.232940673828125,0.25893805309734513,5650
vggss,C0,12345,17,-A3zsFeU_OI_000030,NearFP,0.3825531005859375,0.3742612011439466,5245
vggss,C0,12345,17,-A3zsFeU_OI_000030,FarFP,0.157440185546875,0.25138467035912093,5597
vggss,C0,12345,17,-A3zsFeU_OI_000030,HighAUDFP,0.16666666666666666,0.07537399309551208,1738
vggss,C0,12345,18,-ANxUxvGASw_000010,FP,0.692047119140625,0.605573176257363,4414
vggss,C0,12345,18,-ANxUxvGASw_000010,NearFP,0.5097503662109375,0.5082553659878921,18170
vggss,C0,12345,18,-ANxUxvGASw_000010,FarFP,0.8011016845703125,0.7364532019704434,406
vggss,C0,12345,18,-ANxUxvGASw_000010,HighAUDFP,0.6774259868421053,0.605573176257363,4414
vggss,C0,12345,19,-ByoSbgzr4M_000000,FP,0.7117462158203125,0.6062621224715988,3609
vggss,C0,12345,19,-ByoSbgzr4M_000000,NearFP,0.7076263427734375,0.6061115783571629,3567
vggss,C0,12345,19,-ByoSbgzr4M_000000,FarFP,,,0
vggss,C0,12345,19,-ByoSbgzr4M_000000,HighAUDFP,0.039162660256410256,0.14827201783723523,897
vggss,C0,12345,20,-CZ1LIc8aos_000020,FP,0.6117095947265625,0.11532125205930807,3642
vggss,C0,12345,20,-CZ1LIc8aos_000020,NearFP,0.5099334716796875,0.17809466019417475,6592
vggss,C0,12345,20,-CZ1LIc8aos_000020,FarFP,0.683135986328125,0.0,885
vggss,C0,12345,20,-CZ1LIc8aos_000020,HighAUDFP,0.1400462962962963,0.14420062695924765,1595
vggss,C0,12345,21,-Cr0WQoFQQs_000045,FP,0.5280914306640625,0.6098993288590604,4768
vggss,C0,12345,21,-Cr0WQoFQQs_000045,NearFP,0.5712127685546875,0.6112342941611234,8118
vggss,C0,12345,21,-Cr0WQoFQQs_000045,FarFP,0.3701324462890625,0.2840909090909091,176
vggss,C0,12345,21,-Cr0WQoFQQs_000045,HighAUDFP,0.6014246323529412,0.603950103950104,3848
vggss,C0,12345,22,-Cv3gOXEoxA_000040,FP,0.30804443359375,0.2501912777352716,7842
vggss,C0,12345,22,-Cv3gOXEoxA_000040,NearFP,0.360382080078125,0.37350127164829844,8257
vggss,C0,12345,22,-Cv3gOXEoxA_000040,FarFP,0.245574951171875,0.15690946221919674,5876
vggss,C0,12345,22,-Cv3gOXEoxA_000040,HighAUDFP,0.1874202806122449,0.42342342342342343,1221
vggss,C0,12345,23,-D64b_8YJK4_000046,FP,0.523681640625,0.6611873102292953,9551
vggss,C0,12345,23,-D64b_8YJK4_000046,NearFP,0.5261993408203125,0.6504668274284301,16173
vggss,C0,12345,23,-D64b_8YJK4_000046,FarFP,0.543060302734375,0.7846829880728186,1593
vggss,C0,12345,23,-D64b_8YJK4_000046,HighAUDFP,0.5251183712121212,0.6611873102292953,9551
vggss,C0,12345,24,-E5o64ACjm0_000017,FP,0.7920074462890625,0.8098124644819095,5279
vggss,C0,12345,24,-E5o64ACjm0_000017,NearFP,0.784881591796875,0.6971313418681839,8436
