dataset,model,sample_index,sample_id,gt_response,nearfp_response,farfp_response,background_response,gt_nearfp_gap,gt_vs_nearfp_auroc,wrong_gt_response,wrong_nearfp_response,matched_minus_wrong_gt,matched_minus_wrong_nearfp,counterfactual_gt_nearfp_gap,counterfactual_gt_vs_nearfp_auroc,counterfactual_gt_vs_nearfp_conditional_auroc,counterfactual_gt_vs_nearfp_conditional_pairs,iou,precision,coverage,pred_area_ratio,fp_area_ratio,AddTP,AddFP,RemoveTP,RemoveFP,addtp_rate_vs_baseline_fn,removefp_rate_vs_baseline_fp,scale
vggss,baseline,0,-0BIyqJj9ZU_000030,0.8528103828430176,0.8404674530029297,0.6315790414810181,0.5915617346763611,0.01234292984008789,0.6773529052734375,0.8317036628723145,0.8067042231559753,4.836429070564918e-06,2.4796685465844348e-05,-1.996025639527943e-05,0.364410400390625,0.19649698960043788,7308,0.33245049817127004,0.35001991767361573,0.8688200395517469,0.6003667091836735,0.39022640306122447,0,0,0,0,0.0,0.0,10k
vggss,baseline,1,-0UuUoXQUoI_000107,0.8241803646087646,0.7775445580482483,,0.6198204159736633,0.04663580656051636,0.6072235107421875,0.8320761919021606,0.7696986794471741,-4.447589162737131e-06,7.342890967265703e-06,-1.1790480130002834e-05,0.424896240234375,0.14618739660099264,6649,0.34938899040657834,0.35501465084568745,0.9566135084427767,0.6869618941326531,0.44308035714285715,0,0,0,0,0.0,0.0,10k
vggss,baseline,2,-2-wdcN5vOw_000017,0.6053423285484314,0.8018673658370972,,0.5371570587158203,-0.19652503728866577,0.2345123291015625,0.6146523356437683,0.7779055833816528,-1.1229340088902973e-05,2.9419546990538947e-05,-4.064888707944192e-05,0.1813507080078125,0.0513347022587269,4383,0.5153682869879006,0.8979916410844399,0.5474161255411255,0.5388432716836735,0.054966517857142856,0,0,0,0,0.0,0.0,10k
vggss,baseline,3,-23CeprtibU_000030,0.5994716286659241,0.6347631216049194,0.644412100315094,0.5814716219902039,-0.03529149293899536,0.3672637939453125,0.5785290002822876,0.6236484050750732,9.127277735387906e-06,-1.6546273400308564e-06,1.0781905075418763e-05,0.5583038330078125,0.46974293469583267,6263,0.2612086366138602,0.3180531764355403,0.5937434827945777,0.5351961096938775,0.3649752869897959,0,0,0,0,0.0,0.0,10k
vggss,baseline,4,-2Dm0VjW8oM_000001,0.7884971499443054,0.7848284244537354,,0.5069498419761658,0.0036687254905700684,0.55889892578125,0.7986384630203247,0.7823376059532166,4.332050593802705e-06,2.1875886886846274e-05,-1.754383629304357e-05,0.28395843505859375,0.1438245727184779,6202,0.633421052631579,0.7072131629205229,0.858569645086499,0.5426498724489796,0.15888073979591838,0,0,0,0,0.0,0.0,10k
vggss,baseline,5,-2sOH8XovEE_000484,0.8700644969940186,0.8355123996734619,0.7159198522567749,0.5821983218193054,0.03455209732055664,0.6748199462890625,0.8457794189453125,0.8143912553787231,1.5234825696097687e-05,1.2204149243189022e-05,3.030676452908665e-06,0.55206298828125,0.7005363753116265,13237,0.13389259286394609,0.13389259286394609,1.0,0.5440449617346939,0.4712013711734694,0,0,0,0,0.0,0.0,10k
vggss,baseline,6,-3Kv4fdm7Uk_000030,0.8477346897125244,0.779668390750885,0.7634612321853638,0.612124502658844,0.0680662989616394,0.62628173828125,0.8384561538696289,0.7362180948257446,-1.9049548427574337e-05,3.177474718540907e-05,-5.0824295612983406e-05,0.2090606689453125,0.22347507132183128,7361,0.17685538768055786,0.17746234839397573,0.9810278135936636,0.5981345663265306,0.49198820153061223,0,0,0,0,0.0,0.0,10k
vggss,baseline,7,-4bPiXbovf0_000008,0.8546081185340881,0.7823737859725952,0.5520771145820618,0.5137035846710205,0.07223433256149292,0.7902374267578125,0.8556203842163086,0.7599499821662903,-5.4867345170350745e-05,-9.971525287255645e-06,-4.48958198830951e-05,0.2559814453125,0.3651900941750959,5734,0.4526869389853296,0.4562228509943012,0.983167296461697,0.5000996492346939,0.27194276147959184,0,0,0,0,0.0,0.0,10k
vggss,baseline,8,-5CGQGSFGyg_000060,0.897406280040741,0.774756908416748,0.697587251663208,0.5704405307769775,0.12264937162399292,0.8980712890625,0.8884482383728027,0.7725011110305786,2.129905806214083e-05,4.47416641691234e-06,1.682489164522849e-05,0.571258544921875,0.34352461586704297,6378,0.2112871639665302,0.2112871639665302,1.0,0.5597297512755102,0.4414660395408163,0,0,0,0,0.0,0.0,10k
vggss,baseline,9,-5z9IXBJefc_000227,0.6531338691711426,0.805566668510437,0.7621936202049255,0.5195432901382446,-0.15243279933929443,0.318511962890625,0.6760165691375732,0.8121236562728882,2.725554077187553e-05,6.931099778739735e-05,-4.2055457015521824e-05,0.27236175537109375,0.4470668220668221,5148,0.22882627204540848,0.2606206132249723,0.6522593320235757,0.43160076530612246,0.31911670918367346,0,0,0,0,0.0,0.0,10k
vggss,baseline,10,-79qo5MUYBk_000207,0.7139212489128113,0.8827466368675232,0.8017593026161194,0.6264045834541321,-0.16882538795471191,0.2276611328125,0.7070038914680481,0.8900623321533203,2.8328304324531928e-06,-1.8432883734931238e-05,2.126571416738443e-05,0.6611785888671875,0.5722939764544519,8749,0.27260222941800155,0.30901413025824265,0.6982018348623853,0.6135403380102041,0.4239477040816326,0,0,0,0,0.0,0.0,10k
vggss,baseline,11,-7TanrCbmME_000030,0.7061693072319031,0.6926442384719849,0.7456756830215454,0.5552994012832642,0.013525068759918213,0.534698486328125,0.7097651362419128,0.7037148475646973,-2.946093627542723e-05,-4.101856757188216e-05,1.1557631296454929e-05,0.5103759765625,0.49697885196374625,5296,0.34719067090716343,0.3822426010837849,0.7910628019323671,0.47811702806122447,0.2953603316326531,0,0,0,0,0.0,0.0,10k
vggss,baseline,12,-7sg--aJdrc_000049,0.7493607997894287,0.7754377126693726,0.6443397998809814,0.6096638441085815,-0.026076912879943848,0.480560302734375,0.7213610410690308,0.775903582572937,1.687610892986413e-05,-2.140839205821976e-05,3.8284502807073295e-05,0.6580963134765625,0.8010497798848628,5906,0.4304485473342112,0.4799600137452751,0.8066785676782526,0.6379743303571429,0.3317721619897959,0,0,0,0,0.0,0.0,10k
vggss,baseline,13,-7tYmeOmsRg_000058,0.855694055557251,0.8024994134902954,0.763952910900116,0.6482113003730774,0.053194642066955566,0.6668548583984375,0.8757603764533997,0.8228496313095093,-1.2262709788046777e-05,-1.1693742635543458e-05,-5.689671525033191e-07,0.4824066162109375,0.4114245837902502,10031,0.14011691633175008,0.14011691633175008,1.0,0.6545758928571429,0.562858737244898,0,0,0,0,0.0,0.0,10k
vggss,baseline,14,-7tYmeOmsRg_000180,0.8985135555267334,0.8225984573364258,0.6818711757659912,0.544190526008606,0.07591509819030762,0.77569580078125,0.8937350511550903,0.8169524669647217,7.378918235190213e-05,6.755144568160176e-05,6.2377366703003645e-06,0.6514892578125,0.6311408136944542,8529,0.16697726425642936,0.16697726425642936,1.0,0.48124601403061223,0.4008888711734694,0,0,0,0,0.0,0.0,10k
