method,cIoU,AUC,mean_sample_cIoU,num_samples
AUD_FINE,0.812,0.6356,0.6368762798827685,250
SLOT_L4_7,0.732,0.5952000000000001,0.5948449455090234,250
SLOT_L4_HR14,0.812,0.6212000000000001,0.6216806755574305,250
AUD_SLOT_L4_7,0.836,0.6396000000000001,0.6401379246762732,250
AUD_SLOT_L4_HR14,0.844,0.6501999999999999,0.6498098069504591,250
OBJ_PRIOR,0.448,0.4668,0.4653670845603529,250
OGL,0.868,0.6596000000000002,0.6592267788918901,250
