scale,dataset,sample_index,sample_id,d_pos,d_neg_1,d_neg_2,d_neg_3,d_neg_4,D_min,D_mean,D_max,D_std,mean_minus_min,pos_minus_min,pos_minus_mean,negative_cv,weight_max,N_eff,weight_entropy,group,delta_iou,group_a
10k,vggss,18,-ANxUxvGASw_000010,3.231225855415687e-05,2.4187133021769117e-05,4.781437019119039e-05,4.409520988701843e-05,1.7204367395606823e-05,1.7204367395606823e-05,3.332527012389619e-05,4.781437019119039e-05,1.2935558334814787e-05,1.6120902728289366e-05,1.5107891158550046e-05,-1.0130115697393194e-06,0.3881606446616385,0.4110696482786316,3.2701796457711194,1.273485970746656,,,
10k,vggss,19,-ByoSbgzr4M_000000,1.3367757674132008e-05,4.436565359355882e-05,9.923314064508304e-05,1.980755769181997e-05,4.988114233128727e-05,1.980755769181997e-05,5.332187356543727e-05,9.923314064508304e-05,2.8823195177432584e-05,3.3514315873617306e-05,-6.439800017687958e-06,-3.9954115891305264e-05,0.5405510581330267,0.5698547104491254,2.453796121948628,1.06197045571543,,,
10k,vggss,20,-CZ1LIc8aos_000020,2.663220948306844e-05,6.200861389515921e-05,4.512644591159187e-05,2.111307367158588e-05,3.535074574756436e-05,2.111307367158588e-05,4.089971980647533e-05,6.200861389515921e-05,1.4880802243064295e-05,1.978664613488945e-05,5.519135811482556e-06,-1.4267510323406896e-05,0.3638362882062663,0.4570715547285942,3.1100372296500987,1.2444659860783036,,,
10k,vggss,21,-Cr0WQoFQQs_000045,4.2989781832147855e-06,0.0001062239389284,2.380165460635908e-05,7.646850463061128e-06,1.2737388715322597e-05,7.646850463061128e-06,3.760245817829855e-05,0.0001062239389284,4.004678486646171e-05,2.995560771523742e-05,-3.3478722798463423e-06,-3.330347999508376e-05,1.0650044387144308,0.4193167638280259,2.8896614848469024,1.112433245410677,,,
10k,vggss,22,-Cv3gOXEoxA_000040,1.441641779820202e-05,3.03534197882982e-05,9.932887223840224e-06,6.208361355675152e-06,7.472426204913063e-06,6.208361355675152e-06,1.349177364318166e-05,3.03534197882982e-05,9.826767288906455e-06,7.283412287506508e-06,8.208056442526868e-06,9.2464415502036e-07,0.7283525167851161,0.3108668818626584,3.6730505112238414,1.3351605342078154,,,
10k,vggss,23,-D64b_8YJK4_000046,4.260741116013378e-05,7.276687392732129e-05,1.8244352759211324e-05,3.4948174288729206e-05,3.19760620186571e-05,1.8244352759211324e-05,3.948386574847973e-05,7.276687392732129e-05,2.022260591094609e-05,2.1239512989268405e-05,2.436305840092245e-05,3.123545411654049e-06,0.5121739102186249,0.4458336591389089,3.061368357880548,1.2121817850428953,,,
10k,vggss,24,-E5o64ACjm0_000017,0.0001042458534357,7.61729315854609e-05,3.2824620575411245e-05,0.0001229282934218,8.999280544230714e-05,3.2824620575411245e-05,8.047966275626095e-05,0.0001229282934218,3.233394929399283e-05,4.7655042180849705e-05,7.142123286030255e-05,2.3766190679452848e-05,0.4017654670338115,0.7494805689151159,1.6957782022527743,0.7910946437158143,,,
10k,vggss,25,-FoTxwPOz3U_000000,4.8446410801261663e-05,4.713692396762781e-05,5.705442526959814e-05,0.0001547972933622,0.0001365644711768,4.713692396762781e-05,9.888827844406478e-05,0.0001547972933622,4.736451047335421e-05,5.175135447643697e-05,1.309486833633855e-06,-5.044186764280312e-05,0.4789699165421865,0.577026910888727,2.043939865362652,0.8027535196446803,,,
10k,vggss,26,-GOaBCyC5Js_000087,5.03623959957622e-06,6.363388820318505e-05,4.0730927139520645e-05,6.840793957962887e-06,8.575342690164689e-06,6.840793957962887e-06,2.994523799770832e-05,6.363388820318505e-05,2.367352953602335e-05,2.310444403974543e-05,-1.8045543583866677e-06,-2.49089983981321e-05,0.7905607408374935,0.4305019973132153,2.7482653431382658,1.1286286845622069,,,
10k,vggss,27,-GW1J75oAKU_000304,7.632660708623007e-05,5.848148794029839e-05,8.306124800583348e-05,8.974646334536374e-05,0.000118481060781,5.848148794029839e-05,8.744256501813652e-05,0.000118481060781,2.1369581716761588e-05,2.8961077077838127e-05,1.7845119145931676e-05,-1.111595793190645e-05,0.2443842047900734,0.5576644016032779,2.5645708231738973,1.1193097321351178,,,
10k,vggss,28,-HMEhGV38GM_000216,3.148295945720747e-05,6.161665078252554e-05,7.417901360895485e-05,5.0053189625032246e-05,1.05718545455602e-05,1.05718545455602e-05,4.910517714051821e-05,7.417901360895485e-05,2.3827242422374662e-05,3.853332259495801e-05,2.091110491164727e-05,-1.7622217683310737e-05,0.4852287235252444,0.6896129431644282,1.9533688134730185,0.9397119773287204,,,
10k,vggss,29,-IKnJa9U66I_000150,3.137000749120489e-05,1.871664062491618e-05,2.1257985281408764e-05,2.484846118022688e-05,2.21929785766406e-05,1.871664062491618e-05,2.1754016415798105e-05,2.484846118022688e-05,2.1931697813935497e-06,3.0373757908819243e-06,1.2653366866288708e-05,9.615991075406782e-06,0.1008167751404671,0.2798327369720101,3.972127681835094,1.3827856063466326,,,
10k,vggss,30,-Igq1W20Gi8_000000,1.2010938917228486e-05,1.2133507880207617e-05,4.29064966738224e-05,1.4780547644477338e-05,1.8966124116559516e-05,1.2133507880207617e-05,2.219666907876672e-05,4.29064966738224e-05,1.220245313662466e-05,1.00631611985591e-05,-1.2256896297913045e-07,-1.0185730161538231e-05,0.549742535392281,0.3353997916281203,3.5498515643524087,1.3123164469008697,,,
10k,vggss,31,-JGpAlLrSD0_000458,1.7527660020277835e-05,3.3392469049431384e-05,1.942004200827796e-05,8.139980309351813e-06,2.1736168491770517e-05,8.139980309351813e-06,2.067216496470792e-05,3.3392469049431384e-05,8.966070817914e-06,1.2532184655356104e-05,9.387679710926022e-06,-3.144504944430082e-06,0.4337267447904522,0.381079996881526,3.587151166513534,1.3295444520782775,,,
10k,vggss,32,-JUBdOr8Hes_000030,1.8078466382576156e-05,1.1597580851230305e-05,4.162308687227778e-05,1.0516593647480477e-05,1.4145202840154523e-05,1.0516593647480477e-05,1.947061605278577e-05,4.162308687227778e-05,1.2857402438025274e-05,8.954022405305295e-06,7.561872735095676e-06,-1.3921496702096192e-06,0.6603490307224097,0.3190942963860596,3.544866360125273,1.3090136286965843,,,
10k,vggss,33,-JUhUI_KvUI_000026,1.5840400010347366e-05,5.761543434346095e-05,4.081681254319847e-05,5.814782343804836e-05,3.786874731304124e-05,3.786874731304124e-05,4.861220440943725e-05,5.814782343804836e-05,9.329739870891822e-06,1.0743457096396014e-05,-2.2028347302693877e-05,-3.277180439908989e-05,0.191921760887696,0.3542153819085094,3.5735117918251214,1.325791255598184,,,
