metric,n,mean,median,p10,p25,p75,p90,bootstrap_mean_ci_low,bootstrap_mean_ci_high
ogl_minus_aud_gt_response,428,-0.009285167486311119,-0.02323123812675476,-0.06185950636863709,-0.04430691897869102,0.013716667890548706,0.06272599697113038,-0.014421177300337318,-0.003330627961136475
ogl_minus_aud_nearfp_response,426,-0.059689032149986485,-0.06800583004951477,-0.11626389622688293,-0.09382385015487671,-0.03879585862159729,0.009924739599227905,-0.06509639486635516,-0.05487544575942235
ogl_minus_aud_area,428,-0.10766527058399293,-0.12110371492346936,-0.23487922512755108,-0.17362384406887757,-0.06097038424744895,0.06555325255102042,-0.11764591791100934,-0.09748051461658701
RemoveFP,428,6184.612149532711,5905.5,1027.9000000000003,3585.0,8354.25,11167.300000000001,5812.655198598131,6578.553212616823
RemoveTP,428,354.7920560747664,165.5,0.0,10.75,520.0,959.2,305.43125000000003,399.6055490654205
AddTP,428,868.3317757009346,13.5,0.0,0.0,633.0,3601.6000000000004,714.8995911214953,1039.1531542056075
AddFP,428,268.85981308411215,16.5,0.0,0.0,264.0,781.3,217.36057242990654,330.36372663551396
