sample_id,sample_index,AddTP,AddFP,RemoveTP,RemoveFP,aud_gt_response,aud_nearfp_response,aud_area,ogl_gt_response,ogl_nearfp_response,ogl_area,ogl_minus_aud_gt_response,ogl_minus_aud_nearfp_response,ogl_minus_aud_area
-4bPiXbovf0_000008,7,1232,751,0,5879,0.8069570064544678,0.7460476160049438,0.5211455676020408,0.8875208497047424,0.7628622055053711,0.4434988839285714,0.08056384325027466,0.016814589500427246,-0.07764668367346939
-CZ1LIc8aos_000020,20,0,0,156,6960,0.906683087348938,0.7893480062484741,0.4525071747448979,0.8448231220245361,0.6762148141860962,0.3106863839285714,-0.061859965324401855,-0.11313319206237793,-0.14182079081632648
-IKnJa9U66I_000150,29,0,310,119,6371,0.8700320720672607,0.7698185443878174,0.4241868622448979,0.828179657459259,0.7100979685783386,0.3010204081632653,-0.04185241460800171,-0.05972057580947876,-0.12316645408163257
-Igq1W20Gi8_000000,30,0,0,0,5328,0.9638984203338624,0.8713980913162231,0.3553691007653061,0.9180100560188292,0.7622092366218567,0.2491828762755102,-0.04588836431503318,-0.10918885469436646,-0.1061862244897959
-Vo4CAMX26U_000030,49,2273,642,24,2059,0.6738483905792236,0.8566374182701111,0.3517219387755102,0.761216938495636,0.8069596290588379,0.3683035714285714,0.08736854791641235,-0.04967778921127319,0.016581632653061174
-kZVoaYYU6o_000000,80,3610,544,0,1580,0.6994307041168213,0.675805926322937,0.3379504145408163,0.7546919584274292,0.683261513710022,0.3892498405612244,0.05526125431060791,0.007455587387084961,0.0512994260204081
-oGJwGEsIiA_000090,84,59,226,350,5495,0.7500476241111755,0.766274631023407,0.4006895727040816,0.7211669087409973,0.6677844524383545,0.2898796237244898,-0.028880715370178223,-0.09849017858505249,-0.11080994897959184
-oSzD8P2BtU_000030,86,0,28,30,6708,0.8665347099304199,0.7140722870826721,0.4207987882653061,0.8559447526931763,0.682555079460144,0.2870695153061224,-0.010589957237243652,-0.031517207622528076,-0.1337292729591837
0E6KS8B6DMc_000540,126,0,0,326,9032,0.8902815580368042,0.7878561019897461,0.4505341198979591,0.8029447793960571,0.6534314751625061,0.2640306122448979,-0.08733677864074707,-0.13442462682724,-0.18650350765306123
0IzhjqyDzt8_000000,137,3157,1047,6,598,0.7366476058959961,0.7412889003753662,0.3128587372448979,0.8020074367523193,0.7124401330947876,0.3846061862244898,0.06535983085632324,-0.028848767280578613,0.0717474489795919
0YTieIiZNN4_000010,165,0,6,145,3972,0.8793582320213318,0.7731647491455078,0.3783083545918367,0.8657246828079224,0.747051477432251,0.2963767538265306,-0.013633549213409424,-0.026113271713256836,-0.08193160076530609
0jy-sVREk4o_000030,179,127,22,676,8018,0.7895691394805908,0.7044461965560913,0.6079201211734694,0.7601484656333923,0.6330947875976562,0.4376195790816326,-0.029420673847198486,-0.07135140895843506,-0.17030054209183676
0n56ajMNoMA_000118,184,3,0,262,17746,0.8017192482948303,0.759702742099762,0.5669842155612245,0.7782115936279297,0.6555120348930359,0.2081473214285714,-0.023507654666900635,-0.10419070720672607,-0.3588368941326531
0ti14lvd2Aw_000000,196,143,31,544,13761,0.8465906381607056,0.8159133791923523,0.7168566645408163,0.7824002504348755,0.6803993582725525,0.4352279974489796,-0.06419038772583008,-0.1355140209197998,-0.2816286670918367
