scale,dataset,sample_index,sample_id,d_pos,d_neg_1,d_neg_2,d_neg_3,d_neg_4,D_min,D_mean,D_max,D_std,mean_minus_min,pos_minus_min,pos_minus_mean,negative_cv,weight_max,N_eff,weight_entropy,group,delta_iou,group_a,d_neg_mean,d_neg_min,d_neg_max,margin,violation,softplus_loss,normalized_margin,sample_index_res,gt_area_ratio,gt_components,AddTP,AddFP,RemoveTP,RemoveFP,aud_iou,aud_gt_response,aud_nearfp_response,aud_gap,aud_auroc,aud_coverage,aud_precision,aud_area,aud_entropy,ogl_iou,ogl_gt_response,ogl_nearfp_response,ogl_gap,ogl_auroc,ogl_coverage,ogl_precision,ogl_area,ogl_entropy,delta_iou_res,group_res,auto_taxonomy,spatial_error,audio_condition,over_diagnosis,size_bin,size_quartile,spatial_error_manual,manual_notes,margin_bucket,background_response,fp_area_ratio,gt_response,nearfp_response,gt_nearfp_gap,gt_nearfp_auroc,precision,coverage,activated_area,entropy,outside_inside_activation_ratio
144k,vggss,0,-0BIyqJj9ZU_000030,2.300675623700954e-05,2.6239205908495933e-05,1.9328434063936584e-05,3.387125616427511e-05,4.0846083720680326e-05,1.9328434063936584e-05,3.0071244964346988e-05,4.0846083720680326e-05,8.072015620526675e-06,1.0742810900410404e-05,3.678322173072957e-06,-7.064488727337448e-06,0.2684297118425593,0.359759748325885,3.6612115357206623,1.340155647751852,B_close,0.0240046788313939,False,3.0071244964346988e-05,1.9328434063936584e-05,4.0846083720680326e-05,7.064488727337448e-06,False,0.6931436483218201,0.13309635695287902,0,0.2418686224489795,1,610,673,0,953,0.3136286201022146,0.7487200498580933,0.7809536457061768,-0.0322335958480834,0.603729248046875,0.7584871649742126,0.3484234830992846,0.5265266262755102,0.9920596538146544,0.3376332989336085,0.8013898134231567,0.8008691072463989,0.0005207061767578,0.6493377685546875,0.8087508082389832,0.3669296048450409,0.5331034757653061,0.9929978825923488,0.0240046788313939,B_close,OVER,local_boundary_leakage,target_dominant,PRECISION_COVERAGE_TRADEOFF,large,Q2,local_boundary_leakage,,Q2,0.5432487726211548,0.3430723852040816,0.7487200498580933,0.7809536457061768,-0.0322335958480834,0.603729248046875,0.3484234830992846,0.7584871649742126,0.5265266262755102,0.9920596538146544,1.4184245220830591
144k,vggss,1,-0UuUoXQUoI_000107,3.490945528028533e-05,3.303837002022192e-05,0.0001000514239422,0.000112133580842,0.0002645318163558,3.303837002022192e-05,0.00012743879779,0.0002645318163558,8.469098891665731e-05,9.440042776986957e-05,1.8710852600634096e-06,-9.252934250980616e-05,0.6645620516301052,0.8884686315924573,1.2564355520533046,0.4250072838218517,transition,-0.0594579888082277,False,0.00012743879779,3.303837002022192e-05,0.0002645318163558,9.252934250971468e-05,False,0.6931009169589003,0.5699435638504372,1,0.2549426020408163,1,378,2741,453,205,0.4980217358641758,0.7186250686645508,0.5612801313400269,0.1573449373245239,0.8070220947265625,0.7773608565330505,0.5808750511127987,0.3411790497448979,0.990370701033771,0.4385637470559481,0.7196757197380066,0.6017379760742188,0.1179377436637878,0.743133544921875,0.7714977860450745,0.5040347293156282,0.3902264030612244,0.988570373236452,-0.0594579888082277,transition,GOOD,,,,large,Q3,,,Q5_highest,0.4244147837162018,0.1429966517857142,0.7186250686645508,0.5612801313400269,0.1573449373245239,0.8070220947265625,0.5808750511127987,0.7773608565330505,0.3411790497448979,0.990370701033771,0.5608974358974356
144k,vggss,2,-2-wdcN5vOw_000017,1.9696279196068645e-05,1.903315569506958e-05,3.196104080416262e-05,2.127561674569733e-05,1.980572778848e-05,1.903315569506958e-05,2.3018885258352384e-05,3.196104080416262e-05,5.225216550309245e-06,3.985729563282803e-06,6.631235009990633e-07,-3.3226060622837394e-06,0.2269969414966903,0.2858512431518116,3.877051356515531,1.3692379136438932,transition,-0.0920751841115371,False,2.3018885258352384e-05,1.903315569506958e-05,3.196104080416262e-05,3.3226060622837394e-06,False,0.6931455192582942,0.0777851619427556,2,0.8839285714285714,1,578,0,5202,714,0.5716436205672997,0.6381984353065491,0.6954874992370605,-0.0572890639305114,0.4625091552734375,0.599341630935669,0.9252027426821204,0.5726044323979592,0.9924356326082704,0.4795684364557625,0.5908529758453369,0.6048772931098938,-0.0140243172645568,0.5058441162109375,0.4950847625732422,0.9386568631641944,0.4662189094387755,0.9906833264754744,-0.0920751841115371,transition,GOOD,,,,very_large,Q4,,,Q2,0.4594220221042633,0.0428292410714285,0.6381984353065491,0.6954874992370605,-0.0572890639305114,0.4625091552734375,0.9252027426821204,0.599341630935669,0.5726044323979592,0.9924356326082704,0.04845328282828275
144k,vggss,3,-23CeprtibU_000030,1.7700269381748512e-05,3.623835436883383e-05,3.392106737010181e-05,1.144141879194649e-05,3.327464946778491e-05,1.144141879194649e-05,2.871887249966676e-05,3.623835436883383e-05,1.003582270489527e-05,1.727745370772027e-05,6.258850589802023e-06,-1.1018603117918246e-05,0.3494504425621765,0.4456857366074198,3.319026903661281,1.295567403613512,B_close,0.0311579279515494,False,2.871887249966676e-05,1.144141879194649e-05,3.623835436883383e-05,1.1018603117918246e-05,False,0.6931416712735625,0.23737196410685427,3,0.2866908482142857,1,0,150,1251,4982,0.4340978688831948,0.8292539119720459,0.7906240224838257,0.0386298894882202,0.6263275146484375,0.9657281637191772,0.4408899044717382,0.6279695471938775,0.9960830762833888,0.4652557968347442,0.7970342636108398,0.7189886569976807,0.0780456066131591,0.6854400634765625,0.8787626028060913,0.4971682529694014,0.5067362882653061,0.9943987053860928,0.0311579279515494,B_close,OVER,,,PERSISTENT_OVER,large,Q3,,,Q2,0.5958369970321655,0.3511041135204081,0.8292539119720459,0.7906240224838257,0.0386298894882202,0.6263275146484375,0.4408899044717382,0.9657281637191772,0.6279695471938775,0.9960830762833888,1.224678484532499
144k,vggss,4,-2Dm0VjW8oM_000001,5.9838753259100486e-06,3.730579192051664e-05,0.0001285727630602,6.624193338211626e-05,2.578285238996613e-05,2.578285238996613e-05,6.447583518820466e-05,0.0001285727630602,3.98336962710393e-05,3.869298279823852e-05,-1.979897706405609e-05,-5.849195986229461e-05,0.6178081471106955,0.5331847724645417,2.4101062822602346,0.9967160969288212,B_close,0.0243790210718832,False,6.447583518820466e-05,2.578285238996613e-05,0.0001285727630602,5.849195986229461e-05,False,0.6931179350076778,0.8301475922247755,4,0.4469866071428571,1,569,42,128,349,0.4794548579847753,0.6190485954284668,0.6186996102333069,0.0003489851951599,0.5066375732421875,0.5223381519317627,0.8538007433860506,0.2734574298469387,0.985876578139563,0.5038338790566586,0.6298325657844543,0.6020411849021912,0.0277913808822631,0.54632568359375,0.5420010685920715,0.8773727896066402,0.2761280293367347,0.9824506509132728,0.0243790210718832,B_close,GOOD,,,,very_large,Q3,,,Q5_highest,0.3187577724456787,0.0399792729591836,0.6190485954284668,0.6186996102333069,0.0003489851951599,0.5066375732421875,0.8538007433860506,0.5223381519317627,0.2734574298469387,0.985876578139563,0.08944176921704995
144k,vggss,5,-2sOH8XovEE_000484,4.0068185626296327e-05,3.956583168474026e-05,7.408364035654813e-05,2.7367914299247783e-05,5.48120733583346e-05,2.7367914299247783e-05,4.8957364924717695e-05,7.408364035654813e-05,1.7463623641916895e-05,2.1589450625469908e-05,1.270027132704854e-05,-8.889179298421368e-06,0.3567108578815651,0.4663969484749081,2.97846831942212,1.2101147869604083,B_close,0.0178654628449231,False,4.8957364924717695e-05,2.7367914299247783e-05,7.408364035654813e-05,8.889179298421368e-06,False,0.6931427359801733,0.09984975261094149,5,0.0728435905612244,1,0,133,0,3621,0.1281826471207126,0.9254804849624634,0.8326283693313599,0.0928521156311035,0.81854248046875,1.0,0.1281826471207126,0.5682796556122449,0.9947314206250648,0.1460481099656357,0.9180142879486084,0.832879900932312,0.0851343870162963,0.776336669921875,1.0,0.1460481099656357,0.4987643494897959,0.9913395931862437,0.0178654628449231,B_close,OVER,,,CALIBRATION_RECOVERABLE,medium,Q1,,,Q2,0.6025883555412292,0.4954360650510204,0.9254804849624634,0.8326283693313599,0.0928521156311035,0.81854248046875,0.1281826471207126,1.0,0.5682796556122449,0.9947314206250648,6.801367989056096
144k,vggss,6,-3Kv4fdm7Uk_000030,9.942896576831116e-05,0.0003436385304667,0.000161975985975,0.0003432714147493,0.0005441441899165,0.000161975985975,0.0003482575302768,0.0005441441899165,0.0001352022500548,0.0001862815443018,-6.254702020669356e-05,-0.0002488285645085,0.3882249148994863,0.998077598688106,1.0038540566702068,0.0152799065689639,transition,0.0518522467240415,False,0.0003482575302768,0.000161975985975,0.0005441441899165,0.0002488285645084888,False,0.6930227740171478,0.5558098494166009,6,0.1081991390306122,1,0,762,110,7917,0.180714047380714,0.8927152156829834,0.75400710105896,0.1387081146240234,0.870941162109375,0.9976054430007936,0.1807924692058617,0.597038424744898,0.9954673416197404,0.2325662941047556,0.8736960887908936,0.6932084560394287,0.1804876327514648,0.878448486328125,0.9773439168930054,0.2338268993477877,0.4522480867346938,0.993136396457726,0.0518522467240415,transition,OVER,,,CALIBRATION_RECOVERABLE,large,Q1,,,Q5_highest,0.5970281362533569,0.4890983737244898,0.8927152156829834,0.75400710105896,0.1387081146240234,0.870941162109375,0.1807924692058617,0.9976054430007936,0.597038424744898,0.9954673416197404,4.520353656290295
144k,vggss,7,-4bPiXbovf0_000008,2.708511965465732e-05,4.897613689536229e-05,1.4532428394886663e-05,5.504542059497908e-05,3.271590321674012e-05,1.4532428394886663e-05,3.781747227549204e-05,5.504542059497908e-05,1.5728455699627612e-05,2.328504388060537e-05,1.2552691259770654e-05,-1.0732352620834718e-05,0.4159044683116112,0.5054716754059297,2.8668277700796905,1.202235779041398,A_ogl_help,0.1414490701800744,True,3.781747227549204e-05,1.4532428394886663e-05,5.504542059497908e-05,1.0732352620834718e-05,False,0.6931418143980328,0.16536092221130957,7,0.232063137755102,1,1232,751,0,5879,0.3759420395383551,0.8069570064544678,0.7460476160049438,0.0609093904495239,0.7322540283203125,0.8868086338043213,0.3948908180045126,0.5211455676020408,0.9937804154412128,0.5173911097184296,0.8875208497047424,0.7628622055053711,0.1246586441993713,0.848358154296875,0.992614209651947,0.519390643958118,0.4434988839285714,0.990990929467861,0.1414490701800744,A_ogl_help,OVER,,,CALIBRATION_RECOVERABLE,large,Q2,,,Q2,0.5229884386062622,0.3153499681122449,0.8069570064544678,0.7460476160049438,0.0609093904495239,0.7322540283203125,0.3948908180045126,0.8868086338043213,0.5211455676020408,0.9937804154412128,1.3588972861559605
144k,vggss,8,-5CGQGSFGyg_000060,7.621491386089474e-05,7.023647776804864e-05,0.0001718155544949,0.0002454686036799,0.0002135463873855,7.023647776804864e-05,0.0001752667558321,0.0002454686036799,6.602442679417674e-05,0.000105030278064,5.978436092846096e-06,-9.905184197123162e-05,0.3767082153184607,0.9747873596552458,1.0519370599459623,0.1333747848347508,transition,0.0714634093930715,False,0.0001752667558321,7.023647776804864e-05,0.0002454686036799,9.905184197120525e-05,False,0.6930976558653682,0.39387300751682347,8,0.1182637117346938,1,0,258,49,3540,0.3322692652329749,0.8825722932815552,0.7276307940483093,0.1549414992332458,0.8717193603515625,0.99983149766922,0.3322878745449454,0.3558474170918367,0.9951110120576632,0.4037326746260464,0.865490198135376,0.7330094575881958,0.1324807405471801,0.787689208984375,0.9915739893913268,0.4051225557697604,0.2894610969387755,0.9919498648348454,0.0714634093930715,transition,OVER,,,CALIBRATION_RECOVERABLE,large,Q1,,,Q5_highest,0.5231660008430481,0.2376036352040816,0.8825722932815552,0.7276307940483093,0.1549414992332458,0.8717193603515625,0.3322878745449454,0.99983149766922,0.3558474170918367,0.9951110120576632,2.0091001011122356
144k,vggss,9,-5z9IXBJefc_000227,2.270123877678997e-05,1.0140866834262852e-05,7.553806790383533e-05,3.687895878101699e-05,0.0002663032209966,1.0140866834262852e-05,9.721527862893709e-05,0.0002663032209966,0.0001003531992528,8.707441179467423e-05,1.2560371942527128e-05,-7.451403985214711e-05,1.0322780602821189,0.693820067694661,1.8288590118637265,0.7632236126099318,B_close,-0.004625755997691,False,9.721527862893709e-05,1.0140866834262852e-05,0.0002663032209966,7.451403985214711e-05,False,0.693109924234062,0.6213826155295417,9,0.1724529655612245,3,918,5160,0,424,0.2151230949589683,0.5242071747779846,0.6821200847625732,-0.1579129099845886,0.32293701171875,0.4241303503513336,0.30388341475532,0.2406927614795918,0.981763280261996,0.2104973389612772,0.6160014867782593,0.7009708881378174,-0.0849694013595581,0.4031524658203125,0.5302207469940186,0.2587558513338221,0.3533761160714285,0.9862679767337138,-0.004625755997691,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,large,Q2,,,Q5_highest,0.3677795827388763,0.1675502232142857,0.5242071747779846,0.6821200847625732,-0.1579129099845886,0.32293701171875,0.30388341475532,0.4241303503513336,0.2406927614795918,0.981763280261996,0.9715705535652374
