dataset,split,checkpoint,method,native_resolution,tau_aff,alpha,cIoU,AUC,mean_sample_cIoU,num_samples,delta_cIoU_vs_AUD,delta_AUC_vs_AUD
flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.1,0.25,0.0,0.11520000000000001,0.1117989160232255,250,-0.764,-0.4764000000000001
flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.1,0.5,0.0,0.061200000000000004,0.05663499530999266,250,-0.764,-0.5304000000000001
flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.1,0.5,0.0,0.13260000000000002,0.12969222021408428,250,-0.764,-0.4590000000000001
flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.1,0.75,0.0,0.0896,0.08518981853069872,250,-0.764,-0.5020000000000001
flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.1,0.75,0.04,0.209,0.20814085998789136,250,-0.724,-0.38260000000000016
flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_AFFINITY,14x14,0.2,,0.0,0.1182,0.11702909000696346,250,-0.764,-0.47340000000000015
flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.2,0.25,0.0,0.129,0.1272277949028364,250,-0.764,-0.4626000000000001
flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.2,0.25,0.044,0.20700000000000002,0.20584670254272414,250,-0.72,-0.3846000000000001
flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.2,0.5,0.004,0.15780000000000002,0.15678824123161747,250,-0.76,-0.4338000000000001
flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.2,0.5,0.088,0.2524,0.2527460866821993,250,-0.676,-0.3392000000000001
flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_NATIVE_REFINED,14x14,0.2,0.75,0.112,0.27860000000000007,0.27774030303982283,250,-0.652,-0.31300000000000006
flickr,10k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_flickr_10k_frame8_center5/flickr_best.pth,L3_POOLED7_REFINED,7x7,0.2,0.75,0.332,0.3976,0.3982884703144506,250,-0.432,-0.19400000000000012
