dataset,method,rescue,hurt,net,oracle_cIoU,oracle_AUC
flickr_144k,FULL_TEMP_MEAN_4,0,0,0,0.812,0.636
flickr_144k,FULL_TEMP_GEO_4,0,0,0,0.812,0.636
