dataset,region,temporal_mean_mean,temporal_mean_std,temporal_mean_median,temporal_mean_num_samples,temporal_std_mean,temporal_std_std,temporal_std_median,temporal_std_num_samples,temporal_cv_mean,temporal_cv_std,temporal_cv_median,temporal_cv_num_samples
flickr_144k,GT_FOREGROUND,0.005330586729571223,0.00011791341559343154,0.005320613970980048,250,1.696403182359063e-05,6.718845584660917e-06,1.6060384041338693e-05,250,0.003177751715760678,0.001240532554349389,0.0030083339661359787,250
flickr_144k,CORRECT_AUD_FOREGROUND,0.005379785180091858,0.00010915945114467047,0.005368091864511371,250,1.6873058602868695e-05,6.904885909817319e-06,1.573982444824651e-05,250,0.0031206384841352703,0.0012497241986649482,0.0029620693530887365,250
flickr_144k,AUD_FALSE_POSITIVE_CONTEXT,0.005197261231970117,8.806320774837242e-05,0.005192134529352188,249,1.4460771016745705e-05,5.2811116364300086e-06,1.385249834129354e-05,249,0.0027817720937707187,0.0010066105404448618,0.0026870686560869217,249
