dataset,group,pearson_mean,pearson_std,pearson_median,pearson_num_samples,spearman_mean,spearman_std,spearman_median,spearman_num_samples,js_divergence_mean,js_divergence_std,js_divergence_median,js_divergence_num_samples
flickr_144k,ALL,0.9974073304451936,0.0026692235949922786,0.9981682834549035,250,0.9960812971432457,0.0035011116188469775,0.9970476827982266,250,6.131369688473616e-06,5.0053292695781385e-06,4.401967799046762e-06,250
flickr_144k,FULL_AUD_SUCCESS,0.9975178926629042,0.002554176400475304,0.9981805267010629,203,0.9962084051084594,0.003330851070878084,0.9969739711581626,203,6.171607219016028e-06,5.150475346136327e-06,4.409227881969624e-06,203
flickr_144k,FULL_AUD_FAILURE,0.9969297957601883,0.0030723698606881953,0.997875264728187,47,0.9955322989105135,0.004112261509598103,0.9972887397833011,47,5.957577801237246e-06,4.318492122642115e-06,4.378635964740501e-06,47
flickr_144k,OGL_RESCUE,0.9978696657388268,0.0019462122196524062,0.9986256131003125,19,0.9968407973656715,0.002157076966686477,0.9976133366271148,19,7.610797514047082e-06,4.142107522004775e-06,7.1876165297997e-06,19
