dataset,epoch,own7_slot0_mass,own14_slot0_mass,own7_entropy,own14_entropy,pooled_ownership_mae,loss_audio_coarse,loss_audio_equiv,loss_own_coarse,loss_own_equiv
vggss_144k,1,0.12710615446346935,0.12128711110014084,0.4418417700032747,0.4493289323145809,0.017640735700501134,7.490627923997963e-05,0.000189074177793774,0.002659554507300006,0.009931495150524685
vggss_144k,2,0.12729650271850973,0.12164326005505921,0.4423207942383145,0.45160512870104713,0.018585648036353104,7.609507604253568e-05,0.0001789700894525815,0.002952219302321907,0.009023136114602199
vggss_144k,3,0.12732364464007662,0.12173222289072662,0.4423087568045511,0.4514686741544683,0.018612040176961133,7.653869851896277e-05,0.00017730532598506088,0.00297845145057741,0.008910574812733723
vggss_144k,4,0.12727754987325532,0.12172212886534552,0.4423294939180286,0.45136899859031326,0.01862874315236281,7.724025314905784e-05,0.00017632710644573444,0.0029922507970935245,0.008831169325328065
vggss_144k,5,0.12716628882861647,0.12162828527629588,0.44218621681381376,0.4511620152569326,0.018674295405555662,7.826475676371188e-05,0.00017578743618902224,0.003016383460063315,0.008791492751458149
vggss_144k,6,0.1273088554497079,0.12182242056069849,0.44233428567541877,0.4512878750248736,0.018672949018029766,7.849131681361017e-05,0.00017467185413072158,0.0030218616245626024,0.008738464853159579
vggss_144k,7,0.12727619085818848,0.1218227574807257,0.4422297371133791,0.4510958167687854,0.018628055925789252,7.83223170715424e-05,0.00017372358670529457,0.0030131768497383203,0.008683258709017174
vggss_144k,8,0.12731398786567283,0.12187673927042832,0.4423758588015397,0.45115067701110634,0.018593109438189197,7.78970780917667e-05,0.00017358171648459403,0.0030068906092041857,0.008627871660436123
vggss_144k,9,0.12723613734559233,0.12182645560689669,0.44227543722480217,0.45113755280012763,0.018657172039098162,7.925965484344398e-05,0.0001720854659302548,0.0030303424289715194,0.008619886097163493
vggss_144k,10,0.12718832463662394,0.1218123768201078,0.4422764945708984,0.45095667253609656,0.018566053466758693,7.811615291611686e-05,0.00017171692016353877,0.0030037554807868187,0.008524783434565064
vggss_144k,11,0.12722201877376363,0.12185859743810633,0.4423413743327945,0.45105375810874315,0.01863214285759209,7.892257794296597e-05,0.00017130403095662423,0.003029369411068667,0.008534173879712767
vggss_144k,12,0.12720874862685747,0.12184355354924219,0.4422029224472962,0.45088561510276115,0.018628884564249965,7.860927481970293e-05,0.00017097601778904686,0.0030316465171352294,0.008516912213510095
vggss_144k,13,0.12722851428803175,0.12190912104480207,0.4422996834821973,0.4509744013649713,0.01860379621227441,7.844379418127709e-05,0.0001710528972661421,0.0030233167257703495,0.008464728914585721
vggss_144k,14,0.12727955825547307,0.12196856654941823,0.44238157358245916,0.4510816952405875,0.018627830234180565,7.874241891452542e-05,0.00016999702549641422,0.003034180659118019,0.008470774489849328
vggss_144k,15,0.12720007795403013,0.12189403982349138,0.44229635394764966,0.4510487017894555,0.018684646784198667,7.906410084673605e-05,0.00016956694654186565,0.003054453384833828,0.008457616210195942
vggss_144k,16,0.1273974672065935,0.12208145292097988,0.44255890158996036,0.45121515226745945,0.018686010419420924,7.918712915956238e-05,0.00016970207474631128,0.003054756938406926,0.008441887134719255
vggss_144k,17,0.12729453877463034,0.12203156281249379,0.44235197934603776,0.45098938244093356,0.018597724923724804,7.837185553253091e-05,0.00016934182017928095,0.0030307392958465475,0.00838894211584404
vggss_144k,18,0.12718236846749892,0.1219256331090189,0.44204485639134333,0.4507396668726015,0.018654685576854017,7.885209576745047e-05,0.00016915826602330187,0.003053316125212058,0.008388420271113833
vggss_144k,19,0.1272079379055848,0.12192709211034707,0.44223738331811707,0.4508725657157626,0.01868355407435911,7.903303933055207e-05,0.00016912751761927961,0.00306281562665895,0.00839161009981804
vggss_144k,20,0.12742970274012283,0.12219920595345549,0.44253783081774184,0.4511850628458308,0.01861297916886115,7.882859772572533e-05,0.00016832587935690837,0.003037371221943046,0.008354694225404451
vggss_144k,21,0.12740946160728822,0.12217803967592979,0.44270638819266894,0.4513027339749489,0.018625952399524717,7.881687044858306e-05,0.00016812507561436983,0.003042006380425176,0.008329769191282447
vggss_144k,22,0.1273211713389782,0.12208908434387204,0.4423938634344691,0.45097459767848996,0.01862759649210023,7.908461113686978e-05,0.00016791474023789127,0.0030467580259011997,0.008308010199024371
vggss_144k,23,0.12736427423368568,0.12213611853345434,0.4424743754689804,0.451075199500946,0.018657631525816232,7.95473600473641e-05,0.00016743883235670884,0.0030555256250483446,0.008310271168518745
vggss_144k,24,0.12727619671789778,0.12206697463989258,0.4423435950300447,0.45095768364086697,0.018642401737011836,7.909435741155941e-05,0.00016776352284560676,0.0030544121978386867,0.008301195502944052
vggss_144k,25,0.12727140547754076,0.1220585512680091,0.44227192410370636,0.4508907739271897,0.018655244761487978,7.976320183490406e-05,0.00016681114463359316,0.0030620663701904625,0.008300409813865595
vggss_144k,26,0.12725224190812517,0.12204707098389012,0.44241260570139224,0.4509542440710543,0.01864321338629277,7.95979624553219e-05,0.00016663121765900362,0.003058938307064549,0.008263916942188218
vggss_144k,27,0.12717391786520169,0.12198394548903581,0.44211262819817904,0.4507036548492323,0.01866334430157502,7.977157064911983e-05,0.00016701439185502187,0.0030649190572226335,0.008263955883734804
vggss_144k,28,0.12739832243249086,0.12220849177644347,0.44262705462258906,0.45117808804181125,0.018649585866551594,7.921736447910739e-05,0.000166807677497378,0.0030572660394954194,0.008253967261034664
vggss_144k,29,0.12716962989698102,0.12198605631010813,0.44230056318099814,0.45084762848993215,0.018668726951652788,8.004464347504188e-05,0.00016645502565872732,0.0030681440466683477,0.008240966835586202
vggss_144k,30,0.12729618144205032,0.12211857062641836,0.4424278308700412,0.45098783192473374,0.018653132555031905,8.009537670782475e-05,0.00016573595133832956,0.0030651896631882073,0.008247769850362557
vggss_144k,31,0.12741644252290504,0.12222879315027138,0.4424821139442539,0.45110450981986905,0.018727518916395212,8.040616307475975e-05,0.0001660362980266357,0.0030887192247760252,0.008253747347105971
vggss_144k,32,0.12719534800199003,0.12200725656599337,0.442157439648893,0.4506913751257696,0.01870345345489495,8.013438096746812e-05,0.00016603056048092787,0.0030851703273046273,0.008229191102637675
vggss_144k,33,0.12713812355257015,0.12196581922073806,0.4420836146828119,0.450690223228889,0.018715609720115985,8.02158756026032e-05,0.00016618423468704266,0.0030892534020731353,0.008227727309638283
vggss_144k,34,0.12720580593918143,0.12205381324229715,0.4422173421578051,0.45071719597455023,0.018651997779903676,8.010342438302162e-05,0.00016532063540535254,0.003068917501780778,0.008185804972352188
vggss_144k,35,0.12735151058043026,0.12218622787726308,0.4424329651420227,0.4509765518517681,0.018691320827370014,7.996409125766945e-05,0.000165527613328735,0.00308279858883868,0.008203622726789837
vggss_144k,36,0.127317967562807,0.12216478399269522,0.442351569060329,0.45090365781054376,0.018688085233772776,8.034428316553776e-05,0.00016577948543828916,0.0030833364429542283,0.008193105785673305
vggss_144k,37,0.12717868310807015,0.12204468125656406,0.4421906496176092,0.45076309499791506,0.018674344788852323,8.040306195028431e-05,0.00016528256068166073,0.003078614050452846,0.008194597984839801
