dataset,model,baseline,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
vggss,cram_c3_stage1,original_1.3g_final,audio_swap_spearman,-0.002096594311048872,-0.002602040816326534,-0.009910714285714328,0.004626913265306065,0.014537627551020393,-0.0026451805837814143,-0.001534967499293087,5158
vggss,cram_c3_stage1,original_1.3g_final,audio_swap_spearman_min,-0.0015558943841737373,-0.0036224489795918524,-0.019489795918367386,0.013750000000000012,0.0332397959183674,-0.0028444243552028107,-0.0002737966870508106,5158
vggss,cram_c3_stage1,original_1.3g_final,audio_swap_pearson,-0.0014643758916725433,-0.0016298890113830566,-0.007204338908195496,0.0037707239389419556,0.010975062847137451,-0.001901807504286827,-0.0010480908485589544,5158
vggss,cram_c3_stage1,original_1.3g_final,audio_swap_cosine,-0.00014077597877321986,-0.00010201334953308105,-0.00016896426677703857,-6.139278411865234e-05,0.00010757148265838623,-0.00014490392167423066,-0.00013694805333252884,5158
vggss,cram_c3_stage1,original_1.3g_final,audio_map_mae,0.00012956081470915843,0.0001206058805109933,7.938571070553735e-05,0.00016914513980736956,8.975942910183221e-05,0.0001271735107169331,0.00013182866383292302,5158
vggss,cram_c3_stage1,original_1.3g_final,audio_top10_jaccard,0.000398978083782237,0.0,-0.08333333333333348,0.08886946386946382,0.1722027972027973,-0.0031614493014187205,0.004021978194908304,5158
vggss,cram_c3_stage1,original_1.3g_final,gt_response,-0.06696988563606035,-0.06219395995140076,-0.10774500668048859,-0.020448818802833557,0.08729618787765503,-0.0689300343142844,-0.0649175702635404,5156
vggss,cram_c3_stage1,original_1.3g_final,nearfp_response,-0.08277495938568867,-0.07366776466369629,-0.13406246900558472,-0.022987067699432373,0.11107540130615234,-0.08519739624101834,-0.08031033502335619,5075
vggss,cram_c3_stage1,original_1.3g_final,farfp_response,-0.10806376776033079,-0.10203421115875244,-0.17472702264785767,-0.035446882247924805,0.13928014039993286,-0.11148278301563214,-0.10459093377697198,3921
vggss,cram_c3_stage1,original_1.3g_final,background_response,-0.09152637505045687,-0.09125274419784546,-0.13771767914295197,-0.04639871418476105,0.09131896495819092,-0.09344875649130831,-0.0895675537829169,5155
vggss,cram_c3_stage1,original_1.3g_final,gt_nearfp_gap,0.015435852619814755,0.009843707084655762,-0.02623620629310608,0.0508882999420166,0.07712450623512268,0.013479457267399493,0.01732690324065427,5075
vggss,cram_c3_stage1,original_1.3g_final,gt_vs_nearfp_auroc,-0.0018486653797881079,-0.012603759765625,-0.08023834228515625,0.06417083740234375,0.1444091796875,-0.005396876462766149,0.001793736720099048,5075
vggss,cram_c3_stage1,original_1.3g_final,wrong_gt_response,-0.07076084424500968,-0.06680715084075928,-0.1121700257062912,-0.024886339902877808,0.08728368580341339,-0.07274511672348316,-0.06871990194909788,5156
vggss,cram_c3_stage1,original_1.3g_final,wrong_nearfp_response,-0.0862294944988683,-0.07695108652114868,-0.1350426971912384,-0.027944982051849365,0.10709771513938904,-0.08867043533745071,-0.08382912350405614,5075
vggss,cram_c3_stage1,original_1.3g_final,matched_minus_wrong_gt,0.000155822361361135,8.812262058199849e-05,-1.101398584069102e-05,0.0002634194847814797,0.0002744334706221707,0.00014770872113776225,0.00016392942308069515,5156
vggss,cram_c3_stage1,original_1.3g_final,matched_minus_wrong_nearfp,0.00013559474251159542,8.680183418618981e-05,-2.5976330107368995e-05,0.0002442357963445829,0.0002702121264519519,0.0001285853450256411,0.0001425752472474629,5075
vggss,cram_c3_stage1,original_1.3g_final,counterfactual_gt_nearfp_gap,2.127181418871645e-05,2.131536166416481e-05,-6.422890601243125e-05,0.00010784500955196563,0.00017207391556439688,1.6487979031436345e-05,2.6103443854856376e-05,5075
vggss,cram_c3_stage1,original_1.3g_final,iou,-0.010111352271294234,0.0004143591964745584,-0.06406270622795024,0.0495059488920549,0.11356865512000514,-0.01289909507743601,-0.00726661310685669,5158
vggss,cram_c3_stage1,original_1.3g_final,counterfactual_gt_vs_nearfp_auroc,0.012177469971838727,0.003570556640625,-0.11850357055664062,0.14058303833007812,0.25908660888671875,0.006426587663013397,0.01822837815314497,5075
vggss,cram_c3_stage1,original_1.3g_final,counterfactual_gt_vs_nearfp_conditional_auroc,0.0005978687608316588,-0.00020683060268586462,-0.17252972665933716,0.17253820921703986,0.345067935876377,-0.007192026192354754,0.007883005518342591,5072
vggss,cram_c3_stage1,original_1.3g_final,precision,0.04774089060977291,0.03319141247799243,-0.0018534199675700816,0.09349199568472635,0.09534541565229643,0.045239008970832884,0.05003580814421648,5158
vggss,cram_c3_stage1,original_1.3g_final,coverage,-0.10999268743382516,-0.08404917091967457,-0.18234853006584467,-0.001144274277758428,0.18120425578808624,-0.11408121492191191,-0.10588554962436826,5158
vggss,cram_c3_stage1,original_1.3g_final,pred_area_ratio,-0.11641634088566603,-0.10850805165816327,-0.18625438456632648,-0.04048748405612246,0.14576690051020402,-0.11963906166231275,-0.11314806381343796,5158
vggss,cram_c3_stage1,original_1.3g_final,fp_area_ratio,-0.0775765582775617,-0.06187220982142859,-0.12935467155612246,-0.012157206632653027,0.11719746492346943,-0.08018343171470313,-0.07496125097585929,5158
vggss,cram_c3_stage1,original_1.3g_final,AddTP,351.7002714230322,0.0,0.0,157.0,157.0,323.9524088794106,383.3090829778984,5158
vggss,cram_c3_stage1,original_1.3g_final,AddFP,953.176424970919,252.0,0.0,1175.5,1175.5,907.789511438542,999.2070860798758,5158
vggss,cram_c3_stage1,original_1.3g_final,RemoveTP,2300.5252035672743,1170.5,159.0,3287.75,3128.75,2220.312533927879,2380.3884451337726,5158
vggss,cram_c3_stage1,original_1.3g_final,RemoveFP,4845.657813105855,3876.0,1623.5,6962.5,5339.0,4731.733792167507,4959.993156262117,5158
vggss,cram_c3_stage1,original_1.3g_final,addtp_rate_vs_baseline_fn,0.0919370368839551,0.0,0.0,0.06501101598870809,0.06501101598870809,0.08659000239313401,0.0973512776035371,5158
vggss,cram_c3_stage1,original_1.3g_final,removefp_rate_vs_baseline_fp,0.39700501515851144,0.36797814221497616,0.21172752120202448,0.5513967455212516,0.33966922431922714,0.39049716232924414,0.40327849202274263,5158
vggss,cram_c3_stage2,original_1.3g_final,audio_swap_spearman,0.002477169349865696,0.0008290816326530503,-0.004984056122448927,0.008140173071393503,0.01312422919384243,0.0019746031968085106,0.0030195653009684508,5158
vggss,cram_c3_stage2,original_1.3g_final,audio_swap_spearman_min,0.006149097222853156,0.0019387755102040494,-0.011020408163265327,0.018775510204081636,0.029795918367346963,0.00491664064894768,0.007317077284881705,5158
vggss,cram_c3_stage2,original_1.3g_final,audio_swap_pearson,0.0019635642601011703,0.0007474720478057861,-0.0036205053329467773,0.006415948271751404,0.010036453604698181,0.001563844033027629,0.0023707060122406727,5158
vggss,cram_c3_stage2,original_1.3g_final,audio_swap_cosine,-9.551624680452912e-05,-5.97536563873291e-05,-0.00011754035949707031,-2.759695053100586e-05,8.994340896606445e-05,-9.906393767974782e-05,-9.180253596211552e-05,5158
vggss,cram_c3_stage2,original_1.3g_final,audio_map_mae,8.806325734088582e-05,7.709269993938506e-05,3.858192212646827e-05,0.0001245086023118347,8.592668018536642e-05,8.57885578322851e-05,9.027319140479252e-05,5158
vggss,cram_c3_stage2,original_1.3g_final,audio_top10_jaccard,0.019507461074098523,0.018939393939394034,-0.06439393939393945,0.09848484848484851,0.16287878787878796,0.016208825639006275,0.022799124833334523,5158
vggss,cram_c3_stage2,original_1.3g_final,gt_response,-0.03484342604459396,-0.03530353307723999,-0.06899450719356537,-0.002485990524291992,0.06650851666927338,-0.03645282862426191,-0.033249266296365036,5156
vggss,cram_c3_stage2,original_1.3g_final,nearfp_response,-0.06584107603345599,-0.061829447746276855,-0.10596448183059692,-0.020909667015075684,0.08505481481552124,-0.06774322469055359,-0.0639843512030658,5075
vggss,cram_c3_stage2,original_1.3g_final,farfp_response,-0.08835711232696496,-0.082206130027771,-0.14160895347595215,-0.030578672885894775,0.11103028059005737,-0.09107767629791767,-0.08564338689383516,3921
vggss,cram_c3_stage2,original_1.3g_final,background_response,-0.04870403121676292,-0.04887545108795166,-0.08827361464500427,-0.009797662496566772,0.0784759521484375,-0.05040319777215776,-0.04700166050875858,5155
vggss,cram_c3_stage2,original_1.3g_final,gt_nearfp_gap,0.030539805049379472,0.024577438831329346,-0.0029718875885009766,0.057928234338760376,0.06090012192726135,0.029082550672768374,0.032153780218856086,5075
vggss,cram_c3_stage2,original_1.3g_final,gt_vs_nearfp_auroc,0.03359700793434633,0.0181121826171875,-0.03414154052734375,0.08637237548828125,0.120513916015625,0.03042020670553303,0.03669596429707892,5075
vggss,cram_c3_stage2,original_1.3g_final,wrong_gt_response,-0.034862107280107135,-0.0359039306640625,-0.0676669180393219,-0.0026657134294509888,0.06500120460987091,-0.03638037273080844,-0.03325013491166849,5156
vggss,cram_c3_stage2,original_1.3g_final,wrong_nearfp_response,-0.06398959064718537,-0.0599370002746582,-0.10256028175354004,-0.019897282123565674,0.08266299962997437,-0.06586865766867628,-0.062156817562914836,5075
vggss,cram_c3_stage2,original_1.3g_final,matched_minus_wrong_gt,2.1169709780182914e-05,1.2542707736429293e-05,-8.346524737135042e-06,4.45306732217432e-05,5.287719795887824e-05,1.978413887025215e-05,2.2585796963234367e-05,5156
vggss,cram_c3_stage2,original_1.3g_final,matched_minus_wrong_nearfp,1.2957014787338795e-05,8.318311301991343e-06,-1.4554565495927818e-05,3.701859532156959e-05,5.157316081749741e-05,1.1612848220321892e-05,1.4270893496963344e-05,5075
