dataset,model,sample_index,sample_id,audio_swap_spearman,audio_swap_spearman_min,audio_swap_pearson,audio_swap_cosine,audio_map_mae,audio_top10_jaccard
vggss,cram_c3_stage1,2486,QRLfJ0FuEbc_000267,0.9792984693877551,0.9410204081632653,0.9924055,0.99985963,0.00028169504,0.8181818181818182
vggss,cram_c3_stage1,2487,QS31Gm9tIig_000000,0.9885586734693879,0.9742857142857143,0.989532,0.9997604,0.00035705883,0.7747668997668997
vggss,cram_c3_stage1,2488,QSaX7QfeWog_000030,0.9866581632653062,0.9710204081632653,0.98692775,0.9995266,0.0005099764,0.8863636363636365
vggss,cram_c3_stage1,2489,QTT0Cc70d5k_000048,0.9381887755102041,0.9010204081632653,0.9457448,0.99968046,0.00042587522,0.6471445221445221
vggss,cram_c3_stage1,2490,QTbtvbzBs00_000038,0.9869770408163265,0.976326530612245,0.9928065,0.99948394,0.0005207854,0.840909090909091
vggss,cram_c3_stage1,2491,QTbtvbzBs00_000063,0.9680357142857143,0.9458163265306122,0.9761858,0.9985549,0.00092308095,0.8636363636363638
vggss,cram_c3_stage1,2492,QUX611hihf4_000190,0.9717186754432507,0.9613265306122449,0.95913315,0.99848765,0.0009095411,0.9545454545454546
vggss,cram_c3_stage1,2493,QUte9W0g2Yo_000017,0.974719387755102,0.9239795918367347,0.97988445,0.9998709,0.00025412068,0.7453379953379953
vggss,cram_c3_stage1,2494,QUygd54m8uc_000112,0.985969387755102,0.9762244897959184,0.9872018,0.99927574,0.0006553447,0.9545454545454546
vggss,cram_c3_stage1,2495,QWxrKBmwNw0_000030,0.9834311224489796,0.965,0.9849341,0.9997738,0.0003463165,0.7992424242424243
vggss,cram_c3_stage1,2496,QXnFAcMyAHA_000030,0.9806887755102041,0.9623469387755103,0.9888455,0.999395,0.000559296,0.9090909090909092
vggss,cram_c3_stage1,2497,Q_yoAT1Z3Yw_000022,0.9755739795918368,0.9592857142857143,0.9855513,0.99977005,0.00034263442,0.6375291375291375
vggss,cram_c3_stage1,2498,QaKdsbkkmUc_000288,0.9828571428571429,0.9666326530612245,0.98417366,0.99988073,0.00024182675,0.7293123543123543
vggss,cram_c3_stage1,2499,Qa_6nlhGR9k_000051,0.9779464285714285,0.9568367346938775,0.98568344,0.9999574,0.00015127966,0.7234848484848485
vggss,cram_c3_stage1,2500,QayWG1ZPKGE_000012,0.9076147959183674,0.8058163265306122,0.93672967,0.9999295,0.00018967566,0.5792124542124542
vggss,cram_c3_stage1,2501,QdBB80CWUWU_000201,0.987155612244898,0.9788775510204082,0.9929979,0.99974304,0.00033753173,0.840909090909091
vggss,cram_c3_stage1,2502,QdcUajqXkvs_000006,0.9549107142857143,0.9206122448979592,0.9610604,0.99975944,0.00035801658,0.7234848484848485
vggss,cram_c3_stage1,2503,Qdr2xmK84Jo_000030,0.9742729591836734,0.955204081632653,0.97509825,0.999822,0.00030902767,0.6602564102564102
vggss,cram_c3_stage1,2504,Qe71m678qEU_000030,0.9723086734693878,0.948469387755102,0.9912993,0.9991815,0.0006336968,0.9772727272727273
vggss,cram_c3_stage1,2505,QejVyYvjrrs_000010,0.9795663265306123,0.9669387755102041,0.9803993,0.9997554,0.00037967903,0.8863636363636365
vggss,cram_c3_stage1,2506,QgoTM4RZF7o_000017,0.982920918367347,0.9655102040816327,0.99220103,0.99979335,0.00031842856,0.8636363636363638
vggss,cram_c3_stage1,2507,QiUyP9xX8jY_000160,0.9751403061224491,0.9454081632653061,0.978912,0.9999014,0.00022453908,0.8068181818181819
vggss,cram_c3_stage1,2508,Qj3ptAKRGQg_000031,0.9884311224489797,0.98,0.99156857,0.9999026,0.00023422722,0.9545454545454546
vggss,cram_c3_stage1,2509,Qlov2pGggJ0_000101,0.9857270408163266,0.976530612244898,0.98837334,0.99986714,0.00026864753,0.9318181818181819
vggss,cram_c3_stage1,2510,Qm8bAH-0y3E_000024,0.983609693877551,0.9672448979591837,0.98831964,0.9997783,0.0003322407,0.803030303030303
vggss,cram_c3_stage1,2511,QnR9JhVGgu8_000348,0.9526785714285714,0.919795918367347,0.9770064,0.9999064,0.00022292585,0.5132783882783882
vggss,cram_c3_stage1,2512,QoffZQFqxkQ_000003,0.9894897959183673,0.9806122448979592,0.9909246,0.9998745,0.000265683,0.840909090909091
vggss,cram_c3_stage1,2513,Qos5iZOP66A_000340,0.9578826530612246,0.9064285714285715,0.9688705,0.9998698,0.0002565167,0.7689393939393939
vggss,cram_c3_stage1,2514,Qovva-Q5vmM_000216,0.917704081632653,0.8609183673469388,0.94362736,0.99981976,0.00030949773,0.6237928737928737
vggss,cram_c3_stage1,2515,Qovva-Q5vmM_000424,0.9677933673469388,0.9540816326530612,0.9709286,0.9997487,0.0003806713,0.7840909090909091
vggss,cram_c3_stage1,2516,QpFdUoMjf3w_000035,0.9784821428571429,0.9630612244897959,0.97709215,0.99992645,0.00019988613,0.8863636363636365
vggss,cram_c3_stage1,2517,QpKhFTFh0B8_000029,0.9762882653061224,0.9554081632653061,0.98238987,0.9999267,0.00019238703,0.840909090909091
vggss,cram_c3_stage1,2518,QqdmtqL64RA_000030,0.9936989795918367,0.9855102040816327,0.9938655,0.9995645,0.00047751763,0.7840909090909092
vggss,cram_c3_stage1,2519,QqyUVqi3fOg_000095,0.9609183673469388,0.9393877551020409,0.9747175,0.99989223,0.00024561165,0.6208791208791209
vggss,cram_c3_stage1,2520,Qs7BbDiOqZ0_000006,0.9901275510204082,0.9810204081632653,0.995993,0.9998961,0.00023382856,1.0
vggss,cram_c3_stage1,2521,Qsd19T8rN_8_000190,0.9827933673469388,0.9679591836734693,0.989311,0.9998374,0.00029571727,0.8863636363636365
vggss,cram_c3_stage1,2522,Qt7FJkuqWPE_000030,0.903201530612245,0.7762244897959184,0.95870227,0.9998783,0.00025218184,0.6634927572427572
vggss,cram_c3_stage1,2523,QtEtP5Vb_3o_000340,0.9828954081632654,0.9492857142857143,0.9885105,0.9998188,0.00030840733,0.9545454545454546
vggss,cram_c3_stage1,2524,Qu4HdM0sAOM_000059,0.972219387755102,0.9213265306122449,0.9648129,0.9996714,0.0004312835,0.8324592074592074
vggss,cram_c3_stage1,2525,QupB4NN8fI0_000030,0.9873596938775511,0.9747959183673469,0.9906038,0.99955213,0.00047260465,0.8863636363636365
vggss,cram_c3_stage1,2526,Quqx2Iga5b8_000086,0.9927933673469388,0.9846938775510204,0.99477816,0.9999037,0.0002255089,0.8257575757575758
vggss,cram_c3_stage1,2527,QvLeTxLGV_o_000030,0.9874107142857143,0.9771428571428571,0.98781425,0.9998754,0.0002511468,0.9772727272727273
vggss,cram_c3_stage1,2528,QvpIrEHvZWI_000171,0.9697321428571428,0.9393877551020409,0.98131216,0.9998553,0.00028179877,0.6687062937062938
vggss,cram_c3_stage1,2529,Qx5trtkwnUk_000377,0.9842857142857143,0.9753061224489796,0.9878192,0.99986696,0.00028065278,0.7747668997668998
vggss,cram_c3_stage1,2530,QxOuHDxJw_o_000005,0.9469642857142857,0.9166326530612245,0.9526636,0.99992865,0.00019276886,0.6564685314685315
