dataset,model,sample_index,sample_id,gt_response,nearfp_response,farfp_response,background_response,gt_nearfp_gap,gt_vs_nearfp_auroc,wrong_gt_response,wrong_nearfp_response,matched_minus_wrong_gt,matched_minus_wrong_nearfp,counterfactual_gt_nearfp_gap,counterfactual_gt_vs_nearfp_auroc,counterfactual_gt_vs_nearfp_conditional_auroc,counterfactual_gt_vs_nearfp_conditional_pairs,iou,precision,coverage,pred_area_ratio,fp_area_ratio,AddTP,AddFP,RemoveTP,RemoveFP,addtp_rate_vs_baseline_fn,removefp_rate_vs_baseline_fp
vggss,cram_c3_stage1,1514,ExrHL878QsA_000039,0.791131854057312,0.5979220271110535,0.3498230576515198,0.3497867286205292,0.19320982694625854,0.810211181640625,0.8070504665374756,0.6214048862457275,-0.00018285925034433603,-0.00016246415907517076,-2.0395091269165277e-05,0.408782958984375,0.3636827339964295,3921,0.6121405750798722,0.6754695211845394,0.8671823568136933,0.31092554209183676,0.1009048150510204,0,0,1537,14110,0.0,0.7359307359307359
vggss,cram_c3_stage1,1515,EyEVKlDZtrw_000025,0.7507280111312866,0.7308921813964844,0.6974930763244629,0.49782851338386536,0.019835829734802246,0.60211181640625,0.740318775177002,0.7141743302345276,0.0002605712506920099,0.00027591537218540907,-1.5344121493399143e-05,0.39635467529296875,0.1876154319720911,19492,0.05585106382978723,0.05585106382978723,1.0,0.3596938775510204,0.3396045918367347,0,476,0,8576,0.0,0.3411296738265712
vggss,cram_c3_stage1,1516,EzCuOP46kpM_000210,0.7217124104499817,0.6622380018234253,,0.42708200216293335,0.059474408626556396,0.6479644775390625,0.724484920501709,0.6583144068717957,9.302558464696631e-05,9.98986215563491e-05,-6.87303690938279e-06,0.59185791015625,0.49759229534510435,4361,0.6300298636125735,0.7773599240265907,0.7687453042824943,0.5246532206632653,0.11680883290816327,52,1824,3606,1806,0.019984627209838585,0.30908779736436764
vggss,cram_c3_stage1,1517,F-bjopMLAo4_000090,0.4992118775844574,,0.7329182624816895,0.43997007608413696,,,0.5387400984764099,,-3.9724327507428825e-05,,,,,0,0.0,0.0,0.0,0.2490832270408163,0.2490832270408163,0,960,168,5461,0.0,0.32125419142302486
vggss,cram_c3_stage1,1518,F-c6oa091zo_000150,0.7887202501296997,0.6898922324180603,0.4763895571231842,0.3963558077812195,0.0988280177116394,0.7135467529296875,0.7939388751983643,0.677053689956665,0.0001761661551427096,0.000258253188803792,-8.208703366108239e-05,0.35021209716796875,0.19854586129753915,5364,0.5712700729927007,0.6188638663967612,0.8813513513513513,0.31505102040816324,0.12007732780612244,351,2281,98,2523,0.22356687898089173,0.4025849688846338
vggss,cram_c3_stage1,1519,F-mbfDB9bN4_000020,0.6717554330825806,0.7417342662811279,0.5224418044090271,0.49381202459335327,-0.06997883319854736,0.41066741943359375,0.6882896423339844,0.7020808458328247,-0.00019896277808584273,0.00011259826715104282,-0.00031156104523688555,0.2029266357421875,0.14560078791858175,6092,0.36940889701401586,0.4420945157526254,0.6920091324200913,0.4099170918367347,0.22869499362244897,1671,1758,1760,10965,0.4221829206670035,0.5301711633304322
vggss,cram_c3_stage1,1520,F-p8xsDSjnw_000030,0.7548584938049316,0.6734921336174011,0.4713035225868225,0.2736645042896271,0.08136636018753052,0.650421142578125,0.7260047197341919,0.6457682847976685,0.00014584569726139307,8.3578095654957e-05,6.226760160643607e-05,0.596343994140625,0.5864920744314266,5804,0.7089044047926902,0.8536433464812124,0.8069865567657737,0.38400829081632654,0.05620216836734694,1,13,2029,2277,0.0005246589716684155,0.4478756884343037
vggss,cram_c3_stage1,1521,F0AtWOUItaQ_000060,0.7551578283309937,0.6401842832565308,,0.38613229990005493,0.11497354507446289,0.7647247314453125,0.8009107112884521,0.6969424486160278,8.965378219727427e-05,-6.164467777125537e-06,9.58182499743998e-05,0.6624374389648438,0.5270052398226521,4962,0.7151758194412223,0.8382798539352032,0.8296424452133795,0.5130341198979592,0.08296795280612244,705,1425,1374,707,0.18740031897926634,0.20522496371552976
vggss,cram_c3_stage1,1522,F0CgRLr_pTI_000003,0.6500933170318604,0.667274534702301,0.6816929578781128,0.431456059217453,-0.017181217670440674,0.463409423828125,0.6767206788063049,0.6992318630218506,-4.095192707609385e-05,-6.0110658523626626e-05,1.9158731447532773e-05,0.52349853515625,0.5327459618208517,6810,0.10927911275415897,0.1246941702522568,0.4692063492063492,0.23622847576530612,0.20677216198979592,0,559,1672,12224,0.0,0.554627949183303
vggss,cram_c3_stage1,1523,F0xRrtS-_Wk_000030,0.9087917804718018,0.8745152950286865,0.6590138673782349,0.4429890215396881,0.034276485443115234,0.6885528564453125,0.9040871858596802,0.8834440112113953,5.294182483339682e-05,-9.722643881104887e-06,6.266446871450171e-05,0.8112335205078125,0.803949424634181,14078,0.1276634940128953,0.1276634940128953,1.0,0.32455755739795916,0.2831234056122449,0,534,0,5368,0.0,0.2819327731092437
vggss,cram_c3_stage1,1524,F1X7egd8Us0_000030,0.6544657945632935,0.7739741802215576,,0.40198713541030884,-0.11950838565826416,0.3880157470703125,0.6651688814163208,0.7802047729492188,9.139956091530621e-06,0.00030304089887067676,-0.00029390095733106136,0.36553955078125,0.3780995173905808,6009,0.6759055199771837,0.9398298363256183,0.7064769647696477,0.5528140943877551,0.03326291454081633,2090,115,615,114,0.16983585242970908,0.0683453237410072
vggss,cram_c3_stage1,1525,F4JohaJr23s_000072,0.4325364828109741,0.4447370767593384,0.7306803464889526,0.5124707818031311,-0.012200593948364258,0.4410247802734375,0.43917161226272583,0.4343891143798828,-0.00023232967942021787,-0.0001327040372416377,-9.962564217858016e-05,0.3161163330078125,0.0633024783517468,10047,0.0,0.0,0.0,0.41434151785714285,0.41434151785714285,0,2828,1361,8240,0.0,0.3144798107014732
vggss,cram_c3_stage1,1526,F6IUxAJutsk_000030,0.8999797105789185,0.7860247492790222,0.5603916049003601,0.43217748403549194,0.11395496129989624,0.8144989013671875,0.889212965965271,0.7707965970039368,0.00044508991413749754,0.0003763860440813005,6.870387005619705e-05,0.605316162109375,0.5916561314791403,8701,0.4167999634385997,0.4167999634385997,1.0,0.4360849808673469,0.2543247767857143,0,191,0,5155,0.0,0.2908321579689704
