method,vggss_144k_cIoU,vggss_144k_AUC,flickr_144k_cIoU,flickr_144k_AUC
AUD_FINE,0.42690965490500193,0.42295463357890656,0.812,0.6356
IMG_L4,0.4069406746801086,0.416614967041489,0.804,0.6165999999999998
IMG_FINE,0.4230321830166731,0.42598875533152386,0.816,0.6408
IQR_OLD,0.4230321830166731,0.423419930205506,0.804,0.6365999999999999
IQR_FINE,0.43039937960449787,0.42608569212873204,0.804,0.6394
IQR_FINE_EVALSPACE,0.43117487398216364,0.42593059325319893,0.8,0.639
