row_type,dataset,method,feature_set,direction,AUROC,AUPRC,balanced_accuracy,F1,diagnostic_threshold,leakage_mean,leakage_std,extent_mean,extent_std,effect_size_cohen_d,Pearson_label,Spearman_label,num_pixels,note,accuracy,threshold,confusion_matrix,num_samples,positive_fraction
single_variable,vggss_144k,AUD_raw_score,non_prototype,lower=leakage,0.5395027085062765,0.533019013084356,0.529696535030705,0.5330663106364041,-0.005159793421626091,0.00516591575941433,0.00010839720699480668,0.005180487441462342,0.00011189100831987245,-0.13227988309433236,-0.06599575013000444,-0.06842069818967039,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,IMG_raw_score,non_prototype,lower=leakage,0.5381081487709853,0.5370817024376275,0.5294051728002152,0.538375288556667,-0.020460566505789757,0.02047108184283897,0.0004970907684938689,0.020528994404870594,0.000485960739561895,-0.11781447895417604,-0.058805298793903844,-0.06600524987305766,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,AUD_norm_score,non_prototype,lower=leakage,0.5685565542159642,0.5461930847394798,0.553543412972343,0.6175996314213315,-0.6567742824554443,0.6434074861844409,0.04230512983077822,0.6555860649973516,0.051394051909496696,-0.25873618891017147,-0.12829893710698403,-0.11874343512614216,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,IMG_norm_score,non_prototype,lower=leakage,0.5679731013921052,0.55987226232917,0.551481464879645,0.5189191788066734,-0.5550969839096069,0.5397627159617142,0.058263654098056346,0.5520012713058681,0.05073747748908922,-0.22402493757314548,-0.1113163142215241,-0.11773286519100519,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,AUD_minus_IMG,non_prototype,higher=leakage,0.5000504117529792,0.5005669566654297,0.5025101976780671,0.467991275795125,0.10152596235275269,0.10364477022272676,0.07079520970887049,0.10358479369148359,0.07067294733385135,0.0008479153202871376,0.0004239576220424489,8.731571748116636e-05,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,AUD_IMG_log_ratio,non_prototype,higher=leakage,0.5076690633569434,0.5140394685961852,0.5105114527769061,0.22343905561086616,0.31025768872604653,0.18053815781713434,0.1365152303696578,0.17405683931516347,0.12547493239458296,0.04943369900786879,0.024709302919950795,0.013283207384026932,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,AUD_threshold_distance,non_prototype,lower=leakage,0.5685565542159642,0.5461930847394798,0.553543412972343,0.6175996314213315,-0.05677428245544436,0.043407486184440944,0.04230512983077822,0.055586064997351636,0.051394051909496696,-0.2587361889101706,-0.12829893710698406,-0.11874343512614216,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,IMG_threshold_distance,non_prototype,higher=leakage,0.5679731013921052,0.55987226232917,0.551481464879645,0.5189191788066734,0.044903016090393044,0.060237284038285814,0.058263654098056346,0.04799872869413195,0.05073747748908922,0.22402493757314562,0.11131631422152413,0.11773286519100519,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,AUD_L3_response,non_prototype,lower=leakage,0.5354793625651793,0.534079130919437,0.5280604240441078,0.5510904555823225,-0.5219488926231861,0.4838431907317424,0.19386328498275027,0.507460878712034,0.18914044684091852,-0.12331938637395452,-0.06154281381448686,-0.06145205860303353,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,AUD_L4_response,non_prototype,higher=leakage,0.5176283738720455,0.507137323248981,0.5177058586220809,0.5913363845262738,0.554205075794016,0.5833580029326791,0.06512627207157845,0.5803992373365046,0.06693441152866887,0.0448049824399047,0.022396871747854083,0.030533239211077996,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
