method,vggss_144k_cIoU,vggss_144k_AUC,flickr_144k_cIoU,flickr_144k_AUC
AUD,0.42690965490500193,0.42295463357890656,0.812,0.6356
SLOT_L4_FIXED_SLOT0,0.21442419542458316,0.3472179139201241,0.732,0.5952000000000001
SLOT_L4_AUDIO_SELECTED,0.14443582784024817,0.2688542070569988,0.656,0.5312
AUD_FIXED_SLOT0,0.38580845288871657,0.4157231485071734,0.836,0.6396000000000001
AUD_AUDIO_SELECTED_SLOT,0.3414113997673517,0.39004459092671584,0.788,0.6210000000000001
OGL,0.4569600620395502,0.44010275300504076,0.868,0.6596000000000002
ORACLE_AUD_VS_FIXED_SLOT0,0.4957347809228383,0.4616614967041489,0.856,0.6614
ORACLE_AUD_VS_AUDIO_SELECTED_SLOT,0.4823575029081039,0.4548565335401319,0.84,0.6574000000000001
