dataset,num_samples,slot_selection_changed,slot_selection_changed_ratio,direct_infonce_fused_selection_changed,direct_infonce_fused_selection_changed_ratio,changed_selection_improves,changed_selection_worsens,changed_selection_ties,fixed_rescue,fixed_hurt,fixed_net_rescue,selected_rescue,selected_hurt,selected_net_rescue,ogl_rescue,ogl_hurt,ogl_net_rescue,fixed_hurt_resolved_by_selection,fixed_rescue_lost_by_selection
vggss_144k,5158,1791,0.3472276075998449,0,0.0,494,1297,0,355,567,-212,286,727,-441,357,202,155,133,110
flickr_144k,250,32,0.128,0,0.0,6,26,0,11,5,6,7,13,-6,19,5,14,0,4
