dataset,split,checkpoint,method,native_resolution,tau_aff,alpha,cIoU,AUC,mean_sample_cIoU,num_samples,delta_cIoU_vs_AUD,delta_AUC_vs_AUD
vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,AUD_L4,7x7,,,0.40015509887553313,0.4127471888328809,0.4123710869336355,5158,0.0,0.0
vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_AFFINITY,14x14,0.05,,0.0,0.02733617681271811,0.009539425426728563,5158,-0.40015509887553313,-0.3854110120201628
vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_NATIVE_REFINED,14x14,0.05,0.25,0.0,0.027345870492438935,0.00959769707465577,5158,-0.40015509887553313,-0.385401318340442
vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_POOLED7_REFINED,7x7,0.05,0.25,0.0,0.04437766576192323,0.030400268766768664,5158,-0.40015509887553313,-0.3683695230709577
vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_NATIVE_REFINED,14x14,0.05,0.5,0.0,0.02749127568825126,0.009742988067759292,5158,-0.40015509887553313,-0.38525591314462965
vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_POOLED7_REFINED,7x7,0.05,0.5,0.0,0.04534703373400543,0.03156187664901963,5158,-0.40015509887553313,-0.36740015509887547
vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_NATIVE_REFINED,14x14,0.05,0.75,0.0,0.027898410236525787,0.01045419041299271,5158,-0.40015509887553313,-0.38484877859635513
vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_POOLED7_REFINED,7x7,0.05,0.75,0.0,0.050155098875533155,0.03721804809404421,5158,-0.40015509887553313,-0.36259208995734776
vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_AFFINITY,14x14,0.1,,0.0,0.039870104691740994,0.025965710019051163,5158,-0.40015509887553313,-0.3728770841411399
vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_NATIVE_REFINED,14x14,0.1,0.25,0.0,0.040248158200853056,0.026560803695152173,5158,-0.40015509887553313,-0.3724990306320279
vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_POOLED7_REFINED,7x7,0.1,0.25,0.0,0.07358472276075999,0.06298120887604795,5158,-0.40015509887553313,-0.3391624660721209
vggss,144k,/data/wxr/audio_video/JSA/checkpoints/mufasa_ablation2_l3_l4_ablation_vggss_144k/vggss_best.pth,L3_NATIVE_REFINED,14x14,0.1,0.5,0.0,0.04171190383869717,0.028260523555772295,5158,-0.40015509887553313,-0.37103528499418376
