dataset,group,seed,kind,sample_index,sample_id,specific_audio_switch_spearman
flickr,C2,12345,best,0,10000130166,0.06429846938775509
flickr,C2,12345,best,1,10007936344,-0.06100765306122449
flickr,C2,12345,best,2,10008553263,-0.270765306122449
flickr,C2,12345,best,3,10009662863,0.21470663265306122
flickr,C2,12345,best,4,10013411946,0.1228954081632653
flickr,C2,12345,best,5,10016382545,0.015854591836734697
flickr,C2,12345,best,6,10031203703,0.13228316326530615
flickr,C2,12345,best,7,10035917404,0.11427295918367346
flickr,C2,12345,best,8,10045181004,-0.0716454081632653
flickr,C2,12345,best,9,10060697266,0.21843112244897958
flickr,C2,12345,best,10,10061269855,0.14020408163265308
flickr,C2,12345,best,11,10067897816,-0.19232142857142856
flickr,C2,12345,best,12,10069511285,0.43499999999999994
flickr,C2,12345,best,13,10079676496,0.26674744897959185
flickr,C2,12345,best,14,10080652613,-0.0360076530612245
flickr,C2,12345,best,15,10106776154,0.29096938775510206
flickr,C2,12345,best,16,10109936483,0.22200255102040817
flickr,C2,12345,best,17,10110769444,0.03484693877551022
flickr,C2,12345,best,18,10111706074,0.0895918367346939
flickr,C2,12345,best,19,10119607346,0.09206632653061224
flickr,C2,12345,best,20,10119736773,-0.017538265306122444
flickr,C2,12345,best,21,10129791115,0.1125892857142857
flickr,C2,12345,best,22,10129813456,-0.08955357142857143
flickr,C2,12345,best,23,10163352444,0.031683673469387746
flickr,C2,12345,best,24,10165890496,0.10315051020408164
flickr,C2,12345,best,25,10173808724,-0.017614795918367357
flickr,C2,12345,best,26,10202025415,0.32089285714285715
flickr,C2,12345,best,27,10221582415,-0.026160714285714273
flickr,C2,12345,best,28,10234680056,-0.2683801020408163
flickr,C2,12345,best,29,10246013484,0.12172193877551021
flickr,C2,12345,best,30,10268129763,0.10752551020408163
flickr,C2,12345,best,31,10278084464,0.007729591836734695
flickr,C2,12345,best,32,10283938426,-0.1283673469387755
flickr,C2,12345,best,33,10289643764,-0.23760204081632655
flickr,C2,12345,best,34,10304554474,-0.09160714285714283
flickr,C2,12345,best,35,10308472565,0.009604591836734677
flickr,C2,12345,best,36,10369815925,0.02525510204081633
flickr,C2,12345,best,37,10389014583,-0.12480867346938775
flickr,C2,12345,best,38,10409146004,0.3433163265306123
flickr,C2,12345,best,39,10409351364,0.06636479591836733
flickr,C2,12345,best,40,10413912845,-0.034043367346938774
flickr,C2,12345,best,41,10437048305,-0.09633928571428571
flickr,C2,12345,best,42,10440265465,0.2673852040816327
flickr,C2,12345,best,43,10441843213,0.4840688775510204
flickr,C2,12345,best,44,10446128125,-0.12456632653061224
flickr,C2,12345,best,45,10451898725,0.23892857142857143
flickr,C2,12345,best,46,10468313544,-0.24188775510204086
flickr,C2,12345,best,47,10476442285,-0.2349362244897959
flickr,C2,12345,best,48,10476446674,-0.03389030612244896
flickr,C2,12345,best,49,10477544895,-0.1260841836734694
flickr,C2,12345,best,50,10481128583,0.2503826530612245
flickr,C2,12345,best,51,10520382525,-0.28102040816326535
flickr,C2,12345,best,52,10545790805,-0.004540816326530611
flickr,C2,12345,best,53,10548273474,-0.1494515306122449
flickr,C2,12345,best,54,10549911663,-0.11469387755102042
flickr,C2,12345,best,55,10555704135,0.10316326530612245
flickr,C2,12345,best,56,10557361454,-0.05081632653061223
flickr,C2,12345,best,57,10610974774,0.2460841836734694
flickr,C2,12345,best,58,10624261424,0.04938775510204081
flickr,C2,12345,best,59,10635080206,0.00705357142857143
flickr,C2,12345,best,60,10654057765,0.36899234693877553
flickr,C2,12345,best,61,10659354545,0.1517219387755102
flickr,C2,12345,best,62,10666396623,0.1855357142857143
flickr,C2,12345,best,63,10667001125,-0.2915688775510204
flickr,C2,12345,best,64,10701841844,0.27479591836734696
flickr,C2,12345,best,65,10743985374,-0.3919515306122449
flickr,C2,12345,best,66,10751849775,0.01075255102040816
flickr,C2,12345,best,67,10761625676,0.09191326530612243
flickr,C2,12345,best,68,10771238614,0.16283163265306122
flickr,C2,12345,best,69,10795023275,0.12183673469387755
flickr,C2,12345,best,70,10796050285,-0.12368622448979594
flickr,C2,12345,best,71,10805310706,-0.38802295918367347
flickr,C2,12345,best,72,10847897294,0.380484693877551
