sample_id,baseline_aud_iou,baseline_img_iou,baseline_iqr_iou,new_aud_iou,new_img_iou,new_iqr_iou,new_ogl_iou,a3_query_iou,category
-0BIyqJj9ZU_000030,0.3418095206145795,0.3263783469526178,0.33611193807680856,0.29866759502484413,0.3531395850492215,0.31416107382550335,0.3314386973820589,0.16284902190269185,ALL_FAIL
-0UuUoXQUoI_000107,0.37802042972877775,0.40475525591415007,0.3895243383305571,0.4594669499745947,0.5800184067900603,0.496455980837855,0.40963052443037445,0.10560424184402387,ALL_FAIL
-2-wdcN5vOw_000017,0.524717409284669,0.46900062020145855,0.49852111926800724,0.610311698474112,0.6130534629665401,0.6079089197203523,0.5264618345380088,0.22275443933803699,IQR_IMPROVE
-23CeprtibU_000030,0.11166065601923407,0.12333355664232598,0.1109936575052854,0.27996832937450516,0.38765393240744384,0.31342576134613104,0.3589316914884766,0.006761294944700667,ALL_FAIL
-2Dm0VjW8oM_000001,0.6457047770921445,0.5632706946434088,0.5946118916283181,0.5805055887184007,0.6654485441471177,0.6201986358741175,0.582348401770846,0.5041838180713948,STABLE_SUCCESS
-2sOH8XovEE_000484,0.13185901367293193,0.12119102092244438,0.13323369664272955,0.1408749277317402,0.1338386612472079,0.1379453502415459,0.14509150093287285,0.0,ALL_FAIL
-3Kv4fdm7Uk_000030,0.19835400310994805,0.18632345870779246,0.19248300082193828,0.21746997861490378,0.19716022808806313,0.20584324155193992,0.2913788261724235,0.07753903011063466,ALL_FAIL
-4bPiXbovf0_000008,0.48281586503948315,0.5556287753981329,0.5103508179317666,0.5312934631432545,0.5525364937129643,0.5363084112149533,0.5967650834403081,0.1836414916953933,AUD_IMPROVE
-5CGQGSFGyg_000060,0.26360446004175736,0.2588666404920822,0.26116808239073985,0.3824093041696954,0.35889987639060567,0.37665713543020535,0.4293242405455673,0.0,ALL_FAIL
-5z9IXBJefc_000227,0.21608527131782945,0.2586156111929308,0.23344916286836048,0.251823583401768,0.2750042023869558,0.2634574218138151,0.234857999432808,0.12838201477567396,ALL_FAIL
-79qo5MUYBk_000207,0.2761832462261672,0.2615535306164851,0.2703075883545345,0.2665309665638938,0.2724791642211527,0.27251254797756125,0.29440134809262325,0.059729398966548816,ALL_FAIL
-7TanrCbmME_000030,0.3223848194902308,0.2739366069962227,0.3059267985538449,0.33488978630321387,0.3009856232399585,0.319470166680087,0.22710685613703688,0.38524178704891515,ALL_FAIL
-7sg--aJdrc_000049,0.4200442580945726,0.3770900557348196,0.40222584780328635,0.48436578171091443,0.4909922022048938,0.48706482493623504,0.4283166458072591,0.0,ALL_FAIL
-7tYmeOmsRg_000058,0.1491299134774296,0.14139552032445388,0.1420896628380882,0.1069553306445476,0.11615733402145464,0.1108021792222431,0.13621913352062695,0.07623187465533461,ALL_FAIL
-7tYmeOmsRg_000180,0.1711302576291329,0.151933077096993,0.16338439095550694,0.12804393859184754,0.12226723151612603,0.12636581108165773,0.20223752151462995,0.014551411776043173,ALL_FAIL
-86gl1hp1Aw_000105,0.6690976762901116,0.6579245190178615,0.6650211917227624,0.617615912334822,0.6021510255944817,0.6120058565153733,0.6895316509837468,0.0002377485215013819,STABLE_SUCCESS
-8cgbhIR_pw_000030,0.415910780669145,0.4299902189451509,0.42077399149951533,0.4173689996335654,0.38906645358902653,0.4075255102040816,0.48292525773195877,0.2935477427087495,ALL_FAIL
-A3zsFeU_OI_000030,0.12149348083761359,0.11070442817712708,0.11713541997333503,0.12939231087226127,0.11433644396729706,0.12377144760952857,0.13496034743202417,0.18871682837499196,ALL_FAIL
-ANxUxvGASw_000010,0.0569450332061608,0.058870791030604046,0.05773638968481375,0.062434641155738026,0.06235976789168279,0.06249273114944757,0.08596874833342222,0.01170042781299933,ALL_FAIL
-ByoSbgzr4M_000000,0.48057511737089204,0.5024017736174405,0.4901884534848938,0.35430652763890874,0.38017170891251023,0.36414249708460295,0.3077848975112401,0.0,ALL_FAIL
-CZ1LIc8aos_000020,0.4526236315590789,0.4440124056843957,0.4596951979296463,0.3158172000526801,0.40020026702269695,0.344676416687628,0.5143655013157188,0.2824956672443674,ALL_FAIL
-Cr0WQoFQQs_000045,0.27827438787407693,0.30172777075431945,0.2874604095106392,0.28990462479755263,0.2966168009205984,0.29221839288953383,0.350293542074364,0.08727117922520221,ALL_FAIL
-Cv3gOXEoxA_000040,0.29196472317491423,0.2835677749360614,0.28887198745068215,0.303140670361573,0.30551633477773993,0.31153193022178766,0.3756338125998472,0.014766547909244327,ALL_FAIL
-D64b_8YJK4_000046,0.214104568351572,0.26377769305714405,0.2284442796217319,0.24638985637694205,0.22396971020824233,0.23831099604020714,0.30125448028673835,0.1375439132427066,ALL_FAIL
-E5o64ACjm0_000017,0.08535862477771192,0.11396171335541458,0.09709962168978563,0.2698503727647151,0.2899728997289973,0.2805021998068462,0.2801402137685324,0.1289561777236762,ALL_FAIL
-FoTxwPOz3U_000000,0.1893255443441317,0.17335278385606614,0.18956463941508808,0.14817893697719126,0.1467229138800288,0.14733688071498682,0.16716663725663197,0.07399195627513663,ALL_FAIL
-GOaBCyC5Js_000087,0.32774336800280474,0.3245573429001273,0.32720802706802005,0.33250340861936095,0.3215800940259145,0.33050497908196336,0.3777867582676635,0.010688967656180772,ALL_FAIL
-GW1J75oAKU_000304,0.6378700478885503,0.6044353741496599,0.633261679954287,0.5225034013605442,0.48585034013605444,0.5033469387755102,0.44152380952380954,0.1982077352962899,STABLE_SUCCESS
-HMEhGV38GM_000216,0.16713346978347518,0.18099547511312217,0.17410489862034295,0.18011571254567602,0.1574396753275398,0.16592282659228266,0.14218690157027958,0.0663572806171649,ALL_FAIL
-IKnJa9U66I_000150,0.2722521844558719,0.23732643317905172,0.2569850039463299,0.24509767021717038,0.22812302949625166,0.23604465709728867,0.34629996254481243,0.015699572971615172,ALL_FAIL
-Igq1W20Gi8_000000,0.2349326400378161,0.2220335954253038,0.229444623978579,0.23434552998868352,0.26044123041450506,0.2442980731419583,0.34392083592830947,0.12996237675142708,ALL_FAIL
-JGpAlLrSD0_000458,0.6903185767480348,0.6603462974395156,0.6828108488904544,0.6068916792446771,0.6105703252162257,0.6059545220966084,0.7231917124005673,0.32303695150115475,STABLE_SUCCESS
