sample_id,sim_slot0,sim_slot1,fused_sim_slot0,fused_sim_slot1,fused_selected_slot,selected_slot,selection_changed,IoU_AUD,IoU_SLOT0,IoU_SLOT1,IoU_SLOT_SELECTED,IoU_AUD_FIXED,IoU_AUD_SELECTED,IoU_OGL,IoU_ORACLE_FIXED,IoU_ORACLE_SELECTED,selected_minus_fixed_iou,semantic_margin,ownership_confidence,mean_max_ownership_probability,fraction_max_ownership_gt_0_7,fraction_max_ownership_gt_0_8,fraction_max_ownership_gt_0_9,soft_containment,seed_containment_top10,seed_containment_top20,centroid_aud_x,centroid_aud_y,centroid_slot_x,centroid_slot_y,centroid_distance,js_divergence,extent_aud,extent_slot,extent_ratio,R1,R2,R3,outcome,possible_selection_error,possible_extent_error
-0BIyqJj9ZU_000030,-0.06207224726676941,-0.028537267819046974,0.4332471191883087,-0.11908672749996185,0,1,True,0.299209068494028,0.22160024650780608,0.15904271432899122,0.15904271432899122,0.30645869070890014,0.3108721784426339,0.34181855912565284,0.30645869070890014,0.3108721784426339,0.004413487733733734,0.033534981310367584,0.5205148458480835,0.8879827260971069,1.0,0.8775510191917419,0.4897959232330322,16853.98046875,0.1927117556333542,0.28073233366012573,0.4678976821611101,0.543923901942884,0.5165595342600626,0.4320198233599269,0.086285858207475,0.0873493705288965,0.6440330038265306,0.6244220344387755,0.9695497447006035,0.009414353562508193,0.1461253473796731,0.004900310793348308,Neutral,False,False
-0UuUoXQUoI_000107,0.14584065973758698,0.06713293492794037,0.5151352286338806,-0.15997689962387085,0,0,False,0.6284455632473254,0.39546014939444485,0.08303256585770587,0.39546014939444485,0.5467828041584715,0.5467828041584715,0.45500074378935884,0.6284455632473254,0.6284455632473254,0.0,0.0787077248096466,0.511236846446991,0.8531461954116821,0.8367346525192261,0.7346938848495483,0.5102040767669678,8553.705078125,0.8092586398124695,0.681839644908905,0.5317274591969849,0.5378978287075081,0.6186005473464581,0.6027346451689575,0.0766509824251516,0.050425782744714424,0.6334502551020408,0.38950892857142855,0.6149005789076265,0.05366604713579726,0.3485815498457647,0.027436060698980563,Neutral,False,False
-2-wdcN5vOw_000017,-0.0003002732992172241,-0.0037139803171157837,0.4976193308830261,0.058937251567840576,0,0,False,0.6180354539500095,0.3584955929042428,0.43688673152642654,0.3584955929042428,0.46691501044335826,0.46691501044335826,0.5247595067467234,0.6180354539500095,0.6180354539500095,0.0,0.0034137070178985596,0.28826165199279785,0.7461700439453125,0.5918367505073547,0.4285714328289032,0.22448979318141937,17824.787109375,0.9129565358161926,0.8628752827644348,0.48862201386690046,0.5037616256664025,0.46435061741561656,0.5097675147309951,0.01768009317214689,0.022907385040250527,0.6760004783163265,0.5116191007653061,0.7568324537869632,0.002945603408344155,0.24873385447342855,0.0008491045046049021,Hurt,False,False
-23CeprtibU_000030,-0.011282344348728657,-0.03420013561844826,0.4223257303237915,-0.035858169198036194,0,0,False,0.35660546925150854,0.19735415311212318,0.0999650959860384,0.19735415311212318,0.3471324717285945,0.3471324717285945,0.39265782767186036,0.35660546925150854,0.35660546925150854,0.0,0.022917792201042175,0.5683997869491577,0.9086334109306335,1.0,1.0,0.5714285373687744,20164.84375,0.8099010586738586,0.7851428985595703,0.48596988448179607,0.5021516516524058,0.4626990562262609,0.4915868630789069,0.01807133372639312,0.011172541535203145,0.7020288584183674,0.6081792091836735,0.8663165365507453,0.01799374179731217,0.4462750562659039,0.010227639004010391,Neutral,False,False
-2Dm0VjW8oM_000001,0.05587739124894142,0.06448967754840851,0.411620557308197,-0.1009402945637703,0,1,True,0.5905244122965642,0.46594997248910147,0.19609314692512222,0.19609314692512222,0.5160258940554195,0.4722873900293255,0.5793792781580585,0.5905244122965642,0.5905244122965642,-0.04373850402609403,0.008612286299467087,0.46252912282943726,0.8253827691078186,0.6938775181770325,0.6530612111091614,0.5306122303009033,15807.40234375,0.08363518118858337,0.13820739090442657,0.5183123894034215,0.49110297145839776,0.48563556365596444,0.51370798727546,0.02809592213310772,0.11545732317154332,0.6449099170918368,0.5961615114795918,0.9244105194845329,0.001190281619171285,0.06392494328356957,0.0005505399132352968,Hurt,False,False
-2sOH8XovEE_000484,0.011934485286474228,0.004222795367240906,0.5088776350021362,-0.053856730461120605,0,0,False,0.15380407338831847,0.1923987998104964,0.0,0.1923987998104964,0.16776059117822556,0.16776059117822556,0.1596767147225863,0.16776059117822556,0.16776059117822556,0.0,0.007711689919233322,0.24016201496124268,0.723404049873352,0.4693877398967743,0.30612245202064514,0.20408162474632263,17044.46484375,0.9018535017967224,0.8568732738494873,0.5067428539078267,0.5045614173852668,0.519522705901825,0.49044912131911683,0.013462568797357655,0.008525563606820654,0.6294842155612245,0.5319475446428571,0.8450530315022954,0.006607940988005545,0.20578841201412956,0.0015869764224243964,Neutral,False,False
-3Kv4fdm7Uk_000030,-0.004904000088572502,4.152953624725342e-05,0.41249918937683105,0.0028958935290575027,0,1,True,0.21268510538274701,0.7984952567877004,0.0,0.0,0.6248848987108656,0.06064259876586992,0.26331360946745563,0.6248848987108656,0.21268510538274701,-0.5642422999449956,0.0049455296248197556,0.6483510136604309,0.9216906428337097,1.0,0.8979591727256775,0.714285671710968,21369.126953125,0.19165165722370148,0.39366254210472107,0.4881208047526145,0.5425223084576085,0.5182386178042655,0.4509448286209826,0.06816713825679431,0.05437556534279188,0.6916254783163265,0.6858856823979592,0.9917010056767428,0.0019468697641607524,0.25523150821373797,0.001262254985058468,Neutral,False,False
-4bPiXbovf0_000008,0.03968767821788788,0.038600172847509384,0.37881946563720703,-0.07784949243068695,0,0,False,0.3683596786732314,0.5634868660408936,0.016177044700370877,0.5634868660408936,0.48084477101529643,0.48084477101529643,0.5110013669033027,0.48084477101529643,0.48084477101529643,0.0,0.0010875053703784943,0.439725399017334,0.8530973196029663,0.9387754797935486,0.7551020383834839,0.2857142686843872,14679.8671875,0.8697540163993835,0.7643581032752991,0.46550802858776297,0.4987176602934231,0.4402583941331993,0.46641502355329767,0.0289914158023853,0.02308574218150812,0.6737683354591837,0.5252511160714286,0.7795722779306061,0.0008312435422042075,0.33610767195486346,0.00036551889827632724,Neutral,False,False
-5CGQGSFGyg_000060,-0.01596163958311081,-0.01485022995620966,0.35677626729011536,-0.09940630942583084,0,1,True,0.2660986547085202,0.692010692010692,0.002730748225013654,0.002730748225013654,0.5562793371012549,0.1097391502449026,0.35866279772699794,0.5562793371012549,0.2660986547085202,-0.4465401868563523,0.0011114096269011497,0.6094697713851929,0.9057887196540833,0.9387754797935486,0.8367346525192261,0.714285671710968,20503.609375,0.2540537416934967,0.3693014681339264,0.5464569571295793,0.48840841344425834,0.4718316606082728,0.521122450429679,0.05761572310045405,0.052555457544030036,0.6889548788265306,0.6810427295918368,0.9885157221788308,0.000410445206912774,0.2250780813558002,0.00025015394642327653,Neutral,False,False
-5z9IXBJefc_000227,-0.02038911171257496,0.018975337967276573,0.5039121508598328,-0.08746498823165894,0,1,True,0.23364234851538357,0.26996999432325036,0.09578923147722043,0.09578923147722043,0.29124657808639914,0.16251558184440154,0.22880606908742726,0.29124657808639914,0.23364234851538357,-0.1287309962419976,0.03936444967985153,0.5648952722549438,0.8685044646263123,0.7755101919174194,0.714285671710968,0.6530612111091614,20074.568359375,0.1818191260099411,0.3028280436992645,0.4488849855076615,0.552578189415712,0.5497905980502196,0.45001563769666786,0.10173745538814714,0.06519348973830139,0.6830157844387755,0.6597576530612245,0.9659478859677277,0.01192065928784758,0.17106613019192807,0.006733924073867083,Neutral,False,False
