outcome,feature,count,mean,median,std
Rescue,semantic_margin,286,0.028450554990619943,0.019674458540976048,0.02713025835323739
Rescue,ownership_confidence,286,0.5518671622226289,0.5602457523345947,0.126919111934566
Rescue,soft_containment,286,12561.70188380955,12083.23193359375,3644.977929736701
Rescue,seed_containment_top10,286,0.7439798196269707,0.8310559093952179,0.23417509874132375
Rescue,seed_containment_top20,286,0.6741390377022587,0.7282564342021942,0.17550427233756313
Rescue,centroid_distance,286,0.04582007195753102,0.03899612116784952,0.030607205824563208
Rescue,js_divergence,286,0.04838224735246121,0.04389334296176138,0.02456116442281875
Rescue,extent_ratio,286,0.7086969068131945,0.6722477074130848,0.16031068089991513
Rescue,R1,286,0.01948475965626823,0.012701961647632043,0.01983621622237587
Rescue,R2,286,0.3641521536769089,0.38397481565129077,0.1047341585303953
Rescue,R3,286,0.01097051423565076,0.006699951870372178,0.012194780822191583
Hurt,semantic_margin,727,0.02721384562682642,0.02168210968375206,0.022873223980130343
Hurt,ownership_confidence,727,0.5351718191103562,0.5365095138549805,0.11954775416353464
Hurt,soft_containment,727,13685.844185221802,13920.7802734375,3697.5213001243096
Hurt,seed_containment_top10,727,0.5037282242489648,0.694867730140686,0.3376585674373799
Hurt,seed_containment_top20,727,0.4895777457292503,0.5636096596717834,0.2513387152975774
Hurt,centroid_distance,727,0.05644914344280316,0.05034312982795766,0.03315040885070878
Hurt,js_divergence,727,0.06827046707996431,0.06541403788018521,0.03511257463723346
Hurt,extent_ratio,727,0.803262633542414,0.81913174320107,0.18452180295151555
Hurt,R1,727,0.014606956115546955,0.008445916515649854,0.016491268959449273
Hurt,R2,727,0.2659197599552221,0.2898257580786847,0.14589984302517547
Hurt,R3,727,0.008109544762939938,0.004479742654866465,0.009533205403252464
Neutral,semantic_margin,4145,0.02735864788198909,0.0209942776709795,0.024036575202167558
Neutral,ownership_confidence,4145,0.5028143278796078,0.5052767395973206,0.13814675976878285
Neutral,soft_containment,4145,14288.146595696056,14386.9833984375,3836.5583931907113
Neutral,seed_containment_top10,4145,0.6085741635722044,0.7941800951957703,0.3242596146908522
Neutral,seed_containment_top20,4145,0.5784858708151934,0.6873123049736023,0.2534905428697127
Neutral,centroid_distance,4145,0.04753318040971388,0.04043680831913904,0.03179994850874123
Neutral,js_divergence,4145,0.05405463806541359,0.04664510174819818,0.03358235803674843
Neutral,extent_ratio,4145,0.7835520275844227,0.7744516129032258,0.1604899873354367
Neutral,R1,4145,0.01708919990287985,0.010670943371658748,0.018348467442515868
Neutral,R2,4145,0.28945119622392246,0.3227697614648406,0.14142839193337214
Neutral,R3,4145,0.008824572249577492,0.005083079049093219,0.01008410328850147
