method,cIoU,AUC,mean_sample_cIoU,num_samples
AUD,0.42690965490500193,0.42295463357890656,0.42293451522094005,5158
SLOT_L4_FIXED_SLOT0,0.21442419542458316,0.3472179139201241,0.3466343631075107,5158
SLOT_L4_AUDIO_SELECTED,0.14443582784024817,0.2688542070569988,0.2668375935680852,5158
AUD_FIXED_SLOT0,0.38580845288871657,0.4157231485071734,0.4151921720889653,5158
AUD_AUDIO_SELECTED_SLOT,0.3414113997673517,0.39004459092671584,0.38949192257385307,5158
OGL,0.4569600620395502,0.44010275300504076,0.440186748823337,5158
ORACLE_AUD_VS_FIXED_SLOT0,0.4957347809228383,0.4616614967041489,0.46124433051870306,5158
ORACLE_AUD_VS_AUDIO_SELECTED_SLOT,0.4823575029081039,0.4548565335401319,0.454477782370495,5158
