dataset,method,cIoU,AUC,mean_sample_cIoU,num_samples
vggss_144k,AUD_FINE,0.42690965490500193,0.42295463357890656,0.42293451522094005,5158
vggss_144k,IMG_L4,0.4069406746801086,0.416614967041489,0.41668391824547824,5158
vggss_144k,IMG_FINE,0.4230321830166731,0.42598875533152386,0.42576088149283114,5158
vggss_144k,IMG_VALUE,0.11651803024428073,0.21969755719271036,0.2149372264146566,5158
vggss_144k,IMG_VALUE_RES,0.42458317177200466,0.42598875533152386,0.42577120513017597,5158
vggss_144k,IQR_FINE,0.43039937960449787,0.42608569212873204,0.4256972426664416,5158
vggss_144k,IQR_VALUE,0.4272974020938348,0.423148507173323,0.42293165731588106,5158
vggss_144k,IQR_VALUE_RES,0.4305932531989143,0.4256882512601784,0.42536272823056936,5158
