sample_index,sample_id,dataset,fold,IoU_AUD,intrinsic_IoU_AUD_binary,IoU_IMG,IoU_PROP_F34,IoU_PROP_K34,TP,FP,FN,IoU_expand_star,IoU_shrink_star,intrinsic_expand_gain,intrinsic_shrink_gain,intrinsic_error_type,candidate_5_2_error_type,candidate_5_2_expand_gain,candidate_5_2_shrink_gain,AUD_ONLY_pixels,TRUE_EXTENT_pixels,CONTEXT_LEAKAGE_pixels,AUD_ONLY_true_extent_ratio,AUD_ONLY_leakage_ratio,group_IMG_ONLY,group_AUD_ONLY,group_BOTH_SUCCESS,group_BOTH_FAIL,group_OGL_RESCUE,group_IMG_ONLY_SHRINK,AUD_OVER_EXPANSION,group_PROP_ONLY,group_PROP_HURT,probe_sampled_pixels,routing_sampled_pixels,OOF_predicted_leakage_ratio_PREDICTION,OOF_mean_leakage_probability_PREDICTION,transfer_from_flickr_144k_predicted_leakage_ratio_PREDICTION,transfer_from_flickr_144k_mean_leakage_probability_PREDICTION,OOF_predicted_leakage_ratio_WITHOUT_PROTOTYPE,OOF_mean_leakage_probability_WITHOUT_PROTOTYPE,transfer_from_flickr_144k_predicted_leakage_ratio_WITHOUT_PROTOTYPE,transfer_from_flickr_144k_mean_leakage_probability_WITHOUT_PROTOTYPE,OOF_predicted_leakage_ratio_WITH_PROTOTYPE,OOF_mean_leakage_probability_WITH_PROTOTYPE,transfer_from_flickr_144k_predicted_leakage_ratio_WITH_PROTOTYPE,transfer_from_flickr_144k_mean_leakage_probability_WITH_PROTOTYPE,OOF_predicted_leakage_ratio_PROTOTYPE_ONLY,OOF_mean_leakage_probability_PROTOTYPE_ONLY,transfer_from_flickr_144k_predicted_leakage_ratio_PROTOTYPE_ONLY,transfer_from_flickr_144k_mean_leakage_probability_PROTOTYPE_ONLY
3751,ez50pKMB62U_000064,vggss_144k,3,0.19956616052060738,0.19956616052060738,0.22314333872243816,0.15452806420006532,0.1464968152866242,6624,26568,0,0.19956616052060738,1.0,0.0,0.8004338394793926,INTRINSIC_SHRINK,SHRINK,0.0,0.02357717820183078,4258,137,4121,0.0321747299201503,0.9678252700798496,False,False,False,True,False,False,True,False,False,12,12,0.3333333333333333,0.49401764206570115,0.75,0.5337798600705238,0.6666666666666666,0.5178767822862723,0.25,0.4369361564169875,0.5833333333333334,0.5248681403545645,0.08333333333333333,0.4387263724623531,0.6666666666666666,0.523348218482789,0.08333333333333333,0.43231501416868995
3752,ez50pKMB62U_000422,vggss_144k,2,0.12165763655000732,0.12165763655000732,0.13633529160786373,0.09909351145038169,0.0938544961590601,4154,29991,0,0.12165763655000732,1.0,0.0,0.8783423634499927,INTRINSIC_SHRINK,SHRINK,0.0,0.014686604760262803,3678,0,3678,0.0,1.0,False,False,False,True,False,False,True,False,False,0,12,0.5833333333333334,0.5067335746978864,0.9166666666666666,0.5577639177417867,0.8333333333333334,0.5853338582760613,0.4166666666666667,0.460162437144985,0.75,0.5915502184395728,0.25,0.4325569407745888,0.5833333333333334,0.5410678236810996,0.3333333333333333,0.4304414924945854
3753,ezUkPETm6cs_000030,vggss_144k,4,0.7290886110233377,0.7290886110233377,0.5869802070092609,0.7586516543482765,0.8257450798743702,32303,1874,10129,0.9577032456100754,0.7612886500754148,0.2286146345867377,0.032200039052077134,INTRINSIC_EXPAND,EXPAND,0.08836392485330014,0.0,6693,6443,250,0.9626475422082773,0.03735245779172269,False,False,True,False,False,False,False,False,False,12,12,0.4166666666666667,0.48151883192792905,0.4166666666666667,0.4828763402768426,0.08333333333333333,0.34471681613416266,0.0,0.3947700505319449,0.08333333333333333,0.35211058988820704,0.25,0.4245676050120362,0.16666666666666666,0.4385931579679707,0.0,0.3863732705301346
3754,f-22ZuQyAJ4_000119,vggss_144k,2,0.5473203635914943,0.5473203635914943,0.6093900791353021,0.44552476147205816,0.4565822863155289,13307,9515,1491,0.6086455805536133,0.8992431409649952,0.06132521696211901,0.351922777373501,INTRINSIC_SHRINK,SHRINK,0.0,0.12718418916694174,6357,714,5643,0.1123171307220387,0.8876828692779613,False,False,True,False,False,False,True,False,True,12,12,1.0,0.570628124894759,1.0,0.5701160917268822,1.0,0.6703131773690827,0.75,0.5382428588253622,0.9166666666666666,0.6538889836117228,0.3333333333333333,0.4587369586849643,0.4166666666666667,0.4848203742416887,0.0,0.3546256405613742
3755,f-3r6Pou7UM_000015,vggss_144k,1,0.5324921956295525,0.5324921956295525,0.5028384166795685,0.5754446943365364,0.5791215175166073,20469,6222,11749,0.8381373569198751,0.6353280774722205,0.3056451612903226,0.10283588184266801,INTRINSIC_EXPAND,EXPAND,0.046730354950124675,0.0,1283,1272,11,0.9914263445050663,0.00857365549493375,False,False,True,False,False,False,False,False,False,12,12,0.6666666666666666,0.546535078436772,0.6666666666666666,0.5253815839609883,0.9166666666666666,0.6126052988472964,0.8333333333333334,0.6036490168395953,1.0,0.650041118160708,0.75,0.6051316939068013,1.0,0.6539561087146789,0.5,0.5012941760455086
3756,f1YFrUS19Og_000032,vggss_144k,4,0.25907026299557,0.25907026299557,0.3363057324840764,0.26982702935476927,0.25218508997429306,9240,26426,0,0.25907026299557,1.0,0.0,0.74092973700443,INTRINSIC_SHRINK,SHRINK,0.0,0.07771352472858806,8230,0,8230,0.0,1.0,False,False,False,True,False,False,True,False,False,0,12,0.5833333333333334,0.539708998097406,0.75,0.5190436483881014,0.6666666666666666,0.5892550413863844,0.4166666666666667,0.4491279343510613,0.6666666666666666,0.5912069104979718,0.25,0.39742718690083395,0.6666666666666666,0.5265312943197952,0.08333333333333333,0.350385212490288
3757,f1Z-HuZ-_ZA_000030,vggss_144k,4,0.735532173209227,0.735532173209227,0.7075251066171413,0.5146403564608529,0.4879447177042156,14540,3598,1630,0.8179886685552408,0.8991960420531849,0.08245649534601374,0.1636638688439579,INTRINSIC_SHRINK,SHRINK,0.0,0.019870985560515253,520,0,520,0.0,1.0,False,False,True,False,False,False,True,False,False,0,12,0.5833333333333334,0.4916436514456642,0.5833333333333334,0.507077839754538,0.75,0.5756660097607488,0.9166666666666666,0.623757619674317,0.75,0.5676163934018307,0.6666666666666666,0.5267669223421243,0.16666666666666666,0.4744824660205822,0.0,0.28629812870235594
3758,f1mXMVWFLiA_000183,vggss_144k,2,0.13684682819079175,0.13684682819079175,0.1916106896051805,0.16498834886817576,0.12086572168876696,3965,25009,0,0.13684682819079175,1.0,0.0,0.8631531718092083,INTRINSIC_SHRINK,SHRINK,0.0,0.05501419958429776,8308,0,8308,0.0,1.0,False,False,False,True,False,False,True,False,False,0,12,0.5833333333333334,0.513120865740274,0.5833333333333334,0.5101056899172695,0.5,0.4613257582974235,0.3333333333333333,0.4775358490325794,0.5,0.46847645622361117,0.3333333333333333,0.44188042549398654,0.3333333333333333,0.5010883082362114,0.08333333333333333,0.36263040220770754
3759,f5RrGFBbbSY_000020,vggss_144k,1,0.10268832525885817,0.10268832525885817,0.12363470006290388,0.06682533304484901,0.0566844078550641,2162,18892,0,0.10268832525885817,1.0,0.0,0.8973116747411418,INTRINSIC_SHRINK,SHRINK,0.0,0.02204484268667925,3721,0,3721,0.0,1.0,False,False,False,True,False,False,True,False,False,0,12,0.5833333333333334,0.5205105051634603,0.8333333333333334,0.5539720705909156,0.3333333333333333,0.48433152983898425,0.4166666666666667,0.5095379368101146,0.25,0.4653369612223109,0.08333333333333333,0.4405952727873969,0.08333333333333333,0.426353345402841,0.0,0.28261900011251917
3760,f61vxWAeITg_000070,vggss_144k,3,0.09418509418509419,0.09418509418509419,0.0965615684957387,0.06661453355345093,0.06046743959828588,2300,22120,0,0.09418509418509419,1.0,0.0,0.9058149058149059,INTRINSIC_SHRINK,KEEP_AMBIGUOUS,0.0,0.00523137436904457,1285,0,1285,0.0,1.0,False,False,False,True,False,False,True,False,False,0,12,0.5,0.49101547473173657,0.6666666666666666,0.5182081446529412,0.3333333333333333,0.46654329319474647,0.16666666666666666,0.4842027258455259,0.16666666666666666,0.4586482242523923,0.3333333333333333,0.45012875637697264,0.4166666666666667,0.49693457414502595,0.25,0.38081924015476426
