sample_index,sample_id,IoU_AUD,IoU_IMG,IoU_IQR,IoU_OBJ,IoU_OGL,Y_IMG_BETTER,group_IMG_ONLY,group_AUD_ONLY,group_BOTH_SUCCESS,group_BOTH_FAIL,group_OGL_RESCUE,correction_type,S_ORIGINAL,S_KEEP_A_BLUR,S_KEEP_I_BLUR,S_REMOVE_A_BLUR,S_REMOVE_I_BLUR,S_REMOVE_A_EXTRA_BLUR,S_REMOVE_I_EXTRA_BLUR,S_KEEP_RANDOM_BLUR,S_REMOVE_RANDOM_BLUR,DROP_A_BLUR,DROP_I_BLUR,CF_A_BLUR,CF_I_BLUR,DELTA_CF_BLUR,DELTA_KEEP_BLUR,DELTA_DROP_BLUR,DROP_A_EXTRA_BLUR,DROP_I_EXTRA_BLUR,DROP_DENSITY_A_BLUR,DROP_DENSITY_I_BLUR,CF_RANDOM_BLUR,PERTURB_BLUR_KEEP_A_mean_abs,PERTURB_BLUR_KEEP_A_L1,PERTURB_BLUR_KEEP_A_L2,PERTURB_BLUR_KEEP_I_mean_abs,PERTURB_BLUR_KEEP_I_L1,PERTURB_BLUR_KEEP_I_L2,PERTURB_BLUR_REMOVE_A_mean_abs,PERTURB_BLUR_REMOVE_A_L1,PERTURB_BLUR_REMOVE_A_L2,PERTURB_BLUR_REMOVE_I_mean_abs,PERTURB_BLUR_REMOVE_I_L1,PERTURB_BLUR_REMOVE_I_L2,S_KEEP_A_MEAN,S_KEEP_I_MEAN,S_REMOVE_A_MEAN,S_REMOVE_I_MEAN,S_REMOVE_A_EXTRA_MEAN,S_REMOVE_I_EXTRA_MEAN,S_KEEP_RANDOM_MEAN,S_REMOVE_RANDOM_MEAN,DROP_A_MEAN,DROP_I_MEAN,CF_A_MEAN,CF_I_MEAN,DELTA_CF_MEAN,DELTA_KEEP_MEAN,DELTA_DROP_MEAN,DROP_A_EXTRA_MEAN,DROP_I_EXTRA_MEAN,DROP_DENSITY_A_MEAN,DROP_DENSITY_I_MEAN,CF_RANDOM_MEAN,PERTURB_MEAN_KEEP_A_mean_abs,PERTURB_MEAN_KEEP_A_L1,PERTURB_MEAN_KEEP_A_L2,PERTURB_MEAN_KEEP_I_mean_abs,PERTURB_MEAN_KEEP_I_L1,PERTURB_MEAN_KEEP_I_L2,PERTURB_MEAN_REMOVE_A_mean_abs,PERTURB_MEAN_REMOVE_A_L1,PERTURB_MEAN_REMOVE_A_L2,PERTURB_MEAN_REMOVE_I_mean_abs,PERTURB_MEAN_REMOVE_I_L1,PERTURB_MEAN_REMOVE_I_L2,A20_area_14,I20_area_14,A20_area_input,I20_area_input,A20_I20_IoU,R_A_PLUS_area,R_I_PLUS_area,AUD_EXTRA_EXTERIOR_AREA,AUD_EXTRA_EXTERIOR_FRACTION,IoU_CF_BLUR,IoU_CF_MEAN,IoU_CF_CONSENSUS
25,10173808724,0.790263980284052,0.7510643689812468,0.7702590229261772,0.5004944620253164,0.7581433888451194,False,False,False,True,False,False,MIXED,0.38838309049606323,0.24710673093795776,0.19103506207466125,0.30933505296707153,0.32173991203308105,0.30222469568252563,0.388349324464798,0.2647272050380707,0.34594130516052246,0.0790480375289917,0.06664317846298218,-0.06222832202911377,-0.1307048499584198,-0.06847652792930603,-0.05607166886329651,-0.012404859066009521,0.0861583948135376,3.376603126525879e-05,0.0021539598703384398,3376.603126525879,-0.08121410012245178,0.3320716619491577,49986.0859375,211.0205841064453,0.3555743098258972,53523.890625,224.84881591796875,0.14274588227272034,21487.251953125,154.99790954589844,0.11924322694540024,17949.4453125,134.153076171875,0.30517494678497314,0.23658926784992218,0.366229772567749,0.38246023654937744,0.34350040555000305,0.388349324464798,0.25445830821990967,0.355745792388916,0.02215331792831421,0.005922853946685791,-0.06105482578277588,-0.14587096869945526,-0.08481614291667938,-0.06858567893505096,-0.016230463981628418,0.04488268494606018,3.376603126525879e-05,0.0011220671236515044,3376.603126525879,-0.10128748416900635,0.6303282380104065,94882.046875,338.1950378417969,0.6536593437194824,98394.03125,348.93646240234375,0.2457731068134308,36995.734375,240.90357971191406,0.22244204580783844,33483.7578125,225.0639190673828,40,40,10240,10240,0.25,40,0,0,0.0,0.790263980284052,0.790263980284052,0.790263980284052
26,10202025415,0.86358387640524,0.7190272357778468,0.8363551214290493,0.477919555792612,0.7878183680437009,False,False,False,True,False,False,SHRINK,0.3497362434864044,0.35236644744873047,0.3779042661190033,0.3625377416610718,0.36529654264450073,0.3683820962905884,0.3497609496116638,0.3571406602859497,0.3934597074985504,-0.012801498174667358,-0.015560299158096313,-0.010171294212341309,0.012607723474502563,0.022779017686843872,0.025537818670272827,-0.002758800983428955,-0.01864585280418396,-2.4706125259399414e-05,-0.000466146320104599,-2470.6125259399414,-0.03631904721260071,0.20509013533592224,30871.80859375,151.9733123779297,0.19902709126472473,29959.150390625,145.77822875976562,0.050145238637924194,7548.2626953125,61.89768981933594,0.0562082901597023,8460.921875,75.33869171142578,0.3007934093475342,0.34432435035705566,0.35297632217407227,0.3614470958709717,0.3492410480976105,0.3497609496116638,0.2863798141479492,0.35937798023223877,-0.0032400786876678467,-0.01171085238456726,-0.052182912826538086,-0.017122745513916016,0.03506016731262207,0.043530941009521484,-0.008470773696899414,0.0004951953887939453,-2.4706125259399414e-05,1.2379884719848632e-05,-2470.6125259399414,-0.07299816608428955,1.4103138446807861,212291.71875,651.5913696289062,1.4177688360214233,213413.90625,653.595458984375,0.2531989812850952,38113.5390625,235.8625030517578,0.24574396014213562,36991.34765625,230.2508544921875,40,40,10240,10240,0.5384615384615384,40,0,16,0.4,0.7190272357778468,0.7190272357778468,0.7190272357778468
27,10221582415,0.66682201250534,0.6197662648385018,0.6361691497674895,0.27028889216989027,0.7596098840535224,False,False,False,True,False,False,MIXED,0.3911174535751343,0.20363923907279968,0.18602675199508667,0.3432210385799408,0.36778202652931213,0.40264999866485596,0.3937731981277466,0.21829788386821747,0.40262147784233093,0.04789641499519348,0.023335427045822144,-0.1395817995071411,-0.18175527453422546,-0.04217347502708435,-0.017612487077713013,-0.024560987949371338,-0.01153254508972168,-0.0026557445526123047,-0.000720784068107605,-0.0001106560230255127,-0.18432359397411346,0.20550264418125153,30933.90234375,117.36781311035156,0.20526506006717682,30898.138671875,117.52400970458984,0.06275682151317596,9446.6591796875,70.33560943603516,0.06299442052841187,9482.423828125,70.07431030273438,0.20161205530166626,0.1704930067062378,0.2876507043838501,0.2404341846704483,0.37611138820648193,0.36212530732154846,0.21519702672958374,0.3186227083206177,0.10346674919128418,0.15068326890468597,-0.08603864908218384,-0.06994117796421051,0.016097471117973328,-0.031119048595428467,0.047216519713401794,0.015006065368652344,0.028992146253585815,0.0009378790855407715,0.001208006093899409,-0.10342568159103394,0.6187314391136169,93136.40625,303.0822448730469,0.6081339120864868,91541.1875,301.87884521484375,0.13477294147014618,20287.1015625,146.76806640625,0.14537037909030914,21882.3125,149.22760009765625,40,40,10240,10240,0.48148148148148145,16,24,5,0.3125,0.66682201250534,0.6197662648385018,0.66682201250534
28,10234680056,0.7826325293434799,0.6811291254546072,0.7558939912878662,0.5380124051422434,0.7476907230196704,False,False,False,True,False,False,SHRINK,0.40628552436828613,0.2664298117160797,0.26801812648773193,0.38446351885795593,0.34403157234191895,0.38417717814445496,0.40609487891197205,0.33285194635391235,0.3813773989677429,0.0218220055103302,0.06225395202636719,-0.11803370714187622,-0.07601344585418701,0.04202026128768921,0.0015883147716522217,0.04043194651603699,0.022108346223831177,0.00019064545631408691,0.0005668806724059276,0.00019064545631408691,-0.048525452613830566,0.11036637425422668,16613.23046875,115.36275482177734,0.1186603307723999,17861.703125,119.68858337402344,0.10963963717222214,16503.8359375,133.21051025390625,0.10134567320346832,15255.3623046875,129.3377227783203,0.31856176257133484,0.32877838611602783,0.35626208782196045,0.3437984585762024,0.3654315173625946,0.4018585681915283,0.28816765546798706,0.3381577730178833,0.050023436546325684,0.06248706579208374,-0.03770032525062561,-0.01502007246017456,0.02268025279045105,0.010216623544692993,0.012463629245758057,0.04085400700569153,0.0044269561767578125,0.0010475386411715776,0.0044269561767578125,-0.04999011754989624,1.1300880908966064,170109.90625,508.79791259765625,1.1191909313201904,168469.578125,504.8617858886719,0.258777916431427,38953.32421875,239.87545776367188,0.269675076007843,40593.6484375,248.05264282226562,40,40,10240,10240,0.48148148148148145,39,1,8,0.20512820512820512,0.6811291254546072,0.6811291254546072,0.6811291254546072
29,10246013484,0.8345762370250932,0.8750131916839624,0.8543414501057227,0.35851260416303476,0.7414370610480822,True,False,False,True,False,False,MIXED,0.4407581388950348,0.2912149429321289,0.23671245574951172,0.34375882148742676,0.3686167001724243,0.39625006914138794,0.421172559261322,0.2314290553331375,0.3803778290748596,0.09699931740760803,0.07214143872261047,-0.05254387855529785,-0.1319042444229126,-0.07936036586761475,-0.05450248718261719,-0.02485787868499756,0.04450806975364685,0.01958557963371277,0.0015895739197731018,0.0016321316361427307,-0.1489487737417221,0.2783290147781372,41896.3125,186.00099182128906,0.30676916241645813,46177.34765625,200.7095947265625,0.14107146859169006,21235.20703125,153.43057250976562,0.11263135075569153,16954.171875,133.61497497558594,0.3300383687019348,0.26681119203567505,0.37881869077682495,0.4050295352935791,0.39517834782600403,0.4241129159927368,0.22413690388202667,0.37489256262779236,0.06193944811820984,0.03572860360145569,-0.04878032207489014,-0.13821834325790405,-0.08943802118301392,-0.06322717666625977,-0.02621084451675415,0.04557979106903076,0.016645222902297974,0.0016278496810368129,0.001387101908524831,-0.15075565874576569,0.9988218545913696,150350.65625,463.33367919921875,0.979044497013092,147373.609375,459.9006042480469,0.21550926566123962,32440.1796875,215.41555786132812,0.2352866232395172,35417.2265625,222.65084838867188,40,40,10240,10240,0.42857142857142855,28,12,10,0.35714285714285715,0.8345762370250932,0.8345762370250932,0.8345762370250932
30,10268129763,0.6724718431559502,0.6893435008128822,0.7217775278669004,0.6502756813827083,0.7132859792155078,True,False,False,True,False,False,SHRINK,0.38574591279029846,0.40831834077835083,0.40555238723754883,0.3720647096633911,0.37594491243362427,0.4048207402229309,0.38574451208114624,0.3962673544883728,0.3898034691810608,0.013681203126907349,0.009801000356674194,0.03625363111495972,0.02960747480392456,-0.006646156311035156,-0.002765953540802002,-0.0038802027702331543,-0.019074827432632446,1.4007091522216797e-06,-0.00047687068581581116,140.07091522216797,0.006463885307312012,0.37195637822151184,55989.8515625,227.00885009765625,0.38144221901893616,57417.734375,230.60841369628906,0.12472841143608093,18775.119140625,134.01788330078125,0.11524254828691483,17347.23046875,127.7245864868164,0.37660452723503113,0.3911973834037781,0.3561801314353943,0.3733872175216675,0.394296795129776,0.38574451208114624,0.361931711435318,0.37247031927108765,0.029565781354904175,0.012358695268630981,0.02042439579963684,0.017810165882110596,-0.002614229917526245,0.014592856168746948,-0.017207086086273193,-0.008550882339477539,1.4007091522216797e-06,-0.00021377205848693848,140.07091522216797,-0.010538607835769653,0.6775335669517517,101987.7734375,350.7295227050781,0.6500353217124939,97848.515625,337.2738952636719,0.22352446615695953,33646.69140625,223.30101013183594,0.25102269649505615,37785.9453125,243.14779663085938,40,40,10240,10240,0.45454545454545453,40,0,29,0.725,0.6724718431559502,0.6724718431559502,0.6724718431559502
31,10278084464,0.5673484816665967,0.5605418420941465,0.5645791057308795,0.5953431424289122,0.5996257571032286,False,False,False,True,False,False,MIXED,0.4139440059661865,0.3264623284339905,0.33616095781326294,0.3312189280986786,0.3496708273887634,0.4230312705039978,0.4312300980091095,0.3104305863380432,0.4185420870780945,0.08272507786750793,0.0642731785774231,-0.00475659966468811,-0.013509869575500488,-0.008753269910812378,0.009698629379272461,-0.01845189929008484,-0.00908726453781128,-0.017286092042922974,-0.00041305747899142176,-0.000960338446829054,-0.10811150074005127,0.2951624095439911,44430.20703125,180.84359741210938,0.2976422905921936,44803.5,181.72836303710938,0.13323253393173218,20055.2265625,145.5644073486328,0.13075269758701324,19681.94140625,144.4583282470703,0.3868732154369354,0.368149995803833,0.37412750720977783,0.3606078624725342,0.4061256945133209,0.45749905705451965,0.3530411124229431,0.46179234981536865,0.03981649875640869,0.053336143493652344,0.012745708227157593,0.007542133331298828,-0.005203574895858765,-0.018723219633102417,0.013519644737243652,0.0078183114528656,-0.04355505108833313,0.00035537779331207275,-0.0024197250604629517,-0.10875123739242554,0.961385190486908,144715.390625,465.70574951171875,0.9648841023445129,145242.078125,467.67852783203125,0.23340478539466858,35133.95703125,225.8514404296875,0.22990593314170837,34607.28125,221.73741149902344,40,40,10240,10240,0.7777777777777778,22,18,13,0.5909090909090909,0.5673484816665967,0.5673484816665967,0.5673484816665967
