scale,dataset,sample_id,sample_index,positive_excess_total_mass,positive_excess_mean,positive_excess_max,positive_excess_area_gt0,positive_excess_area_ge_0p1,positive_excess_aud_mass_ratio,query_excess_total_mass,query_excess_mean,query_excess_max,query_excess_area_gt0,excess_gt_mass,excess_nearfp_mass,excess_bg_mass,excess_gt_ratio,excess_nearfp_ratio,excess_bg_ratio,excess_fp_ratio,removefp_count,removetp_count,addfp_count,addtp_count,overlap_removefp_excess,excess_precision_removefp,overlap_removetp_excess,excess_precision_removetp,excess_mean_removefp,excess_mean_removetp,excess_mean_retainedfp,excess_mean_retaintp,aud_iou,ogl_iou,ogl_minus_aud_iou,group,auto_taxonomy,delta_iou,aud_precision,aud_coverage,aud_area,groupA,aud_better,ogl_help
144k,vggss,-0BIyqJj9ZU_000030,0,2921.35595703125,0.05822217836976051,0.19176116585731506,0.7945232780612245,0.252750318877551,0.09838009625673294,423.6617431640625,0.008443513885140419,0.15034113824367523,0.2054767219387755,342.919189453125,10.52835464477539,2567.908447265625,0.11738356947898865,0.0036039273254573345,0.8790125250816345,0.8826164603233337,953,0,673,610,0.9611752360965372,0.02297697285907791,0.0,0.0,0.08404156565666199,,0.05712566152215004,0.03715333715081215,0.3136286201022146,0.3376332989336085,0.0240046788313939,B_close,OVER,0.0240046788313939,0.3484234830992846,0.7584871649742126,0.5265266262755102,False,False,False
144k,vggss,-0UuUoXQUoI_000107,1,1180.579833984375,0.023528775200247765,0.1758793145418167,0.5226602359693877,0.044224330357142856,0.04691200330853462,734.0330200195312,0.014629165641963482,0.10438764095306396,0.47733976403061223,309.7642822265625,2.303898334503174,868.5115966796875,0.2623831629753113,0.0019514972809702158,0.7356652617454529,0.737616777420044,205,453,2741,378,0.07804878048780488,0.0006101048617731173,0.6313465783664459,0.01090562440419447,0.00333940121345222,0.03060222789645195,0.002765572164207697,0.022706370800733566,0.4980217358641758,0.4385637470559481,-0.059457988808227724,transition,GOOD,-0.0594579888082277,0.5808750511127987,0.7773608565330505,0.3411790497448979,False,False,False
144k,vggss,-2-wdcN5vOw_000017,2,2142.3837890625,0.04269738122820854,0.1751939356327057,0.6723931760204082,0.13356983418367346,0.06781531870365143,573.17431640625,0.011423276737332344,0.1006399542093277,0.32760682397959184,1683.1168212890625,23.697925567626953,435.5688781738281,0.785628080368042,0.011061475612223148,0.20331038534641266,0.21437187492847443,714,5202,0,578,1.0,0.02116308020629557,0.3119953863898501,0.048105993242041616,0.08269823342561722,0.013422871008515358,0.10697458684444427,0.025488099083304405,0.5716436205672997,0.4795684364557625,-0.09207518411153714,transition,GOOD,-0.0920751841115371,0.9252027426821204,0.599341630935669,0.5726044323979592,False,False,False
144k,vggss,-23CeprtibU_000030,3,5684.4833984375,0.11329088360071182,0.38770365715026855,0.827766262755102,0.4704041772959184,0.17115771770477295,453.17193603515625,0.009031646884977818,0.14350444078445435,0.17223373724489796,1117.4864501953125,26.76032066345215,4540.23583984375,0.19658540189266205,0.004707608371973038,0.7987068295478821,0.8034144639968872,4982,1251,150,0,0.7816138097149739,0.09375451437376607,0.4756195043964828,0.014325612750999181,0.14398083090782166,0.014733071438968182,0.125604048371315,0.08629807084798813,0.4340978688831948,0.4652557968347442,0.031157927951549425,B_close,OVER,0.0311579279515494,0.4408899044717382,0.9657281637191772,0.6279695471938775,False,False,False
144k,vggss,-2Dm0VjW8oM_000001,4,612.7843017578125,0.01221269741654396,0.11786589026451111,0.39279735331632654,0.00466358418367347,0.02701527439057827,1278.516357421875,0.025480635464191437,0.2457156926393509,0.6072026466836735,340.59197998046875,0.06406593322753906,272.1282653808594,0.5558105707168579,0.00010454891162225977,0.44408491253852844,0.4441894590854645,349,128,42,569,0.0057306590257879654,0.00010147648282510528,0.203125,0.0013191942767263687,2.8812954042223282e-05,0.0033927136100828648,3.20257167913951e-05,0.005493724253028631,0.4794548579847753,0.5038338790566586,0.024379021071883278,B_close,GOOD,0.0243790210718832,0.8538007433860506,0.5223381519317627,0.2734574298469387,False,False,False
144k,vggss,-2sOH8XovEE_000484,5,2115.056884765625,0.042152758687734604,0.21054933965206146,0.5805365114795918,0.16549744897959184,0.06733865290880203,1367.930419921875,0.027262642979621887,0.17449945211410522,0.41946348852040816,69.09687042236328,8.545145988464355,2037.4150390625,0.03266903758049011,0.0040401495061814785,0.9632908701896667,0.967331051826477,3621,0,133,0,0.38028169014084506,0.04727247759964297,0.0,0.0,0.02740422450006008,,0.033092889934778214,0.018904753029346466,0.1281826471207126,0.1460481099656357,0.017865462844923102,B_close,OVER,0.0178654628449231,0.1281826471207126,1.0,0.5682796556122449,False,False,False
144k,vggss,-3Kv4fdm7Uk_000030,6,6781.9091796875,0.13516241312026978,0.4143006503582001,0.8947704081632653,0.6184231505102041,0.21510328352451324,212.60787963867188,0.004237242508679628,0.13446885347366333,0.10522959183673469,129.58865356445312,17.260629653930664,6635.0595703125,0.019107989966869354,0.0025450990069657564,0.9783468842506409,0.98089200258255,7917,110,762,0,0.9794113932044967,0.17271026372059872,0.7636363636363637,0.0018709907341411263,0.1616194248199463,0.026026707142591476,0.10160370916128159,0.02379322610795498,0.180714047380714,0.2325662941047556,0.051852246724041595,transition,OVER,0.0518522467240415,0.1807924692058617,0.9976054430007936,0.597038424744898,False,False,False
144k,vggss,-4bPiXbovf0_000008,7,1184.0474853515625,0.02359788492321968,0.19598931074142456,0.5076132015306123,0.048927774234693876,0.04002145677804947,1046.5731201171875,0.0208580419421196,0.134771466255188,0.49238679846938777,126.72239685058594,2.3847832679748535,1054.9403076171875,0.10702475905418396,0.002014094265177846,0.8909611701965332,0.8929752111434937,5879,0,751,1232,0.09559448885864943,0.022065174715351393,0.0,0.0,0.005528110079467297,,0.009981749579310417,0.009221736341714859,0.3759420395383551,0.5173911097184296,0.14144907018007452,A_ogl_help,OVER,0.1414490701800744,0.3948908180045126,0.8868086338043213,0.5211455676020408,True,False,True
144k,vggss,-5CGQGSFGyg_000060,8,4540.97265625,0.09050089120864868,0.3547405004501343,0.9326769770408163,0.3203922193877551,0.1603909432888031,46.02614974975586,0.0009172941208817065,0.04617106914520264,0.06732302295918367,310.8656005859375,12.41908073425293,4217.6875,0.06845793128013611,0.002734894398599863,0.9288070797920227,0.931541919708252,3540,49,258,0,0.9663841807909604,0.0731014145903671,1.0,0.0010470532928757638,0.05648084357380867,0.12127101421356201,0.021804599091410637,0.051798246800899506,0.3322692652329749,0.4037326746260464,0.0714634093930715,transition,OVER,0.0714634093930715,0.3322878745449454,0.99983149766922,0.3558474170918367,False,False,False
144k,vggss,-5z9IXBJefc_000227,9,3441.17919921875,0.06858217716217041,0.23349611461162567,0.9008091517857143,0.21201371173469388,0.17151084542274475,113.03564453125,0.0022527831606566906,0.06149756908416748,0.09919084821428571,674.2050170898438,7.887277603149414,2759.086669921875,0.19592267274856567,0.0022920274641364813,0.8017852306365967,0.8040772676467896,424,0,5160,918,0.9693396226415094,0.009093121529237372,0.0,0.0,0.02822687104344368,,0.013297740370035172,0.03812320902943611,0.2151230949589683,0.2104973389612772,-0.004625755997691106,B_close,OVER,-0.004625755997691,0.30388341475532,0.4241303503513336,0.2406927614795918,False,False,False
