sample_id,IoU_AUD,IoU_AUD_FIXED_SLOT0,outcome,semantic_margin,ownership_confidence,mean_max_ownership_probability,fraction_max_ownership_gt_0_7,fraction_max_ownership_gt_0_8,fraction_max_ownership_gt_0_9,eval_soft_containment,eval_seed_top10,eval_seed_top20,centroid_distance,js_divergence,extent_aud,extent_slot,extent_ratio,raw_seed_top10,raw_seed_top20
-0BIyqJj9ZU_000030,0.299209068494028,0.30645869070890014,Neutral,0.033534981310367584,0.5205148458480835,0.8879827260971069,1.0,0.8775510191917419,0.4897959232330322,14608.5625,0.8072880506515503,0.7192675471305847,0.048459753284607644,0.019421201158362836,0.6440330038265306,0.5148875956632653,0.7994739285161688,0.20233258605003357,0.1855977475643158
-0UuUoXQUoI_000107,0.6284455632473254,0.5467828041584715,Neutral,0.0787077248096466,0.511236846446991,0.8531461954116821,0.8367346525192261,0.7346938848495483,0.5102040767669678,8553.705078125,0.8092586398124695,0.681839644908905,0.0766509824251516,0.050425782744714424,0.6334502551020408,0.38950892857142855,0.6149005789076265,0.46324533224105835,0.39113396406173706
-2-wdcN5vOw_000017,0.6180354539500095,0.46691501044335826,Hurt,0.0034137070178985596,0.28826165199279785,0.7461700439453125,0.5918367505073547,0.4285714328289032,0.22448979318141937,17824.787109375,0.9129565358161926,0.8628752827644348,0.01768009317214689,0.022907385040250527,0.6760004783163265,0.5116191007653061,0.7568324537869632,0.5024685859680176,0.47249752283096313
-23CeprtibU_000030,0.35660546925150854,0.3471324717285945,Neutral,0.022917792201042175,0.5683997869491577,0.9086334109306335,1.0,1.0,0.5714285373687744,20164.84375,0.8099010586738586,0.7851428985595703,0.01807133372639312,0.011172541535203145,0.7020288584183674,0.6081792091836735,0.8663165365507453,0.1254441887140274,0.12411360442638397
-2Dm0VjW8oM_000001,0.5905244122965642,0.5160258940554195,Neutral,0.008612286299467087,0.46252912282943726,0.8253827691078186,0.6938775181770325,0.6530612111091614,0.5306122303009033,13222.2705078125,0.9163647294044495,0.8617926836013794,0.015108973047218784,0.04157543706086343,0.6449099170918368,0.38928970025510207,0.6036342284990266,0.6256885528564453,0.5778323411941528
-2sOH8XovEE_000484,0.15380407338831847,0.16776059117822556,Neutral,0.007711689919233322,0.24016201496124268,0.723404049873352,0.4693877398967743,0.30612245202064514,0.20408162474632263,17044.46484375,0.9018535017967224,0.8568732738494873,0.013462568797357655,0.008525563606820654,0.6294842155612245,0.5319475446428571,0.8450530315022954,0.6244013905525208,0.5886185169219971
-3Kv4fdm7Uk_000030,0.21268510538274701,0.6248848987108656,Rescue,0.0049455296248197556,0.6483510136604309,0.9216906428337097,1.0,0.8979591727256775,0.714285671710968,8785.9248046875,0.8083483576774597,0.6063376069068909,0.09278389288914289,0.06083886511027488,0.6916254783163265,0.4246851084183674,0.6140391320635105,0.2361408919095993,0.175166055560112
-4bPiXbovf0_000008,0.3683596786732314,0.48084477101529643,Neutral,0.0010875053703784943,0.439725399017334,0.8530973196029663,0.9387754797935486,0.7551020383834839,0.2857142686843872,14679.8671875,0.8697540163993835,0.7643581032752991,0.0289914158023853,0.02308574218150812,0.6737683354591837,0.5252511160714286,0.7795722779306061,0.2937626838684082,0.26267319917678833
-5CGQGSFGyg_000060,0.2660986547085202,0.5562793371012549,Rescue,0.0011114096269011497,0.6094697713851929,0.9057887196540833,0.9387754797935486,0.8367346525192261,0.714285671710968,8550.822265625,0.7459463477134705,0.630698561668396,0.05402416794206165,0.05690647290814352,0.6889548788265306,0.4151187818877551,0.6025340623101623,0.27259939908981323,0.2302635908126831
-5z9IXBJefc_000227,0.23364234851538357,0.29124657808639914,Neutral,0.03936444967985153,0.5648952722549438,0.8685044646263123,0.7755101919174194,0.714285671710968,0.6530612111091614,8101.439453125,0.8181809186935425,0.6971720457077026,0.13915406952911896,0.11946660276649826,0.6830157844387755,0.26793686224489793,0.39228502232207985,0.6102180480957031,0.5259295701980591
-79qo5MUYBk_000207,0.312241923730872,0.31944719439274544,Neutral,0.014371678233146667,0.5055149793624878,0.8469127416610718,0.7755101919174194,0.6530612111091614,0.5102040767669678,12871.8876953125,0.7888330221176147,0.7229154109954834,0.04847501718247898,0.04787223528883541,0.6244021045918368,0.4030213647959184,0.6454516437918928,0.38777250051498413,0.3509647250175476
-7TanrCbmME_000030,0.3091935329570458,0.3618509777478085,Neutral,0.03138921782374382,0.5023969411849976,0.876626193523407,1.0,0.8163264989852905,0.44897958636283875,16050.5830078125,0.8682719469070435,0.8167765736579895,0.0057662721598144544,0.01681740516178694,0.6557716836734694,0.5182955994897959,0.7903598346705567,0.23929786682128906,0.22470207512378693
