method,cIoU,AUC,mean_sample_cIoU,num_samples
AUD_FINE,0.42690965490500193,0.42295463357890656,0.42293451522094005,5158
AUD_FIXED_SLOT0,0.38580845288871657,0.4157231485071734,0.4151921720889653,5158
