signal,auroc_removetp_vs_removefp,ap_removetp,n
f34_core_cos,0.5,0.045830613629754095,773675
k34_core_cos,0.5,0.045830613629754095,773675
cross_level_cos,0.5049333861735306,0.043163948587208255,773675
local_query_support,0.5663656727466388,0.0542983157661948,773675
core_connectivity,0.5,0.045830613629754095,773675
combined,0.5663656727466388,0.0542983157661948,773675
