sample_id,IoU_STAGE1_AUD,IoU_SLOT_L3_POOLED,IoU_SLOT_L3_NATIVE_READOUT,IoU_SLOT_L4,IoU_STAGE1_AUD_L3_POOLED,IoU_STAGE1_AUD_L3_NATIVE_READOUT,IoU_STAGE1_AUD_L4,IoU_NATIVE_UPDATE_AUD,IoU_SLOT_L3_NATIVE_UPDATE,IoU_NATIVE_UPDATE_AUD_L3_NATIVE_UPDATE
-0BIyqJj9ZU_000030,0.3418095206145795,0.2603230442523435,0.29036966144275633,0.5110369459570232,0.31013687136189627,0.3247271610796327,0.3826269674503429,0.3309910995114769,0.5191299066968476,0.4191955129546691
-0UuUoXQUoI_000107,0.37802042972877775,0.23209395163162047,0.225210905978726,0.39908675799086757,0.39347146909900527,0.39626807207463854,0.4146418098031001,0.41768025517894075,0.22326320869886154,0.4342677622039633
-2-wdcN5vOw_000017,0.524717409284669,0.6804599102118756,0.6543494063484371,0.2714398456681866,0.6156849643998079,0.5999874229656647,0.3926167961396144,0.7119216271074106,0.34208167968249903,0.5829119368849536
-23CeprtibU_000030,0.11166065601923407,0.38987966175195143,0.3555704490385111,0.0,0.32810221778835086,0.2782462057335582,0.0022035765742859565,0.339635940181417,0.3328749681690858,0.3693171688357996
-2Dm0VjW8oM_000001,0.6457047770921445,0.1625531914893617,0.2124001469102929,0.37335375191424197,0.3935555624208347,0.4781811160455686,0.5551809936592021,0.541836765550818,0.1815852968335766,0.469173859432799
-2sOH8XovEE_000484,0.13185901367293193,0.042751274693970234,0.04517184238276627,0.19372858632504097,0.0950993091537133,0.09719745222929936,0.16455069331892672,0.12819163860830526,0.05923058311154125,0.12517061421116019
-3Kv4fdm7Uk_000030,0.19835400310994805,0.11467086834733893,0.12016214869669588,0.2512806184222781,0.19936601859678782,0.2071437882935732,0.22957729755402517,0.19016405584564677,0.12046969216121867,0.21924940015392277
-4bPiXbovf0_000008,0.48281586503948315,0.233344411210812,0.23510417127438404,0.2587174689573057,0.3792700437439476,0.37064766077091577,0.6421429637367557,0.42480846406421013,0.1582360570687419,0.4592479018721756
-5CGQGSFGyg_000060,0.26360446004175736,0.10774382111744843,0.11249368367862557,0.428698752228164,0.2582761998041136,0.23232486652645204,0.5141491022638564,0.3626064136209435,0.14044743049102995,0.33636182770740763
-5z9IXBJefc_000227,0.21608527131782945,0.15461166146469443,0.14825753101004135,0.22543312057235043,0.2063851072158671,0.2148716464003088,0.23439116936874785,0.2491362065830151,0.2070295060676164,0.24664848897977731
-79qo5MUYBk_000207,0.2761832462261672,0.27975217864923746,0.26417093015393633,0.18514874677910517,0.3012523679225426,0.3088897774223644,0.21831696488631777,0.27475772462484227,0.24410217644650226,0.2713711837171934
-7TanrCbmME_000030,0.3223848194902308,0.2621544584274497,0.2516132590590701,0.0,0.33756605087453406,0.312055996656916,0.16369788038610808,0.15533635474984447,0.44875436554132714,0.38538064332749067
-7sg--aJdrc_000049,0.4200442580945726,0.23548043651849881,0.2622108639528516,0.291916041473489,0.34208622685185186,0.3818057221175261,0.40959619277621906,0.44509010185427006,0.44130945921504794,0.5164989304625311
-7tYmeOmsRg_000058,0.1491299134774296,0.10423083892009422,0.09959529941350878,0.22901230788071766,0.1693590027292174,0.15824765310683953,0.18267458529592465,0.11799092377509422,0.1609823318076677,0.1642429114294066
-7tYmeOmsRg_000180,0.1711302576291329,0.10283877878950187,0.09480195075532294,0.46215139442231074,0.2481383469751985,0.21521786022433131,0.3328628362670209,0.14659328469644609,0.1864166788731019,0.23747403946002077
