method,alpha,cIoU,AUC,mean_sample_cIoU,num_samples
AUD_FINE,,0.42690965490500193,0.42295463357890656,0.42293451522094005,5158
IMG_QUERY,,0.4069406746801086,0.416614967041489,0.41668391824547824,5158
SLOT_L3,,0.12466072120977123,0.25600038774718886,0.25544759890199764,5158
SLOT_L4,,0.21442419542458316,0.3472179139201241,0.3466343631075107,5158
AUD_SLOT_L3,0.6,0.27801473439317564,0.3672547499030633,0.3672694693003908,5158
AUD_SLOT_L4,0.6,0.38580845288871657,0.4157231485071734,0.4151921720889653,5158
OBJ_PRIOR,,0.34780922838309425,0.3924195424583172,0.3914037623400056,5158
OGL,,0.4569600620395502,0.44010275300504076,0.440186748823337,5158
