sample_id,IoU_ORIGINAL_AUD,IoU_T2_CHUNK1,IoU_T2_CHUNK2,IoU_T2_RAW_MEAN,IoU_T2_RAW_GEO,IoU_T2_NORM_MEAN,IoU_T2_NORM_GEO,IoU_T4_CHUNK1,IoU_T4_CHUNK2,IoU_T4_CHUNK3,IoU_T4_CHUNK4,IoU_T4_RAW_MEAN,IoU_T4_RAW_GEO,IoU_T4_NORM_MEAN,IoU_T4_NORM_GEO,IoU_OGL_REFERENCE,original_pred_area,gt_area,is_over_expansion,T2_map_pearson,T2_map_spearman,T2_map_js_divergence,T4_map_pearson,T4_map_spearman,T4_map_js_divergence,delta_T2_RAW_MEAN,delta_T2_RAW_GEO,delta_T4_RAW_MEAN,delta_T4_RAW_GEO,delta_OGL
-0BIyqJj9ZU_000030,0.299209068494028,0.2971696647714916,0.2944506636814329,0.2988748918165208,0.2988461538461539,0.29888447236825233,0.29593059936908517,0.30415923214175844,0.29422935555011026,0.29865411348414,0.2899671675716631,0.30013909964592816,0.300091664822834,0.2997631454287068,0.2974515736610624,0.34181855912565284,28437,12136,True,0.9945152196919732,0.9949764521193093,2.576032766014413e-06,0.9893387448265966,0.9897244645613029,5.5292043384517225e-06,-0.00033417667750718083,-0.0003629146478741352,0.000930031151900157,0.0008825963288059957,0.042609490631624836
-0UuUoXQUoI_000107,0.6284455632473254,0.6276126920171241,0.623482784245727,0.6267191797949487,0.6267191797949487,0.6267583619881213,0.6267742137185018,0.625900656762099,0.6234487868123727,0.6228603324237162,0.5983635507417,0.6264353469795307,0.6265443654062149,0.6262947709971297,0.6264044943820225,0.45500074378935884,13084,12792,True,0.9985445281645267,0.9981289196662656,1.44046025078994e-06,0.9980110092710053,0.9976885092186035,3.925567217938418e-06,-0.0017263834523766342,-0.0017263834523766342,-0.002010216267794629,-0.0019011978411104247,-0.17344481945796653
-2-wdcN5vOw_000017,0.6180354539500095,0.6153146290889087,0.6215286570439774,0.6182044835090537,0.6182256122039341,0.6181752873563219,0.6181672195575464,0.6169911129919594,0.6124653798177552,0.6237834870907133,0.6205129286708567,0.6185908946868068,0.6186120207034963,0.618595905604969,0.6185536517862802,0.5247595067467234,32228,44352,False,0.9996399298434148,0.9993353999155304,4.1775616813013547e-07,0.9995699974956492,0.9992772274860745,4.0155024973888145e-07,0.00016902955904418704,0.0001901582539246549,0.0005554407367973635,0.0005765667534868291,-0.09327594720328602
-23CeprtibU_000030,0.35660546925150854,0.3600372854146708,0.3542022919272096,0.3569464785837252,0.3569464785837252,0.35696300102774925,0.3569556503417442,0.36228957994651007,0.35844022575679835,0.3542241226627533,0.3546157601294931,0.3571410226776588,0.3571501951921101,0.35718872819748776,0.35727501670350004,0.39265782767186036,38448,14385,True,0.998153055936576,0.9966084676744575,3.1838611999717413e-07,0.9967744030847108,0.9949405924025214,5.756082623684215e-07,0.0003410093322166463,0.0003410093322166463,0.0005355534261502481,0.0005447259406015648,0.036052358420351815
-2Dm0VjW8oM_000001,0.5905244122965642,0.592252729317036,0.5883731833098922,0.5906229650531799,0.5906229650531799,0.5906591418855365,0.5906591418855365,0.5908246182997485,0.5910312273057371,0.6052555587640774,0.5846425482848083,0.5931534142365513,0.5931534142365513,0.5929293295178759,0.5928998369860532,0.5793792781580585,21550,22428,False,0.9996410555084914,0.9993624939237702,6.524485159749432e-07,0.9994224815897762,0.9990121312093755,1.1590580140144182e-06,9.855275661574403e-05,9.855275661574403e-05,0.0026290019399871634,0.0026290019399871634,-0.011145134138505708
-2sOH8XovEE_000484,0.15380407338831847,0.1588163726427392,0.15177310854580184,0.15561800144760932,0.15557825735325417,0.15539305301645337,0.15544592353166334,0.16034218030269795,0.1559100797679478,0.15094573387296606,0.15172900494001412,0.1554789858771482,0.15544592353166334,0.15530061610367538,0.1549779511533243,0.1596767147225863,23764,3655,True,0.9910240356410328,0.9895337439934975,1.1566468474149627e-05,0.9941571934072702,0.9928307129177325,6.5536961259748916e-06,0.0018139280592908424,0.0017741839649356994,0.0016749124888297273,0.001641850143344864,0.00587264133426782
-3Kv4fdm7Uk_000030,0.21268510538274701,0.2359716607988873,0.1949931757776022,0.21390858944050434,0.213832762219859,0.2131527287004319,0.21357199055861525,0.24885405207187386,0.22831069431010556,0.2066458587088916,0.1855370629848604,0.21547926175828538,0.21543650793650793,0.21446630323141344,0.21506952422453748,0.26331360946745563,25526,5429,True,0.9969880386072334,0.9975360390153719,3.945685204036892e-06,0.9962186776260107,0.9963276993733848,4.325073600096716e-06,0.0012234840577573236,0.0011476568371119877,0.0027941563755383703,0.002751402553760912,0.05062850408470862
-4bPiXbovf0_000008,0.3683596786732314,0.3696423341035571,0.36845511617371046,0.3690271515230155,0.3690271515230155,0.36905109489051097,0.36905109489051097,0.36729135594319434,0.3770074681118234,0.37053094768175493,0.36136813221874803,0.37002859370938396,0.37002859370938396,0.36998407902004743,0.36923326308964177,0.5110013669033027,30600,11644,True,0.9997051440020563,0.9994724637219199,2.442951093008198e-07,0.9983343694666006,0.9974563507558432,1.337113148689599e-06,0.0006674728497841342,0.0006674728497841342,0.001668915036152574,0.001668915036152574,0.14264168823007128
-5CGQGSFGyg_000060,0.2660986547085202,0.2623342175066313,0.26926218350122516,0.2659197848980506,0.2659078687936906,0.2658483042874423,0.26587212688740536,0.2525536261491318,0.28044803629661136,0.2700955848884843,0.2686283386147578,0.26727321862895237,0.2672611809214971,0.2672972972972973,0.267381606812959,0.35866279772699794,22300,5934,True,0.9980503147342324,0.9971248475962037,1.274194920435988e-06,0.9979837878014081,0.9969439552470734,1.4138262898163349e-06,-0.00017886981046955075,-0.00019078591482957208,0.0011745639204321923,0.001162526212976911,0.09256414301847776
-5z9IXBJefc_000227,0.23364234851538357,0.2343671722002095,0.23297491039426524,0.23312198606894088,0.23310116974729886,0.2331384189617462,0.2331384189617462,0.23697230313959403,0.23250991705733862,0.23525542644156983,0.22352237786129142,0.2319782715169865,0.2319918083874989,0.23185761957730813,0.23189889190512217,0.22880606908742726,18893,8653,True,0.9995722681294876,0.9992477428300488,9.6200287777546e-07,0.9991015725104638,0.9986309557012966,2.1852599760243735e-06,-0.0005203624464426848,-0.0005411787680847102,-0.0016640769983970738,-0.001650540127884681,-0.004836279427956308
