dataset,group,seed,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
flickr,C2,12345,17,10110769444,HighAUDFP,0.007401315789473684,0.019083969465648856,2620
flickr,C2,12345,18,10111706074,FP,0.2784423828125,0.41188524590163933,2440
flickr,C2,12345,18,10111706074,NearFP,0.37646484375,0.4420450936805335,3149
flickr,C2,12345,18,10111706074,FarFP,0.08444940476190477,0.10553278688524591,976
flickr,C2,12345,18,10111706074,HighAUDFP,,,0
flickr,C2,12345,19,10119607346,FP,0.3949432373046875,0.30571665285832644,4828
flickr,C2,12345,19,10119607346,NearFP,0.402313232421875,0.3234283404083283,4947
flickr,C2,12345,19,10119607346,FarFP,0.439910888671875,0.3889190657251494,3682
flickr,C2,12345,19,10119607346,HighAUDFP,,,0
flickr,C2,12345,20,10119736773,FP,0.8876201923076923,0.66,450
flickr,C2,12345,20,10119736773,NearFP,0.8876201923076923,0.66,450
flickr,C2,12345,20,10119736773,FarFP,,,0
flickr,C2,12345,20,10119736773,HighAUDFP,,,0
flickr,C2,12345,21,10129791115,FP,0.329071044921875,0.42802669208770255,4196
flickr,C2,12345,21,10129791115,NearFP,0.330810546875,0.42735042735042733,4095
flickr,C2,12345,21,10129791115,FarFP,,,0
flickr,C2,12345,21,10129791115,HighAUDFP,0.6294921875,0.47693452380952384,1344
flickr,C2,12345,22,10129813456,FP,0.5296783447265625,0.32165422171165997,3482
flickr,C2,12345,22,10129813456,NearFP,0.502593994140625,0.3343772584919297,4151
flickr,C2,12345,22,10129813456,FarFP,,,0
flickr,C2,12345,22,10129813456,HighAUDFP,0.39140625,0.6060606060606061,165
flickr,C2,12345,23,10163352444,FP,0.7039794921875,0.5332823259372609,2614
flickr,C2,12345,23,10163352444,NearFP,0.707763671875,0.5488261313371895,2939
flickr,C2,12345,23,10163352444,FarFP,,,0
flickr,C2,12345,23,10163352444,HighAUDFP,,,0
flickr,C2,12345,24,10165890496,FP,0.270294189453125,0.09849749582637729,2995
flickr,C2,12345,24,10165890496,NearFP,0.2800750732421875,0.14150655687709668,3279
flickr,C2,12345,24,10165890496,FarFP,0.317578125,0.0,140
flickr,C2,12345,24,10165890496,HighAUDFP,0.21207682291666666,0.35507246376811596,552
flickr,C2,12345,25,10173808724,FP,0.83245849609375,0.836173001310616,2289
flickr,C2,12345,25,10173808724,NearFP,0.83740234375,0.8568564554931837,2494
flickr,C2,12345,25,10173808724,FarFP,,,0
flickr,C2,12345,25,10173808724,HighAUDFP,,,0
flickr,C2,12345,26,10202025415,FP,0.419952392578125,0.3395908036279266,4741
