dataset,outcome,feature,count,mean,median,std
flickr_144k,Rescue,extent_ratio,11,0.7881277088394602,0.7965159267693945,0.07759739710432133
flickr_144k,Hurt,semantic_margin,5,0.03977008908987045,0.044339682906866074,0.02201011104810323
flickr_144k,Hurt,ownership_confidence,5,0.2505569577217102,0.24719351530075073,0.09987726430336699
flickr_144k,Hurt,eval_soft_containment,5,16727.179296875,16606.47265625,3173.001424551523
flickr_144k,Hurt,eval_seed_top10,5,0.8426726222038269,0.8684616088867188,0.08777960144998997
flickr_144k,Hurt,eval_seed_top20,5,0.7808948397636414,0.767149031162262,0.08754680105732028
flickr_144k,Hurt,raw_seed_top10,5,0.6810362696647644,0.6452420949935913,0.07180417312677301
flickr_144k,Hurt,raw_seed_top20,5,0.6340162277221679,0.594847559928894,0.08209578671845373
flickr_144k,Hurt,centroid_distance,5,0.035952092453785285,0.039114312802316614,0.011411245708833258
flickr_144k,Hurt,js_divergence,5,0.01951927580277969,0.015898907722923815,0.006990982032992346
flickr_144k,Hurt,extent_ratio,5,0.8106131450320191,0.8261795066192336,0.06305771059343743
flickr_144k,Neutral,semantic_margin,234,0.028404859020016514,0.024775500409305096,0.01992001999732099
flickr_144k,Neutral,ownership_confidence,234,0.25974385504029757,0.24686408042907715,0.092668448665932
flickr_144k,Neutral,eval_soft_containment,234,21270.98053135016,21114.1328125,3894.509548723896
flickr_144k,Neutral,eval_seed_top10,234,0.9140392786417252,0.9231545627117157,0.047594841137804156
flickr_144k,Neutral,eval_seed_top20,234,0.8829898123557751,0.8970047533512115,0.05553369197454765
flickr_144k,Neutral,raw_seed_top10,234,0.7925110311589689,0.8180510699748993,0.10957377552681585
flickr_144k,Neutral,raw_seed_top20,234,0.76653712707707,0.7880294919013977,0.11144608573521522
flickr_144k,Neutral,centroid_distance,234,0.024524904870528087,0.02186854657511264,0.01539099124456953
flickr_144k,Neutral,js_divergence,234,0.0148510058320059,0.011706095971965993,0.011427140738803266
flickr_144k,Neutral,extent_ratio,234,0.8424709337350024,0.8526673197940091,0.08662959305535588
