scale,dataset,model,readout,cIoU,AUC,n,stored_cIoU,stored_AUC,replay_cIoU_error,replay_AUC_error,Delta_OGL,Delta_OGL_AUC
144k,vggss,hard_adjusted,EXTRA_IQR_OGL,0.4383481969755719,0.4344513377278015,5158,,,,,,
144k,flickr,baseline,AUD,0.812,0.6356,250,0.812,0.6356,0.0,0.0,-0.05599999999999994,-0.023599999999999954
144k,flickr,baseline,IMG_QUERY,0.804,0.6165999999999998,250,0.804,0.6165999999999998,0.0,0.0,,
144k,flickr,baseline,IQR,0.804,0.6365999999999999,250,0.804,0.6365999999999999,0.0,0.0,,
144k,flickr,baseline,OBJ_PRIOR,0.448,0.4668,250,0.448,0.4668,0.0,0.0,,
144k,flickr,baseline,OGL,0.868,0.6592,250,0.868,0.6596000000000002,0.0,-0.000400000000000178,,
144k,flickr,baseline,EXTRA_IQR_OGL,0.844,0.6534,250,0.844,0.6534,0.0,0.0,,
144k,flickr,mean,AUD,0.896,0.6532,250,,,,,0.008000000000000007,0.010199999999999987
144k,flickr,mean,IMG_QUERY,0.824,0.6054,250,,,,,,
144k,flickr,mean,IQR,0.884,0.6414000000000001,250,,,,,,
144k,flickr,mean,OBJ_PRIOR,0.448,0.4668,250,,,,,,
144k,flickr,mean,OGL,0.888,0.643,250,,,,,,
144k,flickr,mean,EXTRA_IQR_OGL,0.908,0.6506000000000001,250,,,,,,
144k,flickr,hard_default,AUD,0.872,0.6429999999999999,250,,,,,-0.008000000000000007,-0.0022000000000000908
144k,flickr,hard_default,IMG_QUERY,0.796,0.5973999999999999,250,,,,,,
144k,flickr,hard_default,IQR,0.852,0.6304000000000001,250,,,,,,
144k,flickr,hard_default,OBJ_PRIOR,0.448,0.4668,250,,,,,,
144k,flickr,hard_default,OGL,0.88,0.6452,250,,,,,,
144k,flickr,hard_default,EXTRA_IQR_OGL,0.88,0.6484,250,,,,,,
144k,flickr,hard_adjusted,AUD,0.848,0.6558000000000002,250,,,,,-0.052000000000000046,-0.0039999999999998925
144k,flickr,hard_adjusted,IMG_QUERY,0.836,0.6308,250,,,,,,
144k,flickr,hard_adjusted,IQR,0.856,0.6506,250,,,,,,
144k,flickr,hard_adjusted,OBJ_PRIOR,0.448,0.4668,250,,,,,,
144k,flickr,hard_adjusted,OGL,0.9,0.6598,250,,,,,,
144k,flickr,hard_adjusted,EXTRA_IQR_OGL,0.876,0.6638,250,,,,,,
