constraint_state,spatial_state,n,groupA_n,groupA_fraction,mean_ogl_minus_aud,precision,coverage,activated_area
satisfied,not_over,1960,110,0.05612244897959184,-0.008979651014216454,0.8083060365885142,0.7247909499294296,0.4302035813528217
satisfied,over_activated,2150,238,0.11069767441860465,0.027655355226456117,0.3004726453847301,0.8899126636960305,0.42592917581276696
violated,not_over,468,31,0.06623931623931624,-0.008372297307499898,0.8116627622786301,0.7378539943542236,0.4466165422499128
violated,over_activated,580,49,0.08448275862068966,0.024303272062944022,0.28037308678954376,0.868387250550862,0.43351801658163264
