dataset,method,cIoU,AUC,mean_sample_cIoU,num_samples
flickr_144k,AUD_FINE,0.812,0.6356,0.6368762798827685,250
flickr_144k,IMG_L4,0.804,0.6165999999999998,0.616200507823542,250
flickr_144k,IMG_FINE,0.816,0.6408,0.6408072265122131,250
flickr_144k,IMG_VALUE,0.176,0.27180000000000004,0.2688433854559062,250
flickr_144k,IMG_VALUE_RES,0.816,0.6406000000000002,0.6405308570135938,250
flickr_144k,IQR_FINE,0.804,0.6394,0.6404155479448511,250
flickr_144k,IQR_VALUE,0.808,0.6356,0.6365600417675111,250
flickr_144k,IQR_VALUE_RES,0.808,0.6396000000000002,0.6399078486020784,250
