sample_index,sample_id,IoU_AUD,IoU_IMG,IoU_IQR,IoU_OBJ,IoU_OGL,IoU_SAMPLE_ORACLE,IoU_PIXEL_ORACLE,IoU_BINARY_PIXEL_ORACLE,IoU_REGION_ORACLE,region_oracle_components,disagreement_mean,disagreement_max,disagreement_std,disagreement_top10_mass,disagreement_top20_mass,disagreement_top30_mass,AUD_IMG_Pearson,mask_IoU,area_AUD,area_IMG,area_ratio_IMG_AUD,centroid_distance,components_AUD,components_IMG,GT_overlap_AUD,GT_overlap_IMG,energy_GT_INTERIOR,energy_GT_BOUNDARY_1PX,energy_GT_EXTERIOR,group_IMG_ONLY,group_AUD_ONLY,group_BOTH_SUCCESS,group_BOTH_FAIL,group_OGL_RESCUE,E_AUD_CTRL_RAW_PEAK,E_IMG_CTRL_RAW_PEAK,DELTA_CTRL_RAW_PEAK,IoU_SAMPLE_CTRL_RAW_PEAK,IoU_D20_CTRL_RAW_PEAK,E_AUD_CTRL_NEG_ENTROPY,E_IMG_CTRL_NEG_ENTROPY,DELTA_CTRL_NEG_ENTROPY,IoU_SAMPLE_CTRL_NEG_ENTROPY,IoU_D20_CTRL_NEG_ENTROPY,E_AUD_CTRL_NEG_AREA,E_IMG_CTRL_NEG_AREA,DELTA_CTRL_NEG_AREA,IoU_SAMPLE_CTRL_NEG_AREA,IoU_D20_CTRL_NEG_AREA,E_AUD_CTRL_TOP20_CONCENTRATION,E_IMG_CTRL_TOP20_CONCENTRATION,DELTA_CTRL_TOP20_CONCENTRATION,IoU_SAMPLE_CTRL_TOP20_CONCENTRATION,IoU_D20_CTRL_TOP20_CONCENTRATION,E_AUD_CTRL_NEG_COMPONENTS,E_IMG_CTRL_NEG_COMPONENTS,DELTA_CTRL_NEG_COMPONENTS,IoU_SAMPLE_CTRL_NEG_COMPONENTS,IoU_D20_CTRL_NEG_COMPONENTS,E_AUD_SEMANTIC_SLOT,E_IMG_SEMANTIC_SLOT,DELTA_SEMANTIC_SLOT,IoU_SAMPLE_SEMANTIC_SLOT,IoU_D20_SEMANTIC_SLOT,IoU_LOCAL20_SEMANTIC_SLOT,E_AUD_RECIPROCAL_L4,E_IMG_RECIPROCAL_L4,DELTA_RECIPROCAL_L4,IoU_SAMPLE_RECIPROCAL_L4,IoU_D20_RECIPROCAL_L4,IoU_LOCAL20_RECIPROCAL_L4
17,10110769444,0.6744996400287977,0.6947876241677644,0.6999369085173501,0.40274928999684445,0.7163165291340853,0.6947876241677644,0.8044468971410261,0.8309275638707132,0.7750728052092536,2,0.12052556127309799,0.2774317264556885,0.06932011991739273,0.19274493295624348,0.3555662899611502,0.5012989838828756,0.9721077053077011,0.6799234966529786,0.7085857780612245,0.48178411989795916,0.6799234966529786,7.85360048531061,1,1,25271.0,20529.0,0.36864620447158813,0.0332304984331131,0.5981232523918152,False,False,True,False,False,0.00570483086630702,0.023165224120020866,0.017460393253713846,0.6947876241677644,0.6864857472801312,-0.99616112952918,-0.9904581496529097,0.005702979876270331,0.6947876241677644,0.6864857472801312,-0.7085857780612245,-0.48178411989795916,0.2268016581632653,0.6947876241677644,0.6864857472801312,0.2670358244550094,0.3138789627865377,0.04684313833152831,0.6947876241677644,0.6864857472801312,-1.0,-1.0,0.0,0.6744996400287977,0.6744996400287977,0.2072673148884453,0.2402048600509632,0.0329375451625179,0.6947876241677644,0.6864857472801312,0.6864857472801312,0.19940864993336577,0.22518616577673162,0.02577751584336585,0.6947876241677644,0.6864857472801312,0.6548508000576618
18,10111706074,0.6329745749493059,0.5963349539319348,0.6255997088310228,0.5519050878393794,0.7222593051714822,0.6329745749493059,0.6528405806956108,0.695015567585762,0.6667129256987426,2,0.0999755784869194,0.24460703134536743,0.057596605271101,0.19984662852177348,0.3660968924469394,0.5091205720203572,0.9699583667493699,0.7876535123628623,0.6085578762755102,0.4793327487244898,0.7876535123628623,3.3744271473218697,1,1,24778.0,20936.0,0.6360474824905396,0.020966337993741035,0.34298619627952576,False,False,True,False,False,0.005542504135519266,0.022795936092734337,0.01725343195721507,0.5963349539319348,0.610461349057215,-0.9922949133487239,-0.9881403835526769,0.004154529796047024,0.5963349539319348,0.610461349057215,-0.6085578762755102,-0.4793327487244898,0.1292251275510204,0.5963349539319348,0.610461349057215,0.2876834812061332,0.31616140196660736,0.028477920760474174,0.5963349539319348,0.610461349057215,-1.0,-1.0,0.0,0.6329745749493059,0.6329745749493059,0.2397513451473796,0.24177486802659465,0.002023522879215034,0.5963349539319348,0.610461349057215,0.610461349057215,0.24202612164046416,0.23676149347419911,-0.005264628166265051,0.6329745749493059,0.6329745749493059,0.6037732855193425
19,10119607346,0.5694041189655951,0.5041658650644488,0.5396789779951832,0.45949876296058473,0.6025605206501553,0.5694041189655951,0.5657888820611202,0.6259898477157361,0.6241048609529594,11,0.07250198721885681,0.3220316171646118,0.062037382274866104,0.2911005083827582,0.48020249692539047,0.6213250687085761,0.9349424483572841,0.9048629694564917,0.6341079400510204,0.6001275510204082,0.9464122953138259,4.379225680626998,1,1,24592.0,22337.0,0.6555536389350891,0.031428270041942596,0.3130181133747101,False,False,True,False,False,0.005424079019576311,0.021600399166345596,0.016176320146769285,0.5041658650644488,0.5270109668587246,-0.9911342312781508,-0.9900535550088858,0.0010806762692650018,0.5041658650644488,0.5270109668587246,-0.6341079400510204,-0.6001275510204082,0.03398038903061229,0.5041658650644488,0.5270109668587246,0.2831746614968876,0.2916150799855206,0.008440418488633028,0.5041658650644488,0.5270109668587246,-1.0,-1.0,0.0,0.5694041189655951,0.5694041189655951,0.2763343254179314,0.30593817373169996,0.029603848313768555,0.5041658650644488,0.5270109668587246,0.5270109668587246,0.2853988878890365,0.30485295642180765,0.01945406853277115,0.5041658650644488,0.5270109668587246,0.5273118408978081
20,10119736773,0.9629781869998904,0.9570325336838647,0.9641320728866968,0.32489845208036006,0.8373586562740147,0.9629781869998904,0.9531678176038584,0.9684867985237059,0.9679814604615967,12,0.08336569368839264,0.2177606225013733,0.05962037667632103,0.22383366832047036,0.4169725400921631,0.5772641380486825,0.9440539533961181,0.9379022820362786,0.7907764668367347,0.7933474170918368,1.0032511719340693,4.518109314411475,1,1,39622.0,39727.0,0.795880913734436,0.01364185195416212,0.190477192401886,False,False,True,False,False,0.00545161496847868,0.021779192611575127,0.016327577643096447,0.9570325336838647,0.9488669059819691,-0.9946762581506862,-0.9927919162916912,0.0018843418589949978,0.9570325336838647,0.9488669059819691,-0.7907764668367347,-0.7933474170918368,-0.0025709502551020114,0.9629781869998904,0.9629781869998904,0.26068423215026765,0.2698411929405612,0.009156960790293545,0.9570325336838647,0.9488669059819691,-1.0,-1.0,0.0,0.9629781869998904,0.9629781869998904,0.2614063156307306,0.2435557500757346,-0.01785056555499598,0.9629781869998904,0.9629781869998904,0.9488669059819691,0.2821733146817218,0.24586311961741592,-0.036310195064305884,0.9629781869998904,0.9629781869998904,0.9487024908886635
21,10129791115,0.6873584198432229,0.6418931048551612,0.6698709101242185,0.4665686677187142,0.638514181021321,0.6873584198432229,0.6838912306802215,0.6910556406010809,0.6818321928364466,2,0.08167663216590881,0.3304906487464905,0.06130486726760864,0.27107310384761063,0.4464548931036058,0.5782648823038983,0.9673724917153189,0.9119417378870007,0.5915377869897959,0.5543088329081632,0.937064115090462,5.353679590732906,1,1,22120.0,20295.0,0.357514351606369,0.022089501842856407,0.6203961372375488,False,False,True,False,False,0.005634302273392677,0.0223680529743433,0.016733750700950623,0.6418931048551612,0.6655760768211487,-0.9926866178018845,-0.9864344212398143,0.006252196562070211,0.6418931048551612,0.6655760768211487,-0.5915377869897959,-0.5543088329081632,0.037228954081632626,0.6418931048551612,0.6655760768211487,0.2863662984765914,0.31345994059508725,0.027093642118495853,0.6418931048551612,0.6655760768211487,-1.0,-1.0,0.0,0.6873584198432229,0.6873584198432229,0.2990832667740556,0.35468557918915933,0.055602312415103716,0.6418931048551612,0.6655760768211487,0.6655760768211487,0.2674394076651322,0.30423602113381615,0.03679661346868396,0.6418931048551612,0.6655760768211487,0.6690768702252613
22,10129813456,0.8093123229562569,0.7613496646071001,0.816710775047259,0.4553361337214369,0.7872661689455582,0.8093123229562569,0.8888484829319968,0.902747088683189,0.8201094205068183,10,0.10196605324745178,0.32184046506881714,0.09184134006500244,0.2798418701253341,0.504824957376598,0.6695650083956443,0.9078401991388331,0.7718359112306657,0.7288145727040817,0.5839245854591837,0.801197735787142,18.592656228600273,1,1,30130.0,25859.0,0.4321826696395874,0.02889809012413025,0.5389192700386047,False,False,True,False,False,0.0053707812912762165,0.021389225497841835,0.01601844420656562,0.7613496646071001,0.8023122797919559,-0.9970570532139642,-0.9923495966449718,0.0047074565689924075,0.7613496646071001,0.8023122797919559,-0.7288145727040817,-0.5839245854591837,0.144889987244898,0.7613496646071001,0.8023122797919559,0.2602897347954887,0.2931051483172564,0.0328154135217677,0.7613496646071001,0.8023122797919559,-1.0,-1.0,0.0,0.8093123229562569,0.8093123229562569,0.18559030742798333,0.25277680214131826,0.06718649471333493,0.7613496646071001,0.8023122797919559,0.8023122797919559,0.1649945226146562,0.19271060799876572,0.027716085384109523,0.7613496646071001,0.8023122797919559,0.8093123229562569
23,10163352444,0.8064857243567148,0.7793580679129686,0.7967890610858154,0.3529549131790963,0.8297917448099285,0.8064857243567148,0.8088632093463489,0.8168458293645394,0.8036291527449543,6,0.046674150973558426,0.20639966428279877,0.0318094827234745,0.24410335072613729,0.407952335490373,0.5459113424676748,0.9688795518667245,0.944996740547588,0.7018694196428571,0.7252471301020408,1.033307777493824,2.7522771572671254,1,1,29584.0,29658.0,0.5085057616233826,0.02378886565566063,0.4677054286003113,False,False,True,False,False,0.005540189798921347,0.02208060957491398,0.016540419775992632,0.7793580679129686,0.7946821746606462,-0.99423302174854,-0.9937512106270321,0.0004818111215079135,0.7793580679129686,0.7946821746606462,-0.7018694196428571,-0.7252471301020408,-0.023377710459183687,0.8064857243567148,0.8064857243567148,0.27261130385577614,0.2663095251281749,-0.006301778727601237,0.8064857243567148,0.8064857243567148,-1.0,-1.0,0.0,0.8064857243567148,0.8064857243567148,0.23578251505899595,0.2434752167553469,0.007692701696350945,0.7793580679129686,0.7946821746606462,0.7946821746606462,0.2582278410683516,0.25517395618149086,-0.003053884886860758,0.8064857243567148,0.8064857243567148,0.8062356406895288
24,10165890496,0.5360557338343614,0.5322297883334256,0.5386730173183673,0.42848596308524073,0.5516511177257926,0.5360557338343614,0.5917990736127259,0.564996742447622,0.5039604978911635,2,0.08626209944486618,0.2441619485616684,0.059864383190870285,0.23031523146029897,0.4123741400073358,0.5591431014993441,0.9863261879465223,0.8052192408376964,0.4872448979591837,0.3923389668367347,0.8052192408376964,4.161624719807226,1,1,16477.0,14692.0,0.3304189145565033,0.024033166468143463,0.6455479264259338,False,False,True,False,False,0.005953316111117601,0.023751279339194298,0.017797963228076696,0.5322297883334256,0.5346105369296698,-0.9930423313416882,-0.9855720088445159,0.007470322497172277,0.5322297883334256,0.5346105369296698,-0.4872448979591837,-0.3923389668367347,0.094905931122449,0.5322297883334256,0.5346105369296698,0.306294390674283,0.3531760535041651,0.0468816628298821,0.5322297883334256,0.5346105369296698,-1.0,-1.0,0.0,0.5360557338343614,0.5360557338343614,0.26096868828971825,0.31180004424875707,0.050831355959038815,0.5322297883334256,0.5346105369296698,0.5346105369296698,0.25836696594173336,0.3061171004811174,0.04775013453938404,0.5322297883334256,0.5346105369296698,0.5346105369296698
25,10173808724,0.790263980284052,0.7510643689812468,0.7702590229261772,0.5004944620253164,0.7581433888451194,0.790263980284052,0.8044208893485005,0.8031888012937134,0.8031888012937134,6,0.11605485528707504,0.28586870431900024,0.07668954133987427,0.21302151823758333,0.39161949144580294,0.5487963693368814,0.9206731205754017,0.9193080418240543,0.7123525191326531,0.6851283482142857,0.961782726687743,4.591500750674103,1,1,31776.0,30309.0,0.8260156512260437,0.019448477774858475,0.15453581511974335,False,False,True,False,False,0.005499326623976231,0.022111548110842705,0.016612221486866474,0.7510643689812468,0.788314298069341,-0.9922155397112465,-0.9913517132833515,0.0008638264278950647,0.7510643689812468,0.788314298069341,-0.7123525191326531,-0.6851283482142857,0.027224170918367374,0.7510643689812468,0.788314298069341,0.27004473172263344,0.28092886101468706,0.010884129292053624,0.7510643689812468,0.788314298069341,-1.0,-1.0,0.0,0.790263980284052,0.790263980284052,0.2721465567984187,0.23229181838453172,-0.03985473841388698,0.790263980284052,0.790263980284052,0.788314298069341,0.3284755975761121,0.24894986883206305,-0.07952572874404906,0.790263980284052,0.790263980284052,0.790263980284052
26,10202025415,0.86358387640524,0.7190272357778468,0.8363551214290493,0.477919555792612,0.7878183680437009,0.86358387640524,0.8673184168950944,0.864215432418436,0.8500623997147442,3,0.08714014291763306,0.25814104080200195,0.06258121132850647,0.24761703649966033,0.4352707621237251,0.5774017219720396,0.9671012523983684,0.7987813682173901,0.6901506696428571,0.5512794961734694,0.7987813682173901,11.128379579862505,1,1,33376.0,27051.0,0.6713137030601501,0.025139566510915756,0.3035466969013214,False,False,True,False,False,0.005622011609375477,0.022872591391205788,0.01725057978183031,0.7190272357778468,0.773683719566637,-0.9929232014311999,-0.9884092056633679,0.004513995767832069,0.7190272357778468,0.773683719566637,-0.6901506696428571,-0.5512794961734694,0.1388711734693877,0.7190272357778468,0.773683719566637,0.27242347274420486,0.3040523529117997,0.03162888016759485,0.7190272357778468,0.773683719566637,-1.0,-1.0,0.0,0.86358387640524,0.86358387640524,0.2666287681717017,0.2799331383061654,0.013304370134463672,0.7190272357778468,0.773683719566637,0.773683719566637,0.26996771071003106,0.27413958521780546,0.004171874507774398,0.7190272357778468,0.773683719566637,0.8202066406925256
