sample_id,IoU_ORIGINAL_AUD,IoU_T2_CHUNK1,IoU_T2_CHUNK2,IoU_T2_RAW_MEAN,IoU_T2_RAW_GEO,IoU_T2_NORM_MEAN,IoU_T2_NORM_GEO,IoU_T4_CHUNK1,IoU_T4_CHUNK2,IoU_T4_CHUNK3,IoU_T4_CHUNK4,IoU_T4_RAW_MEAN,IoU_T4_RAW_GEO,IoU_T4_NORM_MEAN,IoU_T4_NORM_GEO,IoU_OGL_REFERENCE,original_pred_area,gt_area,is_over_expansion,T2_map_pearson,T2_map_spearman,T2_map_js_divergence,T4_map_pearson,T4_map_spearman,T4_map_js_divergence,delta_T2_RAW_MEAN,delta_T2_RAW_GEO,delta_T4_RAW_MEAN,delta_T4_RAW_GEO,delta_OGL
d1VB1vA-UsI_000220,0.5170132325141777,0.5210069835548548,0.5039370078740157,0.51303389363461,0.51303389363461,0.5129193983802546,0.5129787820336181,0.5241465209760516,0.5091356093199978,0.5040912886167548,0.5089865336123183,0.5122762290084797,0.512274868384594,0.512250554323725,0.512254630143063,0.5431932361230242,17093,10192,True,0.9974719609104875,0.9965797799010272,4.642785600421427e-06,0.9978582379171782,0.9972292392161863,4.961105619245227e-06,-0.003979338879567695,-0.003979338879567695,-0.004737003505698056,-0.0047383641295837275,0.026180003608846425
d2nT1ZwZiZw_000051,0.6126160720519445,0.613154538246751,0.612419626585978,0.6149237285217451,0.6151356562456962,0.6155065472088215,0.6152705963460876,0.5953100573215216,0.6178745928338762,0.6306263069486819,0.5021985250839595,0.5972909790979097,0.5974222374978518,0.5968135989814528,0.594987261585072,0.5236151237281749,22825,23370,False,0.985024974263004,0.9814485731817132,5.528253000841718e-06,0.9817270085279214,0.979034815800588,4.259774491583342e-06,0.0023076564698006896,0.002519584193751756,-0.015325092954034725,-0.015193834554092622,-0.08900094832376959
d4G_b-s_Odw_000030,0.07913466677919374,0.07644470997175755,0.07799512357309099,0.07686426562542664,0.07686006825938567,0.07689366002895463,0.07690206255975959,0.07648417334601278,0.0774521942495529,0.07490767945227635,0.0819958637965687,0.0775695783962524,0.07755248223042592,0.07755675556535155,0.07769589577985703,0.05719551123835851,35545,2815,True,0.9948454817228403,0.9919769860306481,8.308001943834581e-06,0.9845664784659336,0.9779361803292187,1.8089376986578936e-05,-0.0022704011537671015,-0.0022745985198080743,-0.0015650883829413376,-0.0015821845487678232,-0.021939155540835233
d4riR8ZeH9k_000040,0.27358467925796154,0.27753432661408123,0.2740911713791114,0.2757152876871357,0.27570861952210507,0.2756819500870575,0.2756886169621049,0.2735190383646441,0.28117600631412787,0.2771632102307262,0.2718557733581342,0.27545546803266807,0.2754488124290236,0.27537562201072513,0.2754221932304124,0.3908034046086776,41669,11400,True,0.9976831402863797,0.9955422387619632,2.420069152534902e-06,0.9916574554696974,0.9817559042359623,5.527704231676823e-06,0.0021306084291741745,0.002123940264143531,0.0018707887747065333,0.0018641331710620435,0.11721872535071604
d6np1zhRar0_000240,0.5381106956486009,0.5338408075459209,0.5398986828774063,0.5370734908136483,0.5370734908136483,0.5371175457304569,0.5368520186716894,0.525588223300575,0.5465367965367965,0.531683524567225,0.544522996266582,0.5384897211479748,0.5384897211479748,0.5386337730011399,0.5383147208121828,0.40338825909225,21623,15810,True,0.9995892418930666,0.9995186829124465,4.4753267145817535e-07,0.9984547905886054,0.9978794954139407,2.162120553405638e-06,-0.0010372048349526208,-0.0010372048349526208,0.0003790254993738529,0.0003790254993738529,-0.1347224365563509
d7Xf7brOPzw_000149,0.6900418362409995,0.6942726231386025,0.683960396039604,0.688958451906659,0.6889780585674038,0.68891924193273,0.6889976663441288,0.6845576007798613,0.6939249655805415,0.6823466183916499,0.6885410108179268,0.687981950077112,0.6880212498571918,0.6879122761929238,0.6880301602262017,0.7241680207016911,33531,25852,True,0.9984615445334931,0.9968268135055662,1.8808481301111067e-06,0.9978422314262659,0.9950962501361342,2.9312633075244495e-06,-0.0010833843343404093,-0.0010637776735956672,-0.0020598861638874144,-0.002020586383807643,0.0341261844606916
d8LvZQyYZpQ_000010,0.23884126514927578,0.23929138734081792,0.23853358739701028,0.23866169007276927,0.2386552816712314,0.23864887361383347,0.2386552816712314,0.23854639147588502,0.23736780258519388,0.2375200427578835,0.23758988478708332,0.23760893974228733,0.23760893974228733,0.2376025877509557,0.23760893974228733,0.4366838148001583,37213,8888,True,0.9997391263585178,0.9995298392687806,2.1172433282819132e-07,0.9990034026247434,0.9983002494242523,8.377404895976755e-07,-0.00017957507650651072,-0.00018598347804438253,-0.0012323254069884493,-0.0012323254069884493,0.1978425496508825
d8bhrEHxJsA_000344,0.6929673581544222,0.6888683219505968,0.6649690489589195,0.6945706185409871,0.694549445189611,0.6945196725801053,0.6940778444938889,0.6751527169219944,0.6915931694501782,0.6621489450887243,0.6902987317425017,0.6945388832736071,0.6944538021008789,0.6944869831546707,0.6939877300613497,0.769642726138948,32122,23944,True,0.9887914740402842,0.9927069304879312,1.0104417175250328e-05,0.9885350931258824,0.9909176634339797,6.846377477348915e-06,0.0016032603865648865,0.0015820870351888061,0.0015715251191849022,0.0014864439464566948,0.07667536798452579
d8hPjmvBv5I_000251,0.21004472317894413,0.2176284665579119,0.20071833845192857,0.20973724884080372,0.20972644376899696,0.2099623963323546,0.20997321244590975,0.22211701385428087,0.21040503866045368,0.19467779806939733,0.20540931892227335,0.20897363416765175,0.20895215581479007,0.20939907550077042,0.20975509785838714,0.13141636353138172,18127,5412,True,0.9983629295687688,0.9981687637960299,1.0693665528942382e-06,0.9979736271632084,0.9972863491355152,1.370762492502872e-06,-0.0003074743381404066,-0.0003182794099471642,-0.001071089011292381,-0.0010925673641540568,-0.0786283596475624
d8ya35A6yzk_000075,0.00415284631771971,0.004122607415339312,0.004123269699322606,0.0041227177812282485,0.004122607415339312,0.004122497055359246,0.0041227177812282485,0.004132674967797338,0.0041177571592823335,0.004100106496272631,0.004182282331215034,0.00413001501823643,0.004129904261310306,0.0041305688919883055,0.0041314553990610325,0.007219878105954055,37083,154,True,0.9971634215943669,0.9958099913139797,1.584626399850342e-06,0.9954953545058433,0.9941468973376152,3.116456547696407e-06,-3.0128536491461425e-05,-3.0238902380397975e-05,-2.2831299483280255e-05,-2.2942056409403812e-05,0.0030670317882343454
