dataset,method,OGL_rescue_total,consensus_captured,capture_rate
vggss_144k,T2_RAW_MEAN,357,6,0.01680672268907563
vggss_144k,T2_RAW_GEO,357,6,0.01680672268907563
vggss_144k,T4_RAW_MEAN,357,9,0.025210084033613446
vggss_144k,T4_RAW_GEO,357,9,0.025210084033613446
