dataset,method,rescue,hurt,net,rescue_intersect_OGL_rescue,oracle_cIoU,oracle_AUC
vggss_144k,T2_RAW_MEAN,10,6,4,6,0.4288483908491663,0.424020938348197
vggss_144k,T2_RAW_GEO,10,6,4,6,0.4288483908491663,0.42403063202791785
vggss_144k,T4_RAW_MEAN,16,15,1,9,0.430011632415665,0.4246994959286546
vggss_144k,T4_RAW_GEO,16,15,1,9,0.430011632415665,0.42468980224893366
