task,positive_class,signal,direction,AUROC_raw,AUROC_directed,AUPRC_directed,effect_size_cohen_d,positive_mean,positive_std,negative_mean,negative_std,Pearson_expand_gain,Spearman_expand_gain,Pearson_shrink_gain,Spearman_shrink_gain,EXPAND_mean,SHRINK_mean,KEEP_mean,num_samples
EXPAND_vs_SHRINK,SHRINK,AUD_area,lower,0.48824728619433844,0.5117527138056617,0.6324900624576252,-0.027187168041122436,0.5134970926196647,0.1356817613265577,0.5172861262867979,0.14570440471591306,-0.12845515676817673,0.047034330648686784,0.06772424858193073,0.033168850628467444,0.5172861262867979,0.5134970926196647,0.4967710089057945,3142
EXPAND_vs_SHRINK,SHRINK,IMG_area,lower,0.43823057231830254,0.5617694276816975,0.6694513520431368,-0.21817039432667862,0.43233728805420035,0.11993487118680868,0.4595077363080188,0.1323405288203851,-0.07559730130954105,0.05453253208038351,-0.15998415083099674,-0.07206914349383305,0.4595077363080188,0.43233728805420035,0.4536263008970329,3142
EXPAND_vs_SHRINK,SHRINK,IMG_AUD_area_ratio,lower,0.39453940076356026,0.6054605992364397,0.6921329028146583,-0.36977767064931527,0.8503761512680914,0.1299604481233648,0.9050823747976313,0.175468209924163,0.11467840720222193,0.02177036014524436,-0.3675856507180066,-0.21799042110614011,0.9050823747976313,0.8503761512680914,0.9301334278798455,3142
EXPAND_vs_SHRINK,SHRINK,AUD_IMG_mask_IoU,lower,0.4437767202097152,0.5562232797902849,0.6636547312327622,-0.12553892942514014,0.8036372200512149,0.10342528530313552,0.8170516776734673,0.11270576234046667,-0.024311363607626455,-0.011924808678195339,-0.3322151081935728,-0.14104425226573605,0.8170516776734673,0.8036372200512149,0.8332184488063731,3142
EXPAND_vs_SHRINK,SHRINK,AUD_only_area,higher,0.5902764826967398,0.5902764826967398,0.6807578807334311,0.20224133197081398,0.09273972911573924,0.06805121921839878,0.07847281992166336,0.07477860337343106,-0.06876875881607873,0.0009197459300425303,0.3404847670901958,0.20387723377037245,0.07847281992166336,0.09273972911573924,0.06579806343575376,3142
EXPAND_vs_SHRINK,SHRINK,IMG_only_area,lower,0.3965433065324865,0.6034566934675134,0.7002814668636843,-0.401527332731035,0.011579924550274883,0.01718694357391745,0.020694429942884236,0.03011522951858729,0.13161007596237748,0.04382930328764517,-0.19432466065559484,-0.18982361340798365,0.020694429942884236,0.011579924550274883,0.022653355426992226,3142
EXPAND_vs_SHRINK,SHRINK,intersection_area,lower,0.45811546649307694,0.541884533506923,0.652807168937001,-0.14655950328000802,0.4207573635039255,0.11856998550703494,0.43881330636513455,0.1310391501331387,-0.10469144583021842,0.04386007615290377,-0.12292923274325575,-0.0397091873941522,0.43881330636513455,0.4207573635039255,0.4309729454700407,3142
EXPAND_vs_SHRINK,SHRINK,AUD_only_ratio,higher,0.6034925403332219,0.6034925403332219,0.6881984015931865,0.2689722388982677,0.17543886972999068,0.11106501816835954,0.14439342672813274,0.12280169565884023,-0.04519461428929691,-0.011710199506255356,0.3849371774538302,0.2157203232363677,0.14439342672813274,0.17543886972999068,0.12309586330695128,3142
EXPAND_vs_SHRINK,SHRINK,IMG_only_ratio,lower,0.40364252537870127,0.5963574746212987,0.6972197074962048,-0.3836496560595538,0.027054250817000636,0.038531192856018553,0.04582070893711522,0.06332643492187053,0.1707191973596554,0.037556170755378614,-0.1931190867786116,-0.18364536364109366,0.04582070893711522,0.027054250817000636,0.049320098125771164,3142
EXPAND_vs_SHRINK,SHRINK,intersection_ratio,lower,0.4437767202097152,0.5562232797902849,0.6636547312327622,-0.12553892942514014,0.8036372200512149,0.10342528530313552,0.8170516776734673,0.11270576234046667,-0.024311363607626455,-0.011924808678195339,-0.3322151081935728,-0.14104425226573605,0.8170516776734673,0.8036372200512149,0.8332184488063731,3142
