dataset,scale,hard_effect_cIoU,hard_effect_AUC,hard_effect_gt_nearfp_gap,hard_effect_gt_vs_nearfp_auroc,hard_effect_coverage,hard_effect_precision,hard_effect_pred_area_ratio
vggss,10k,-0.009693679720821968,-0.002704536642109401,-0.005373431320848138,-0.0019653883098190716,0.022103378871137003,-0.01639534028080808,0.03449052433534
vggss,144k,-0.0067855758045755055,-0.001298953082590093,0.0009158328248949424,0.00046610201007835084,-0.008045807017899032,0.004713412869196576,-0.006645877546321954
flickr,10k,0.01200000000000001,0.006199999999999872,-0.0009125700363746131,0.009164220381659316,0.02529396641892956,-0.01022121484453209,0.027700813137755187
flickr,144k,-0.02400000000000002,-0.010200000000000098,-0.01433399573028811,-0.015199742823588491,-0.00772166808045216,-0.010903269346425937,0.0006692442602040938
