vggss C3 seed12345 epoch 3/50 batch 101/562 total=8.5442 d_pos=0.000032 d_neg=0.000056 gap=0.000023 ETA=0:08:06
vggss C3 seed12345 epoch 3/50 batch 151/562 total=8.4729 d_pos=0.000032 d_neg=0.000058 gap=0.000026 ETA=0:07:06
vggss C3 seed12345 epoch 3/50 batch 201/562 total=8.4123 d_pos=0.000029 d_neg=0.000048 gap=0.000019 ETA=0:06:10
vggss C3 seed12345 epoch 3/50 batch 251/562 total=8.5066 d_pos=0.000028 d_neg=0.000053 gap=0.000025 ETA=0:05:17
vggss C3 seed12345 epoch 3/50 batch 301/562 total=8.6083 d_pos=0.000028 d_neg=0.000054 gap=0.000026 ETA=0:04:25
vggss C3 seed12345 epoch 3/50 batch 351/562 total=8.5030 d_pos=0.000039 d_neg=0.000072 gap=0.000033 ETA=0:03:33
vggss C3 seed12345 epoch 3/50 batch 401/562 total=8.7829 d_pos=0.000039 d_neg=0.000066 gap=0.000027 ETA=0:02:42
vggss C3 seed12345 epoch 3/50 batch 451/562 total=8.2416 d_pos=0.000034 d_neg=0.000057 gap=0.000022 ETA=0:01:51
vggss C3 seed12345 epoch 3/50 batch 501/562 total=8.2415 d_pos=0.000035 d_neg=0.000068 gap=0.000033 ETA=0:01:01
vggss C3 seed12345 epoch 3/50 batch 551/562 total=8.4668 d_pos=0.000037 d_neg=0.000074 gap=0.000037 ETA=0:00:11
vggss C3 seed12345 epoch 3/50 batch 562/562 total=8.2243 d_pos=0.000032 d_neg=0.000055 gap=0.000023 ETA=0:00:00
{"epoch": 3, "learning_rate": 5e-05, "epoch_seconds": 573.6895639896393, "gradient_l2_mean": 32.32722110936073, "parameter_l2": 200.06516709300453, "info_loss": 7.467020403023716, "recon_loss": 4.47757297902769, "div_loss": 0.0011475705214381694, "a2v_loss": 3.204863010570626e-05, "v2a_loss": 2.6120126185528e-05, "original_match_loss": 5.816875616743294e-05, "d_pos": 3.20486301089429e-05, "d_neg": 5.7376191923991376e-05, "g_match": 2.5327561984971864e-05, "cram_loss": 0.6931345141443069, "weighted_cram_loss": 0.6931345141443069, "total_loss": 8.61384385675722, "AUD_cIoU": 0.3670027142303218, "AUD_AUC": 0.3990694067468011, "IQR_cIoU": 0.3732066692516479, "IQR_AUC": 0.40207444746025595}
vggss C3 seed12345 epoch 4/50 batch 1/562 total=7.9879 d_pos=0.000034 d_neg=0.000064 gap=0.000030 ETA=1:13:43
vggss C3 seed12345 epoch 4/50 batch 51/562 total=8.1794 d_pos=0.000040 d_neg=0.000064 gap=0.000024 ETA=0:09:37
vggss C3 seed12345 epoch 4/50 batch 101/562 total=8.5374 d_pos=0.000035 d_neg=0.000051 gap=0.000017 ETA=0:08:10
vggss C3 seed12345 epoch 4/50 batch 151/562 total=7.8888 d_pos=0.000039 d_neg=0.000072 gap=0.000032 ETA=0:07:07
vggss C3 seed12345 epoch 4/50 batch 201/562 total=8.3820 d_pos=0.000035 d_neg=0.000057 gap=0.000023 ETA=0:06:11
vggss C3 seed12345 epoch 4/50 batch 251/562 total=8.0993 d_pos=0.000039 d_neg=0.000071 gap=0.000032 ETA=0:05:18
vggss C3 seed12345 epoch 4/50 batch 301/562 total=8.4476 d_pos=0.000040 d_neg=0.000072 gap=0.000031 ETA=0:04:25
vggss C3 seed12345 epoch 4/50 batch 351/562 total=8.1281 d_pos=0.000045 d_neg=0.000084 gap=0.000039 ETA=0:03:34
vggss C3 seed12345 epoch 4/50 batch 401/562 total=8.2998 d_pos=0.000046 d_neg=0.000078 gap=0.000032 ETA=0:02:43
vggss C3 seed12345 epoch 4/50 batch 451/562 total=8.2236 d_pos=0.000042 d_neg=0.000069 gap=0.000027 ETA=0:01:52
vggss C3 seed12345 epoch 4/50 batch 501/562 total=7.5354 d_pos=0.000048 d_neg=0.000088 gap=0.000039 ETA=0:01:01
vggss C3 seed12345 epoch 4/50 batch 551/562 total=7.7555 d_pos=0.000041 d_neg=0.000073 gap=0.000032 ETA=0:00:11
