flickr C3 seed12345 epoch 3/50 batch 451/562 total=10.0560 d_pos=0.000007 d_neg=0.000007 gap=0.000000 ETA=0:01:51
flickr C3 seed12345 epoch 3/50 batch 501/562 total=9.9498 d_pos=0.000007 d_neg=0.000008 gap=0.000001 ETA=0:01:01
flickr C3 seed12345 epoch 3/50 batch 551/562 total=10.1702 d_pos=0.000008 d_neg=0.000008 gap=0.000000 ETA=0:00:11
flickr C3 seed12345 epoch 3/50 batch 562/562 total=10.0983 d_pos=0.000007 d_neg=0.000008 gap=0.000001 ETA=0:00:00
{"epoch": 3, "learning_rate": 5e-05, "epoch_seconds": 566.5121912956238, "gradient_l2_mean": 23.37704277835643, "parameter_l2": 199.93580198329644, "info_loss": 9.143596980071152, "recon_loss": 4.344104335825638, "div_loss": 0.00038649694699117933, "a2v_loss": 6.5231578271622476e-06, "v2a_loss": 3.732844561899877e-05, "original_match_loss": 4.385160343200074e-05, "d_pos": 6.523157819070658e-06, "d_neg": 7.255178541663069e-06, "g_match": 7.320207367147637e-07, "cram_loss": 0.6931468089280179, "weighted_cram_loss": 0.6931468089280179, "total_loss": 10.2755779252782, "AUD_cIoU": 0.792, "AUD_AUC": 0.6185999999999999, "IQR_cIoU": 0.796, "IQR_AUC": 0.6198}
flickr C3 seed12345 epoch 4/50 batch 1/562 total=9.9887 d_pos=0.000007 d_neg=0.000008 gap=0.000001 ETA=0:51:50
flickr C3 seed12345 epoch 4/50 batch 51/562 total=10.0707 d_pos=0.000007 d_neg=0.000008 gap=0.000001 ETA=0:09:15
flickr C3 seed12345 epoch 4/50 batch 101/562 total=9.7399 d_pos=0.000012 d_neg=0.000014 gap=0.000001 ETA=0:08:01
flickr C3 seed12345 epoch 4/50 batch 151/562 total=9.8241 d_pos=0.000015 d_neg=0.000018 gap=0.000002 ETA=0:07:03
flickr C3 seed12345 epoch 4/50 batch 201/562 total=9.8075 d_pos=0.000010 d_neg=0.000012 gap=0.000002 ETA=0:06:09
flickr C3 seed12345 epoch 4/50 batch 251/562 total=9.7297 d_pos=0.000009 d_neg=0.000011 gap=0.000002 ETA=0:05:16
flickr C3 seed12345 epoch 4/50 batch 301/562 total=9.7035 d_pos=0.000007 d_neg=0.000007 gap=0.000001 ETA=0:04:24
flickr C3 seed12345 epoch 4/50 batch 351/562 total=9.8069 d_pos=0.000008 d_neg=0.000011 gap=0.000002 ETA=0:03:33
flickr C3 seed12345 epoch 4/50 batch 401/562 total=10.2080 d_pos=0.000009 d_neg=0.000010 gap=0.000001 ETA=0:02:42
flickr C3 seed12345 epoch 4/50 batch 451/562 total=9.9812 d_pos=0.000009 d_neg=0.000011 gap=0.000002 ETA=0:01:52
flickr C3 seed12345 epoch 4/50 batch 501/562 total=9.9730 d_pos=0.000010 d_neg=0.000011 gap=0.000002 ETA=0:01:01
flickr C3 seed12345 epoch 4/50 batch 551/562 total=9.5635 d_pos=0.000011 d_neg=0.000013 gap=0.000002 ETA=0:00:11
flickr C3 seed12345 epoch 4/50 batch 562/562 total=9.6189 d_pos=0.000012 d_neg=0.000014 gap=0.000002 ETA=0:00:00
{"epoch": 4, "learning_rate": 5e-05, "epoch_seconds": 568.3625166416168, "gradient_l2_mean": 21.204620223202326, "parameter_l2": 200.22294426404216, "info_loss": 8.82985399965714, "recon_loss": 4.152810133648937, "div_loss": 0.00048578752029117104, "a2v_loss": 9.369501043971513e-06, "v2a_loss": 6.365968092593586e-05, "original_match_loss": 7.302918204839579e-05, "d_pos": 9.369501029406651e-06, "d_neg": 1.0762669150812325e-05, "g_match": 1.3931680969033282e-06, "cram_loss": 0.69314647898131, "weighted_cram_loss": 0.69314647898131, "total_loss": 9.945633019416782, "AUD_cIoU": 0.816, "AUD_AUC": 0.6329999999999999, "IQR_cIoU": 0.808, "IQR_AUC": 0.633}
flickr C3 seed12345 epoch 5/50 batch 1/562 total=9.4266 d_pos=0.000012 d_neg=0.000015 gap=0.000003 ETA=0:53:04
flickr C3 seed12345 epoch 5/50 batch 51/562 total=9.9106 d_pos=0.000011 d_neg=0.000013 gap=0.000002 ETA=0:09:19
flickr C3 seed12345 epoch 5/50 batch 101/562 total=9.7371 d_pos=0.000012 d_neg=0.000014 gap=0.000002 ETA=0:08:03
flickr C3 seed12345 epoch 5/50 batch 151/562 total=9.5930 d_pos=0.000011 d_neg=0.000012 gap=0.000001 ETA=0:07:04
flickr C3 seed12345 epoch 5/50 batch 201/562 total=9.8868 d_pos=0.000009 d_neg=0.000011 gap=0.000002 ETA=0:06:10
flickr C3 seed12345 epoch 5/50 batch 251/562 total=9.5992 d_pos=0.000009 d_neg=0.000011 gap=0.000002 ETA=0:05:17
flickr C3 seed12345 epoch 5/50 batch 301/562 total=9.4522 d_pos=0.000011 d_neg=0.000013 gap=0.000002 ETA=0:04:25
flickr C3 seed12345 epoch 5/50 batch 351/562 total=9.6412 d_pos=0.000012 d_neg=0.000014 gap=0.000002 ETA=0:03:34
flickr C3 seed12345 epoch 5/50 batch 401/562 total=9.6108 d_pos=0.000011 d_neg=0.000013 gap=0.000002 ETA=0:02:43
flickr C3 seed12345 epoch 5/50 batch 451/562 total=10.1310 d_pos=0.000009 d_neg=0.000010 gap=0.000001 ETA=0:01:52
flickr C3 seed12345 epoch 5/50 batch 501/562 total=9.3291 d_pos=0.000010 d_neg=0.000012 gap=0.000001 ETA=0:01:01
flickr C3 seed12345 epoch 5/50 batch 551/562 total=9.4409 d_pos=0.000010 d_neg=0.000012 gap=0.000002 ETA=0:00:11
flickr C3 seed12345 epoch 5/50 batch 562/562 total=9.3426 d_pos=0.000009 d_neg=0.000011 gap=0.000002 ETA=0:00:00
{"epoch": 5, "learning_rate": 5e-05, "epoch_seconds": 569.104291677475, "gradient_l2_mean": 26.257521289747853, "parameter_l2": 200.49813274656302, "info_loss": 8.55662458222956, "recon_loss": 3.983280914534029, "div_loss": 0.000548942721767013, "a2v_loss": 1.0622441658794815e-05, "v2a_loss": 7.688193923333976e-05, "original_match_loss": 8.75043811106075e-05, "d_pos": 1.0622441666886406e-05, "d_neg": 1.2704454928234068e-05, "g_match": 2.0820132356568647e-06, "cram_loss": 0.6931461359894573, "weighted_cram_loss": 0.6931461359894573, "total_loss": 9.656904167976244, "AUD_cIoU": 0.804, "AUD_AUC": 0.6165999999999999, "IQR_cIoU": 0.804, "IQR_AUC": 0.6154}
