sample_index,sample_id,Stage1_IoU_AUD,Stage1_IoU_IMG,Stage1_IoU_IQR,Stage1_IoU_OBJ,Stage1_IoU_OGL,Stage1_AUD_IMG_raw_pearson,Stage1_AUD_IMG_raw_spearman,Stage1_AUD_IMG_raw_js,Stage1_AUD_IMG_norm_pearson,Stage1_AUD_IMG_norm_spearman,Stage1_AUD_IMG_norm_js,Stage1_AUD_IMG_mask_iou,Stage1_AUD_IMG_top10_overlap,Stage1_AUD_IMG_top20_overlap,Stage1_AUD_IMG_top30_overlap,Stage2_IoU_AUD,Stage2_IoU_IMG,Stage2_IoU_IQR,Stage2_IoU_OBJ,Stage2_IoU_OGL,Stage2_AUD_IMG_raw_pearson,Stage2_AUD_IMG_raw_spearman,Stage2_AUD_IMG_raw_js,Stage2_AUD_IMG_norm_pearson,Stage2_AUD_IMG_norm_spearman,Stage2_AUD_IMG_norm_js,Stage2_AUD_IMG_mask_iou,Stage2_AUD_IMG_top10_overlap,Stage2_AUD_IMG_top20_overlap,Stage2_AUD_IMG_top30_overlap,Stage2_categories
4344,mjhlzNVpnXs_000026,0.5081292204889297,0.5525658411248305,0.5297489855619515,0.36675170485208264,0.4908791759067172,0.9884360985575978,0.9894177471826192,4.2341821828782185e-05,0.9884360985575978,0.9894177471826192,0.0005739873637546921,0.8718974558166634,0.7844950213371266,0.8443443903335477,0.882213191622382,0.5499610141058053,0.5525658411248305,0.5567096068831107,0.36675170485208264,0.5233133379537797,0.977553991178703,0.979782597601373,7.463627873212055e-05,0.977553991178703,0.979782597601373,0.0015074834903495288,0.8882133900752337,0.8374221896741121,0.8081253941086388,0.8222867865141336,
4345,mlpF226Gvlo_000000,0.5879022269406738,0.5627168435181199,0.577773281400172,0.3805896871102147,0.5171802954125094,0.9941277700123026,0.9940372661475511,1.7331242021884874e-05,0.9941277700123026,0.9940372661475511,0.00036737105645319413,0.9377546664596996,0.6648971466489715,0.8328919733357685,0.8795105506305406,0.6214351770851558,0.5627168435181199,0.5983754512635379,0.3805896871102147,0.5211293213163295,0.9916559071239486,0.9929483813684131,5.38573783497408e-05,0.9916559071239486,0.9929483813684131,0.002126392698619515,0.8842013700119604,0.6662792628258343,0.8330593607305936,0.8866954941405026,
4346,mmkqzl_NHKs_000184,0.008821907737548245,0.011657276083155236,0.009887529353602768,0.0,0.009957266730282537,0.9676466678102845,0.9756529574860078,3.09574114352922e-05,0.9676466678102845,0.9756529574860078,0.002704154515516609,0.7564498346196251,0.7554661535770509,0.8076368876080692,0.803510453483496,0.008026755852842809,0.011657276083155236,0.00954843843246469,0.0,0.009098146252701013,0.9456983993022272,0.9512974006738232,3.4784730073531494e-05,0.9456983993022272,0.9512974006738232,0.00464023466444963,0.6874895551321902,0.7094191790154999,0.7110220782541983,0.6725555555555556,BOTH_FAIL
4347,mnWYh3iPoy8_000020,0.6576306529388766,0.6689633071623138,0.6662144976685036,0.771689497716895,0.7209142227729588,0.9870824117935151,0.9874830630865772,1.980335620352785e-05,0.9870824117935151,0.9874830630865772,0.0019651636374185505,0.831228102526277,0.9181957186544343,0.8779940119760479,0.8455219763378901,0.6713110114512126,0.6689633071623138,0.677701304733353,0.771689497716895,0.7331528969218771,0.9786018154650179,0.9832114173703835,3.160409774275914e-05,0.9786018154650179,0.9832114173703835,0.0013468497916058115,0.8350558081852005,0.6602150537634408,0.7585421412300684,0.7923438709293327,
4348,mo_x30i1gns_000099,0.6345792349726775,0.6758042485045452,0.6608077099586966,0.4041495276409167,0.6206729711897955,0.9884301707417353,0.9878995447124206,3.947490931235418e-05,0.9884301707417353,0.9878995447124206,0.002914248192152827,0.8810343029923887,0.8167994207096307,0.9045450232469874,0.9452090198358855,0.6260795867301638,0.6758042485045452,0.6724432073269283,0.4041495276409167,0.6312815425095976,0.9832272219053466,0.9854482124177174,5.915032507003987e-05,0.9832272219053466,0.9854482124177174,0.0061557233743958694,0.780081282250331,0.7137978142076503,0.8514897149709436,0.9108854331958108,
4349,momJJOUPFzU_000017,0.32031686386025493,0.3844466114090688,0.35142061281337045,0.5347355003186743,0.42067355785261756,0.927752484930537,0.9346440799013156,0.0001622893588733624,0.927752484930537,0.9346440799013156,0.008154448976606495,0.7722631320569465,0.4901262063845583,0.6544675239037256,0.7544289044289044,0.28975654570509873,0.3844466114090688,0.3420267852301686,0.5347355003186743,0.4004337287919377,0.8841310627778357,0.8894343168189109,0.00022517224978094928,0.8841310627778357,0.8894343168189109,0.014683563723066959,0.6757966815907295,0.5839646464646465,0.6650352550808794,0.6797411147687329,BOTH_FAIL
4350,mpNxnTHMCHs_000164,0.2827731224304052,0.2864500792393027,0.27228915662650605,0.26234012316437705,0.2877185485881138,0.9563819118063362,0.9711804537417106,8.07070420969845e-05,0.9563819118063362,0.9711804537417106,0.002282717846121259,0.7183698092971813,0.7579260816255036,0.8569710426496439,0.8651880304813828,0.30375235048132243,0.2864500792393027,0.27735761691619076,0.26234012316437705,0.30407898332877836,0.9166590493472003,0.9414484422551623,7.578077492956232e-05,0.9166590493472003,0.9414484422551623,0.005358425786145442,0.6051725111525214,0.7366326354040491,0.784971098265896,0.740533040411632,BOTH_FAIL
4351,mt6Pa7pBz_A_000210,0.6651757499149206,0.6619164619164619,0.6648179819203518,0.2877117289868968,0.6146763741899972,0.9945181896107647,0.9924475764122533,1.0882378744955727e-05,0.9945181896107647,0.9924475764122533,0.00044333999414182936,0.9571877081153077,0.7937444146559428,0.8612759643916914,0.8820955238809702,0.6527717154081187,0.6619164619164619,0.6574781060181006,0.2877117289868968,0.6035427774179082,0.9880529126796042,0.9841888292640016,3.3548614022190695e-05,0.9880529126796042,0.9841888292640016,0.0011318333187666629,0.93654349815405,0.7196710075394106,0.7918228887698625,0.791597238752678,
4352,muEqLs4xcvs_000030,0.4995100256294286,0.4889900227551199,0.49637309495896836,0.5149909537348152,0.5381682453042221,0.9723982847003783,0.9699032156448252,1.0586293704875413e-05,0.9723982847003783,0.9699032156448252,0.002690684744309675,0.8783412249885444,0.669328010645376,0.6097521854198412,0.7720878215315793,0.5101808344012531,0.4889900227551199,0.5018617394969791,0.5149909537348152,0.5430937900128041,0.9553829317283182,0.9560994683051909,1.738802433529569e-05,0.9553829317283182,0.9560994683051909,0.0022297487245446974,0.9306041868434776,0.3174061433447099,0.5763763449304956,0.7552472014925373,AUD_ONLY
4353,muQm_S77_E0_000070,0.6902214739023442,0.7221383035920018,0.7098612615400485,0.637551801083838,0.6954282876336356,0.9910244866957167,0.9900121766449649,2.2558815628291086e-05,0.9910244866957167,0.9900121766449649,0.0005313824392194856,0.9210900698681673,0.8197642792384406,0.8008254082181949,0.8729625482145079,0.748098318240621,0.7221383035920018,0.7391147431105153,0.637551801083838,0.726430888354086,0.9845634648250444,0.9857416677807387,4.593546250575666e-05,0.9845634648250444,0.9857416677807387,0.0012799488469575045,0.9104427887818766,0.8832801651341715,0.8145000903995661,0.8833906787613388,
