sample_id,IoU_STAGE1_AUD,IoU_SLOT_L3_POOLED,IoU_SLOT_L3_NATIVE_READOUT,IoU_SLOT_L4,IoU_STAGE1_AUD_L3_POOLED,IoU_STAGE1_AUD_L3_NATIVE_READOUT,IoU_STAGE1_AUD_L4,IoU_NATIVE_UPDATE_AUD,IoU_SLOT_L3_NATIVE_UPDATE,IoU_NATIVE_UPDATE_AUD_L3_NATIVE_UPDATE
10000130166,0.7189983880829304,0.6812172407338075,0.6807932692307692,0.5905156308382115,0.7379977520873474,0.7230515947205403,0.6980730654671449,0.6939811559555618,0.49481104879710675,0.6647403661823132
10007936344,0.7179313388606916,0.351027397260274,0.3142880563980654,0.715492377420684,0.608857437124157,0.6335292359796793,0.7379929577464789,0.7606700981489178,0.2514853033145716,0.709088916032447
10008553263,0.4435887309110058,0.3945437091629765,0.35863713703941313,0.44961065850474863,0.4658230586199438,0.4644712098146324,0.44598387312335724,0.40990624598655767,0.3030930047207406,0.4081404472342095
10009662863,0.6728871696459602,0.6289855442285365,0.6045556532350124,0.5845474311345465,0.6922427407627476,0.6768028486347666,0.6533344111227871,0.6748362660774876,0.487057879008638,0.6467894908971983
10013411946,0.5042490619612615,0.4491530865148772,0.43222977310995625,0.33370570949802075,0.5149538393498811,0.5001807135604014,0.4307376401832254,0.5328990574912583,0.4024914335484019,0.4664622829568732
10016382545,0.465823352873531,0.4586935519829572,0.45655211295225023,0.2665000337769371,0.40923475692456074,0.4487227218053726,0.3844900569479551,0.387626993735853,0.3966727179125911,0.3984051724137931
10031203703,0.7775113207041612,0.4328311497701323,0.5582284124928343,0.6085610407316935,0.7540062843676355,0.7447901343532412,0.7207783124440466,0.7494716715306431,0.5498768062862089,0.7067274434232632
10035917404,0.5503605886365851,0.5531837752096079,0.5916992862076905,0.49286236233623887,0.5359623515200322,0.5421193592399818,0.5300154184465283,0.6058784875284068,0.46175390948248424,0.5799460804645376
10045181004,0.5949987284902941,0.4776372248537197,0.4615304769044461,0.4749064686839708,0.5411532629657436,0.5532690409294555,0.5394182473828492,0.5968152556389759,0.35375621376569394,0.5314281094627915
10060697266,0.6835711816700409,0.5548537630907808,0.5777688741342797,0.5273080951668412,0.6746569310339307,0.6632828489562014,0.5922061575661218,0.789559154363016,0.5981787284826628,0.7743760008226946
10061269855,0.7451100335695636,0.5545594817582473,0.5636104929037907,0.4610592370235168,0.6622608644740117,0.652939874585024,0.6238389859850366,0.6757521752804277,0.5557475252432271,0.6621840498090554
10067897816,0.3728936214204487,0.36860428786097926,0.34279689202768304,0.5974044735511521,0.5954253208728698,0.45639265675219265,0.47548395676209654,0.2880390420118446,0.24527443071904514,0.27092019372499476
10069511285,0.8065406375051746,0.7011498507168061,0.6440285852713178,0.6576277439586792,0.7660298638559508,0.7585078005011721,0.742001282125998,0.7932368018706718,0.6517406419659015,0.7592281648269977
10079676496,0.7482165828558064,0.5454814184195902,0.5394789481978979,0.7229904707097037,0.6803110067222807,0.7060438213813048,0.7490376048548423,0.7932665595483008,0.5344430569716688,0.7099477596628841
10080652613,0.786957819339435,0.5088937732257772,0.5115031523061608,0.5422169811320755,0.5985830971828638,0.6981741666114388,0.6556684438185293,0.7207043438152861,0.5762932891842243,0.6730253504022669
