dataset,group,seed,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
vggss,C1,12345,13,-7tYmeOmsRg_000058,FarFP,0.4495391845703125,0.5268121800053894,3711
vggss,C1,12345,13,-7tYmeOmsRg_000058,HighAUDFP,0.18376116071428572,0.050982474774296335,1883
vggss,C1,12345,14,-7tYmeOmsRg_000180,FP,0.813812255859375,0.38673232908458866,3452
vggss,C1,12345,14,-7tYmeOmsRg_000180,NearFP,0.6691741943359375,0.4517330741820538,6174
vggss,C1,12345,14,-7tYmeOmsRg_000180,FarFP,0.905853271484375,0.38558786346396967,791
vggss,C1,12345,14,-7tYmeOmsRg_000180,HighAUDFP,0.4756610576923077,0.4052980132450331,3020
vggss,C1,12345,15,-86gl1hp1Aw_000105,FP,0.4136199951171875,0.39696466682475695,4217
vggss,C1,12345,15,-86gl1hp1Aw_000105,NearFP,0.4627532958984375,0.41834968263127525,5199
vggss,C1,12345,15,-86gl1hp1Aw_000105,FarFP,0.023834228515625,0.034524287434765155,2491
vggss,C1,12345,15,-86gl1hp1Aw_000105,HighAUDFP,0.6033653846153846,0.5842541436464088,724
vggss,C1,12345,16,-8cgbhIR_pw_000030,FP,0.2127838134765625,0.23962425277540564,5855
vggss,C1,12345,16,-8cgbhIR_pw_000030,NearFP,0.2332763671875,0.27334434048798384,5451
vggss,C1,12345,16,-8cgbhIR_pw_000030,FarFP,0.241729736328125,0.26819541375872386,6018
vggss,C1,12345,16,-8cgbhIR_pw_000030,HighAUDFP,0.09427288385826772,0.17629024016351558,1957
vggss,C1,12345,17,-A3zsFeU_OI_000030,FP,0.19879150390625,0.17500506380392952,4937
vggss,C1,12345,17,-A3zsFeU_OI_000030,NearFP,0.4539794921875,0.4056603773584906,4876
vggss,C1,12345,17,-A3zsFeU_OI_000030,FarFP,0.0016326904296875,0.003915104059344735,4853
vggss,C1,12345,17,-A3zsFeU_OI_000030,HighAUDFP,0.39057221283783783,0.2638204707170224,1827
vggss,C1,12345,18,-ANxUxvGASw_000010,FP,0.17901611328125,0.03071546808901968,5437
vggss,C1,12345,18,-ANxUxvGASw_000010,NearFP,0.375244140625,0.14959403848292738,8991
vggss,C1,12345,18,-ANxUxvGASw_000010,FarFP,0.127899169921875,0.0,5578
vggss,C1,12345,18,-ANxUxvGASw_000010,HighAUDFP,0.008409288194444444,0.01037463976945245,3470
vggss,C1,12345,19,-ByoSbgzr4M_000000,FP,0.7831268310546875,0.6284534772943792,3149
vggss,C1,12345,19,-ByoSbgzr4M_000000,NearFP,0.7792816162109375,0.6307544757033248,3128
vggss,C1,12345,19,-ByoSbgzr4M_000000,FarFP,,,0
vggss,C1,12345,19,-ByoSbgzr4M_000000,HighAUDFP,0.31873497596153844,0.27167630057803466,865
vggss,C1,12345,20,-CZ1LIc8aos_000020,FP,0.5357818603515625,0.13301775147928993,4225
vggss,C1,12345,20,-CZ1LIc8aos_000020,NearFP,0.475311279296875,0.23623730625334047,5613
vggss,C1,12345,20,-CZ1LIc8aos_000020,FarFP,0.5770111083984375,0.0,1241
vggss,C1,12345,20,-CZ1LIc8aos_000020,HighAUDFP,0.10341282894736842,0.12307692307692308,1755
vggss,C1,12345,21,-Cr0WQoFQQs_000045,FP,0.55767822265625,0.7758053911900066,6084
vggss,C1,12345,21,-Cr0WQoFQQs_000045,NearFP,0.5810699462890625,0.762042818911686,8968
vggss,C1,12345,21,-Cr0WQoFQQs_000045,FarFP,0.4253692626953125,0.594170403587444,2230
vggss,C1,12345,21,-Cr0WQoFQQs_000045,HighAUDFP,0.7445913461538461,0.8259966777408638,4816
vggss,C1,12345,22,-Cv3gOXEoxA_000040,FP,0.53631591796875,0.5843605546995377,7788
vggss,C1,12345,22,-Cv3gOXEoxA_000040,NearFP,0.4130859375,0.5304982817869416,6984
vggss,C1,12345,22,-Cv3gOXEoxA_000040,FarFP,0.6826171875,0.678998778998779,8190
vggss,C1,12345,22,-Cv3gOXEoxA_000040,HighAUDFP,0.4497767857142857,0.892328398384926,743
vggss,C1,12345,23,-D64b_8YJK4_000046,FP,0.4715728759765625,0.3100303951367781,9870
vggss,C1,12345,23,-D64b_8YJK4_000046,NearFP,0.536651611328125,0.5105670486679565,13438
vggss,C1,12345,23,-D64b_8YJK4_000046,FarFP,0.414459228515625,0.14665942422596415,1841
vggss,C1,12345,23,-D64b_8YJK4_000046,HighAUDFP,0.47036830357142856,0.3348327566320646,8670
vggss,C1,12345,24,-E5o64ACjm0_000017,FP,0.5633697509765625,0.3072100313479624,3509
vggss,C1,12345,24,-E5o64ACjm0_000017,NearFP,0.647491455078125,0.11444337811900192,4168
vggss,C1,12345,24,-E5o64ACjm0_000017,FarFP,0.5629425048828125,0.38999489535477283,3918
vggss,C1,12345,24,-E5o64ACjm0_000017,HighAUDFP,0.7029079861111112,,0
vggss,C1,12345,25,-FoTxwPOz3U_000000,FP,0.2801666259765625,0.37448840381991816,5864
vggss,C1,12345,25,-FoTxwPOz3U_000000,NearFP,0.4061431884765625,0.5087263275157816,8079
vggss,C1,12345,25,-FoTxwPOz3U_000000,FarFP,0.1244964599609375,0.12825788751714678,4374
vggss,C1,12345,25,-FoTxwPOz3U_000000,HighAUDFP,0.38448153409090907,0.4869908015768725,3805
vggss,C1,12345,26,-GOaBCyC5Js_000087,FP,0.8791351318359375,0.7113008720930233,5504
vggss,C1,12345,26,-GOaBCyC5Js_000087,NearFP,0.7947540283203125,0.7069819262193612,8078
vggss,C1,12345,26,-GOaBCyC5Js_000087,FarFP,0.999725341796875,1.0,114
vggss,C1,12345,26,-GOaBCyC5Js_000087,HighAUDFP,0.7200218023255814,0.7191546077684692,5252
vggss,C1,12345,27,-GW1J75oAKU_000304,FP,0.532608695652174,0.59375,256
vggss,C1,12345,27,-GW1J75oAKU_000304,NearFP,0.532608695652174,0.59375,256
vggss,C1,12345,27,-GW1J75oAKU_000304,FarFP,,,0
vggss,C1,12345,27,-GW1J75oAKU_000304,HighAUDFP,,,0
