dataset,state,term,cosine,base_norm,weighted_cram_norm
flickr,epoch1,base,-0.949140874224782,0.00081686659792425,0.000938550556113625
flickr,epoch1,base_view_a,-0.2917256416312337,0.000434776947036775,0.000938550556113625
flickr,epoch1,base_view_b,-0.8209687391789819,0.000808127834898575,0.000938550556113625
flickr,epoch1,coarse,-0.31174420332706965,0.000690845361969875,0.000938550556113625
flickr,epoch1,equiv,-0.6380265743198464,0.000888913560107525,0.000938550556113625
flickr,epoch1,negative_half,0.961070547776908,0.001625351062630525,0.000938550556113625
flickr,epoch1,positive_half,-0.8090743104036768,0.0007686413526031,0.000938550556113625
flickr,initial,base,0.20565161145156882,8.349049369624564e-05,1.1037976640605214e-05
flickr,initial,base_view_a,-0.11206236773917543,5.195695720023669e-05,1.1037976640605214e-05
flickr,initial,base_view_b,0.25697451371875274,8.894929611949201e-05,1.1037976640605214e-05
flickr,initial,coarse,-0.21766487483215502,2.7981656832392382e-05,1.1037976640605214e-05
flickr,initial,equiv,0.25004965623809117,9.266679813284232e-05,1.1037976640605214e-05
flickr,initial,negative_half,-0.1691777717941014,4.5420389916474687e-05,1.1037976640605214e-05
flickr,initial,positive_half,0.3822537701495946,4.843284878657129e-05,1.1037976640605214e-05
flickr,late,base,-0.9774078958584769,0.007911734929748601,0.008576633781677376
flickr,late,base_view_a,-0.9614557585591971,0.005689872953176225,0.008576633781677376
flickr,late,base_view_b,-0.8999440356942306,0.0025063137435180497,0.008576633781677376
flickr,late,coarse,-0.9465102705511541,0.005902851498195925,0.008576633781677376
flickr,late,equiv,-0.8348889549990037,0.002561898096723525,0.008576633781677376
flickr,late,negative_half,0.9842164569058716,0.012252441895377775,0.008576633781677376
flickr,late,positive_half,-0.8395134006405942,0.004111915655246275,0.008576633781677376
vggss,epoch1,base,-0.825648816154265,0.0005849209911865749,0.000600816880373525
vggss,epoch1,base_view_a,-0.622026464004608,0.000530332964435675,0.000600816880373525
vggss,epoch1,base_view_b,-0.5236260456754418,0.000294439062337475,0.000600816880373525
vggss,epoch1,coarse,-0.5690187163721325,0.000708398894136225,0.000600816880373525
vggss,epoch1,equiv,-0.1749122592917192,0.00045774422367824997,0.000600816880373525
vggss,epoch1,negative_half,0.900437398620753,0.00067670544702385,0.000600816880373525
vggss,epoch1,positive_half,-0.0160947311242431,0.00029457243917527503,0.000600816880373525
vggss,initial,base,0.6499910381046007,0.00010174144727691559,3.6487094286565255e-05
vggss,initial,base_view_a,0.3104039258898072,5.679506052566895e-05,3.6487094286565255e-05
vggss,initial,base_view_b,0.6692960980959932,7.223947745709415e-05,3.6487094286565255e-05
vggss,initial,coarse,0.04450262996563033,2.2646998739496924e-05,3.6487094286565255e-05
vggss,initial,equiv,0.6873247634144328,9.476604926200223e-05,3.6487094286565255e-05
vggss,initial,negative_half,0.8875190623119285,4.1500510567308774e-05,3.6487094286565255e-05
vggss,initial,positive_half,-0.02187579274610979,1.9599461359299973e-05,3.6487094286565255e-05
vggss,late,base,-0.9884938939291461,0.015378320543793376,0.014631411418906575
vggss,late,base_view_a,-0.9765041166929148,0.0075882740844578,0.014631411418906575
vggss,late,base_view_b,-0.9820276142488527,0.00793530484503995,0.014631411418906575
vggss,late,coarse,-0.963846416515399,0.007672499917584425,0.014631411418906575
vggss,late,equiv,-0.9518237743279668,0.008200936476238825,0.014631411418906575
vggss,late,negative_half,0.9968217595477011,0.01893398986755885,0.014631411418906575
vggss,late,positive_half,-0.9486070084490804,0.0044787817890740746,0.014631411418906575
