dataset,state,step,precision,group,base_norm,weighted_cram_norm,raw_cram_norm,total_norm,ratio,cosine,sum_relative_error
vggss,short,0,amp,all_student,9.756046075592475e-05,3.6846203532376905e-05,1.473848141295076e-09,0.0001241723436064,0.3776755792959831,0.6319290652652183,0.0003571965636087
vggss,short,0,amp,proj3_spatial,0.0,0.0,0.0,0.0,,,0.0
vggss,short,0,amp,adapter,9.756046075592475e-05,3.6846203532376905e-05,1.473848141295076e-09,0.0001241723436064,0.3776755792959831,0.6319290652652183,0.0003571965636087
vggss,short,0,amp,adapter_output_conv,9.756046075592475e-05,3.6846203532376905e-05,1.473848141295076e-09,0.0001241723436064,0.3776755792959831,0.6319290652652183,0.0003571965636087
vggss,short,0,amp,K34_activation,9.793767972534504e-06,3.208572169522293e-06,1.283428867808917e-10,1.0495894714997911e-05,0.3276136598825258,0.0628661523837151,0.0002129245037847
vggss,short,0,amp,F34_activation,5.2266338417021246e-06,1.5567548327864908e-06,6.227019331145963e-11,5.580150392401024e-06,0.2978503717565783,0.0858405005245865,0.0003919274697788
vggss,short,0,fp32,all_student,9.759932493135524e-05,3.6859338794106485e-05,1.4743735517642595e-09,0.0001242304888406,0.3776597719300912,0.6322504914914303,2.2483145224987767e-06
vggss,short,0,fp32,proj3_spatial,0.0,0.0,0.0,0.0,,,0.0
vggss,short,0,fp32,adapter,9.759932493135524e-05,3.6859338794106485e-05,1.4743735517642595e-09,0.0001242304888406,0.3776597719300912,0.6322504914914303,2.2483145224987767e-06
vggss,short,0,fp32,adapter_output_conv,9.759932493135524e-05,3.6859338794106485e-05,1.4743735517642595e-09,0.0001242304888406,0.3776597719300912,0.6322504914914303,2.2483145224987767e-06
vggss,short,0,fp32,K34_activation,9.797216876644637e-06,3.208789582401714e-06,1.2835158329606856e-10,1.049901452154457e-05,0.3275205216749948,0.0627841517814227,2.605114683096009e-08
vggss,short,0,fp32,F34_activation,5.228159042682304e-06,1.5569910409710746e-06,6.227964163884298e-11,5.581458156692868e-06,0.2978086604213672,0.0856740399543501,5.335891634403262e-07
vggss,short,1,amp,all_student,9.7646061103868e-05,3.4956083472976194e-05,1.3982433389190475e-09,0.0001236914151345,0.35798764515235,0.6654800295594622,0.0003581561319386
vggss,short,1,amp,proj3_spatial,4.118188826639981e-06,1.1777922137645453e-06,4.7111688550581805e-11,5.124743985867499e-06,0.285997622582426,0.8165065824205557,0.0020329171058166
vggss,short,1,amp,adapter,9.755918085904812e-05,3.4936235877250355e-05,1.397449435090014e-09,0.0001235852061416,0.3581030054744478,0.6652891095568102,0.0003484106374817
vggss,short,1,amp,adapter_output_conv,9.736621229340508e-05,3.4878585447163215e-05,1.3951434178865287e-09,0.0001233445794606,0.3582206252622775,0.6650921138546149,0.0003400293211991
vggss,short,1,amp,K34_activation,9.894567712077666e-06,3.1677902200365144e-06,1.2671160880146059e-10,1.0508235763598187e-05,0.3201544839770812,0.0396522238981585,0.0002123163986362
vggss,short,1,amp,F34_activation,5.199780356313903e-06,1.4989438593315754e-06,5.995775437326302e-11,5.504031234616117e-06,0.2882706107982932,0.0647822463407794,0.000392557611521
vggss,short,2,amp,all_student,9.428713212278976e-05,3.998113769427896e-05,1.599245507771158e-09,0.0001239208970721,0.4240359929731628,0.6456449703048976,0.0003642154957508
vggss,short,2,amp,proj3_spatial,7.79297755449705e-06,2.568187319105469e-06,1.0272749276421876e-10,9.90978041895613e-06,0.3295514841594096,0.7714005126641038,0.0010670016953234
vggss,short,2,amp,adapter,9.396452939687144e-05,3.98985687114573e-05,1.5959427484582921e-09,0.000123524025935,0.4246130850391481,0.6450843325767782,0.0003552171261067
vggss,short,2,amp,adapter_output_conv,9.328685009070012e-05,3.9652464482705146e-05,1.5860985793082061e-09,0.0001226681446184,0.4250595281559212,0.6451194152181299,0.0003469507680383
vggss,short,2,amp,K34_activation,9.938408583772176e-06,3.21955502808435e-06,1.28782201123374e-10,1.0575622352667276e-05,0.3239507614268713,0.0422896482452676,0.0002126611052474
vggss,short,2,amp,F34_activation,5.292620660971628e-06,1.5057276285181028e-06,6.022910514072412e-11,5.600913137424779e-06,0.2844956638629904,0.0684621267474341,0.0003905877583144
vggss,short,3,amp,all_student,0.0001099434000714,3.622296496809375e-05,1.4489185987237496e-09,0.0001356774942359,0.3294692081974942,0.628825352822369,0.0003598184639857
vggss,short,3,amp,proj3_spatial,1.292858855424911e-05,3.617475664174853e-06,1.4469902656699413e-10,1.5883041399159288e-05,0.2798043768657123,0.7702502490429745,0.0007435289573991
vggss,short,3,amp,adapter,0.0001091805972564,3.604187926425104e-05,1.4416751705700415e-09,0.000134744615618,0.3301124940688393,0.6272456806509885,0.0003515492100144
vggss,short,3,amp,adapter_output_conv,0.0001074606651931,3.554344767143418e-05,1.421737906857367e-09,0.0001326843572484,0.3307577484986048,0.6275396824133692,0.0003447807537414
vggss,short,3,amp,K34_activation,1.069187435684302e-05,3.180991999219962e-06,1.2723967996879848e-10,1.1363866945136635e-05,0.2975149064657743,0.0691352432563763,0.0002131850681809
vggss,short,3,amp,F34_activation,5.6543584161519725e-06,1.5709177078088424e-06,6.28367083123537e-11,6.011458481676604e-06,0.2778242184509268,0.0955879225436065,0.000382452100198
vggss,short,4,amp,all_student,0.0001111167990546,4.141938676078004e-05,1.6567754704312016e-09,0.0001421862639671,0.3727553989420166,0.6686066195004908,0.0003598702277897
vggss,short,4,amp,proj3_spatial,1.6815179043907464e-05,5.202271784034317e-06,2.080908713613727e-10,2.1191472620380048e-05,0.309379505888712,0.7959354769606939,0.0005956338572654
vggss,short,4,amp,adapter,0.0001098371193443,4.1091385568317376e-05,1.6436554227326951e-09,0.000140598204644,0.3741120107080962,0.6663688330492655,0.0003526881245034
vggss,short,4,amp,adapter_output_conv,0.0001070042626126,4.014798784026583e-05,1.605919513610633e-09,0.0001370752835815,0.3751998926024477,0.6666444599144248,0.0003465493855266
vggss,short,4,amp,K34_activation,1.0286599957865672e-05,3.179603191690244e-06,1.2718412766760975e-10,1.0952230283203193e-05,0.3091014722759732,0.0615664242791947,0.0002128600886434
vggss,short,4,amp,F34_activation,5.475829871823682e-06,1.5211848467327077e-06,6.084739386930829e-11,5.822499917361545e-06,0.2777998736885682,0.0962114254293093,0.0003850497099018
vggss,short,5,amp,all_student,0.0001098660799425,3.705192144160261e-05,1.4820768576641044e-09,0.0001378747542362,0.3372462316029166,0.68366332006801,0.0003556968147992
vggss,short,5,amp,proj3_spatial,2.037094804017729e-05,5.724171242229649e-06,2.28966849689186e-10,2.5214780958665e-05,0.2809968014713875,0.8063676195337506,0.000522812979341
