region,GT,count,fraction_within_region
P,FG,28439867,0.6247369897693787
P,BG,17083077,0.3752630102306213
NA,FG,3618399,0.4960124611787619
NA,BG,3676577,0.503987538821238
NI,FG,3754588,0.5146813368542953
NI,BG,3540388,0.48531866314570465
