group,count,P_FG_purity,P_FG_recall,P_non_empty_rate,NA_BG_purity,NA_BG_coverage,NA_non_empty_rate
ALL,5158,0.6230818003158717,0.4577253668132187,1.0,0.5104917154218975,0.018872660639759203,0.7853819309810004
AUD_SUCCESS,2202,0.8967390641486523,0.3722915132376585,1.0,0.20957292202926964,0.01083629511778688,0.7797456857402362
IMG_ONLY,168,0.7707371210745583,0.5417995403183122,1.0,0.5752278645833334,0.0209797038806498,0.7440476190476191
AUD_ONLY,271,0.8144965277777778,0.3308928675453327,1.0,0.23152051903735632,0.01315612855119103,0.7490774907749077
BOTH_SUCCESS,1931,0.9082811290665741,0.3781014733529461,1.0,0.20663014647270317,0.010511758834357284,0.7840497151734852
BOTH_FAIL,2788,0.3980461515184389,0.5201808170732789,1.0,0.7407251013929084,0.02508938862105432,0.7923242467718795
OGL_RESCUE,357,0.7148289534998027,0.5296526862292235,1.0,0.5089566814365671,0.018221971734212115,0.7507002801120448
IMG_ONLY_SHRINK,125,0.7583323040674603,0.5755979123303955,1.0,0.586340206185567,0.020683547843739384,0.776
