sample_id,IoU_STAGE1_AUD,IoU_SLOT_L3_POOLED,IoU_SLOT_L3_NATIVE_READOUT,IoU_SLOT_L4,IoU_STAGE1_AUD_L3_POOLED,IoU_STAGE1_AUD_L3_NATIVE_READOUT,IoU_STAGE1_AUD_L4,IoU_NATIVE_UPDATE_AUD,IoU_SLOT_L3_NATIVE_UPDATE,IoU_NATIVE_UPDATE_AUD_L3_NATIVE_UPDATE,IoU_ORIGINAL_G_AUD,IoU_ORIGINAL_HR14,IoU_AUD_24,IoU_OWN14_24,IoU_ORIGINAL_G_L3_POOLED,IoU_ORIGINAL_G_L3_NATIVE_READOUT,IoU_ORIGINAL_G_L4,IoU_ORIGINAL_HR_FUSION,IoU_SAME_24_FUSION,IoU_CROSS_FUSION,IoU_OBJ_PRIOR,IoU_OGL,IoU_CROSS_A0.5,IoU_CROSS_A0.6,IoU_CROSS_A0.7,IoU_CROSS_A0.8,IoU_CROSS_A0.9
-0BIyqJj9ZU_000030,0.2903851751237023,0.15300105946842324,0.1921546081726517,0.22160024650780608,0.22623501340324623,0.24275905838910686,0.2803190241613887,0.30087774294670844,0.30941497683835933,0.36432169655123825,0.299209068494028,0.25482158810237004,0.30306664937759337,0.2699038698545723,0.2170293438839433,0.24389114070642734,0.30645869070890014,0.3166204308093995,0.3170499603489294,0.3167684837092732,0.42272030651340997,0.34181855912565284,0.310846723087616,0.3167684837092732,0.31849853899752756,0.31584777559406824,0.3054894202072365
-0UuUoXQUoI_000107,0.5905364405138468,0.2539492458214431,0.25094398179278954,0.39546014939444485,0.48371520078837155,0.48922002328288705,0.5279876854184159,0.4899285512453074,0.2722952358601267,0.4590190062557278,0.6284455632473254,0.31785490931832394,0.6237985390234525,0.33239744189674,0.5022912546428054,0.49817526678061624,0.5467828041584715,0.5088318674129534,0.48585236027454826,0.5127184879920421,0.2959703984477235,0.45500074378935884,0.4735180134921774,0.5127184879920421,0.5593398876404494,0.5927870193618762,0.6202873714737674
-2-wdcN5vOw_000017,0.5842715724178952,0.6366956098352674,0.6549562122039521,0.3584955929042428,0.6256286672254819,0.6168416151697282,0.4642803103992391,0.7385542925328141,0.5730327801172488,0.5723231722849622,0.6180354539500095,0.2973875116827629,0.5684241706161137,0.32139954754112765,0.6756447587354409,0.6007431177166019,0.46691501044335826,0.42923714187090095,0.4188576219446654,0.4384309511015583,0.3897850673635831,0.5247595067467234,0.4102386866832271,0.4384309511015583,0.4812088006163856,0.5224122489017785,0.5708946507825274
-23CeprtibU_000030,0.35710555967790697,0.32581610635484093,0.3078658410257591,0.19735415311212318,0.44735006973500696,0.38587848932676516,0.34589896125512437,0.33782668500687757,0.333571404278475,0.3306717021850553,0.35660546925150854,0.2686449938532987,0.35590181322289005,0.24797249941594635,0.45558327921523056,0.39801103594475795,0.3471324717285945,0.3516082711085583,0.3544157455447778,0.3524320336000908,0.3822492636051958,0.39265782767186036,0.34669536886199676,0.3524320336000908,0.3579631935796319,0.36015294719551927,0.3589325621138425
-2Dm0VjW8oM_000001,0.54572940287226,0.37448182397959184,0.35124740547800254,0.46594997248910147,0.4848285682988279,0.4959994505683184,0.5075124538004178,0.557690099881367,0.2481209955643174,0.45187229956793085,0.5905244122965642,0.4375326939843069,0.5924218412332517,0.4496250969576834,0.5082350402761795,0.5026075402757018,0.5160258940554195,0.5049549002952716,0.5175540200503255,0.5158723812569966,0.5322961463867105,0.5793792781580585,0.5022164382447436,0.5158723812569966,0.5320168034235012,0.5498617086662569,0.5702383621011732
-2sOH8XovEE_000484,0.14277901480526584,0.053978656511535224,0.053853438787785715,0.1923987998104964,0.10332471804511278,0.11453948894707189,0.15902366863905326,0.19076200417536535,0.09615970318686491,0.1484746313523175,0.15380407338831847,0.23246199834637155,0.14751584130443557,0.20809610567069003,0.10455036338694142,0.11601642710472279,0.16776059117822556,0.1829512463710081,0.16988147803857773,0.17498922774931774,0.20038377192982457,0.1596767147225863,0.1804136433190187,0.17498922774931774,0.16923646802796685,0.16353467561521254,0.15836908011612288
-3Kv4fdm7Uk_000030,0.28273096552442456,0.1422172159061141,0.14028061290405933,0.7984952567877004,0.30717438044585266,0.2834246932915688,0.6856529426622885,0.21907730673316708,0.1569686771174682,0.23896298252563933,0.21268510538274701,0.6951449648310173,0.20628467208754464,0.7792273805489665,0.31044144556267156,0.32168039343485216,0.6248848987108656,0.6817953231078703,0.5049762812761603,0.5668789808917197,0.2927117841930904,0.26331360946745563,0.7362204724409449,0.5668789808917197,0.4059368924779423,0.3134707546625094,0.25686033308099926
-4bPiXbovf0_000008,0.40188945596698883,0.11259828933422071,0.12054213674566518,0.5634868660408936,0.29286144578313256,0.30746678882272105,0.5039132157717456,0.4531488746644642,0.16137780548628428,0.347924229021139,0.3683596786732314,0.6223573704025485,0.3320326049254249,0.5960594538541306,0.2857662794577053,0.28797650213907156,0.48084477101529643,0.4826318691417019,0.47168027503223037,0.4796014120380714,0.7401919732010565,0.5110013669033027,0.5088467691114451,0.4796014120380714,0.4504716009720334,0.4225261158594492,0.39510759094413683
-5CGQGSFGyg_000060,0.3332584522071212,0.12123330420671577,0.12622490061529892,0.692010692010692,0.3329681032383735,0.3157347504621072,0.5760016106301591,0.3153619776339023,0.14602732793522266,0.3646110858405354,0.2660986547085202,0.7274404304381246,0.27507880585944744,0.7170632617527568,0.41243243243243244,0.4036929206251915,0.5562793371012549,0.5673161656712034,0.5629780230419208,0.5522331206551757,0.40824329731892756,0.35866279772699794,0.5935010482180294,0.5522331206551757,0.4979726305119108,0.4321194464675892,0.3374083129584352
-5z9IXBJefc_000227,0.23012693662821565,0.13008564068048367,0.11820652173913043,0.26996999432325036,0.1626437507898395,0.17052726766833612,0.28453388418737924,0.24828644501278774,0.24528953649039065,0.28381194409148663,0.23364234851538357,0.2951856385148919,0.25735830698126977,0.290041527562902,0.20138496325607688,0.1698383401221996,0.29124657808639914,0.30333533653846156,0.2849851401989921,0.2887490165224233,0.1534697508896797,0.22880606908742726,0.29501994772320816,0.2887490165224233,0.28045606642706655,0.27110239852398527,0.25825762747466263
