dataset,method,rescue,hurt,net,oracle_cIoU,oracle_AUC
vggss_144k,Original HR14,430,684,-254,0.5102753005040713,0.469397053121365
vggss_144k,2.4 same-checkpoint,397,491,-94,0.49224505622334236,0.46196200077549443
vggss_144k,Cross-checkpoint,380,518,-138,0.5005816207832493,0.46482163629313694
