dataset,state,batch,term,loss,base_norm,weighted_cram_norm,raw_cram_norm,total_norm,ratio,cosine,sum_relative_error
vggss,initial,0,base,0.0005904909339733422,9.759932494082433e-05,3.6859338794106485e-05,1.4743735517642595e-09,0.00012423048681644143,0.3776597718934507,0.6322504917816117,2.762001039623143e-08
vggss,initial,0,coarse,3.906275742338039e-05,2.468552785436046e-05,3.6859338794106485e-05,1.4743735517642595e-09,4.508561299940562e-05,1.4931557879405701,0.035568144559452244,2.8754903140029353e-08
vggss,initial,0,equiv,0.0005514281801879406,8.835824334608067e-05,3.6859338794106485e-05,1.4743735517642595e-09,0.00011683337943050794,0.4171578949316161,0.6884383662860196,2.7568127173271415e-08
vggss,initial,0,positive_half,0.0001580535899847746,1.8446913683124777e-05,3.6859338794106485e-05,1.4743735517642595e-09,3.583494127083362e-05,1.9981303879480599,-0.30499443380773367,2.611545562676936e-08
vggss,initial,0,negative_half,-0.0003170244744978845,4.59745155387613e-05,3.6859338794106485e-05,1.4743735517642595e-09,8.126650729102817e-05,0.8017341425388208,0.924110794517445,2.893651445423952e-08
vggss,initial,0,base_view_a,0.0005904909339733422,5.739644513566069e-05,3.6859338794106485e-05,1.4743735517642595e-09,8.046655386413258e-05,0.6421885311361487,0.43058891347162476,2.7899187709807605e-08
vggss,initial,0,base_view_b,0.0005904909339733422,6.432351187192295e-05,3.6859338794106485e-05,1.4743735517642595e-09,9.068184077435438e-05,0.5730305718925693,0.5751077189219717,2.771440314526708e-08
vggss,initial,1,base,0.0006009784410707653,9.97630173207611e-05,3.4886952540205415e-05,1.3954781016082166e-09,0.00012585505865231848,0.3496982496834054,0.6708567405613918,2.775430346182248e-08
vggss,initial,1,coarse,3.806991298915818e-05,2.1770119624182698e-05,3.4886952540205415e-05,1.3954781016082166e-09,4.246799983891306e-05,1.6025154267619306,0.07405823667964946,2.6824870106369926e-08
vggss,initial,1,equiv,0.0005629085353575647,9.429831088914293e-05,3.4886952540205415e-05,1.3954781016082166e-09,0.00012110538383877298,0.36996370572553,0.6926363070264516,2.7813193026709762e-08
vggss,initial,1,positive_half,0.00016391344252042472,2.063583802921984e-05,3.4886952540205415e-05,1.3954781016082166e-09,3.445861341087213e-05,1.690600231054651,-0.3163825701696341,2.5705503104903805e-08
vggss,initial,1,negative_half,-0.0002977804106194526,4.58091536183787e-05,3.4886952540205415e-05,1.3954781016082166e-09,7.877384208249564e-05,0.7615716463752502,0.9040938206132988,2.8078792977923323e-08
vggss,initial,1,base_view_a,0.0006009784410707653,4.821343174202174e-05,3.4886952540205415e-05,1.3954781016082166e-09,6.771382852217243e-05,0.7235940541813525,0.31020091955564655,2.751671469063615e-08
vggss,initial,1,base_view_b,0.0006009784410707653,7.268770541377994e-05,3.4886952540205415e-05,1.3954781016082166e-09,0.00010063205532336593,0.47995671814936175,0.714988063613008,2.7872237511859107e-08
vggss,initial,2,base,0.0006245847907848656,9.724842100877694e-05,3.9347194067895314e-05,1.5738877627158126e-09,0.0001267020518882261,0.40460496591861494,0.6596126413959196,2.790013269102654e-08
vggss,initial,2,coarse,4.2611107346601784e-05,2.2046935516021148e-05,3.9347194067895314e-05,1.5738877627158126e-09,4.6186758848140495e-05,1.784701281468454,0.057031326426500877,2.7545477203953698e-08
vggss,initial,2,equiv,0.0005819736979901791,9.077505464898527e-05,3.9347194067895314e-05,1.5738877627158126e-09,0.00012139735394827906,0.43345822506023857,0.6927996170140797,2.7302287686389404e-08
vggss,initial,2,positive_half,0.00017641026352066547,2.073057401830959e-05,3.9347194067895314e-05,1.5738877627158126e-09,4.6649014295356816e-05,1.8980272342262792,0.1214751762422674,2.620363981516807e-08
vggss,initial,2,negative_half,-0.0003297697112429887,4.2187513153803204e-05,3.9347194067895314e-05,1.5738877627158126e-09,7.890639523063493e-05,0.9326739389555169,0.8729821168950681,2.9532313464019706e-08
vggss,initial,2,base_view_a,0.0006245847907848656,5.3552476475520326e-05,3.9347194067895314e-05,1.5738877627158126e-09,7.383912202710505e-05,0.7347408870228724,0.24586564763406804,2.733318185724804e-08
vggss,initial,2,base_view_b,0.0006245847907848656,7.172386362404496e-05,3.9347194067895314e-05,1.5738877627158126e-09,0.00010346168679522111,0.5485927846015314,0.7107756196662517,2.7520660901076924e-08
vggss,initial,3,base,0.0006911359378136694,0.00011235502583731326,3.485489174405382e-05,1.3941956697621526e-09,0.00013722087425623505,0.31022102913778565,0.6372442786794795,2.6967295845491943e-08
vggss,initial,3,coarse,4.139592783758417e-05,2.208541196342339e-05,3.485489174405382e-05,1.3941956697621526e-09,4.147417677667757e-05,1.5781861711150564,0.01135281219691898,2.791385347763304e-08
vggss,initial,3,equiv,0.0006497399881482124,0.00010563258816381378,3.485489174405382e-05,1.3941956697621526e-09,0.0001317068020304023,0.32996343599951616,0.6754247633311806,2.7951176347701837e-08
vggss,initial,3,positive_half,0.00014500996621791273,1.858451970654568e-05,3.485489174405382e-05,1.3941956697621526e-09,4.5765923219447444e-05,1.8754798237684631,0.41239865675066123,2.6867436288373027e-08
vggss,initial,3,negative_half,-0.0002882859262172133,3.2030859958291904e-05,3.485489174405382e-05,1.3941956697621526e-09,6.431403090981759e-05,1.0881659683642322,0.8488895172219018,2.83928361208949e-08
vggss,initial,3,base_view_a,0.0006911359378136694,6.801788874947305e-05,3.485489174405382e-05,1.3941956697621526e-09,8.396543150556476e-05,0.5124371306559239,0.25496022289788967,2.7301455608001937e-08
vggss,initial,3,base_view_b,0.0006911359378136694,8.022282891862873e-05,3.485489174405382e-05,1.3941956697621526e-09,0.00010692390626737478,0.43447597415702804,0.6763129901827415,2.7436030725388003e-08
vggss,epoch1,0,base,0.0007617825176566839,0.0005712263799809445,0.00056052805622233,2.24211222488932e-08,0.00038475684295116285,0.9812713065545549,-0.7690057349393868,2.4315326081703046e-08
vggss,epoch1,0,coarse,0.00043434076360426843,0.0007236405674991032,0.00056052805622233,2.24211222488932e-08,0.0006672597737377038,0.7745945727718266,-0.48396399741755014,2.6077560333713983e-08
vggss,epoch1,0,equiv,0.00032744178315624595,0.00042656013920985706,0.00056052805622233,2.24211222488932e-08,0.0006295259067101974,1.314065719456651,-0.20878886564557217,2.666554956904955e-08
vggss,epoch1,0,positive_half,0.00020068130106665194,0.0003034128376593275,0.00056052805622233,2.24211222488932e-08,0.0006167888046698209,1.8474104805403517,-0.07591699963072854,2.674763613407989e-08
vggss,epoch1,0,negative_half,-0.0007868401007726789,0.0006573243446944482,0.00056052805622233,2.24211222488932e-08,0.0011834165619002556,0.852741969389384,0.887786682240796,2.943704630781666e-08
vggss,epoch1,0,base_view_a,0.0007617825176566839,0.0004785835222261578,0.00056052805622233,2.24211222488932e-08,0.00046577745724716077,1.1712230576075888,-0.6081522933087512,2.442162359592842e-08
vggss,epoch1,0,base_view_b,0.0007617825176566839,0.00025271397418420634,0.00056052805622233,2.24211222488932e-08,0.0004603127781088531,2.218033482445075,-0.5865314573187294,2.4142109725796622e-08
vggss,epoch1,1,base,0.0007183885900303721,0.0005728310854698008,0.0005751324076629631,2.3005296306518524e-08,0.00027203589691007194,1.0040174534021227,-0.8876955573184468,2.1514597137701486e-08
vggss,epoch1,1,coarse,0.0003720391250681132,0.0007123196719356253,0.0005751324076629631,2.3005296306518524e-08,0.0005089455033880218,0.807407727628979,-0.7068367047733618,2.4393469498162754e-08
vggss,epoch1,1,equiv,0.0003463494940660894,0.0004544933853269656,0.0005751324076629631,2.3005296306518524e-08,0.000729098047875709,1.2654362554676324,-0.011013188873982912,2.8171365570178126e-08
vggss,epoch1,1,positive_half,0.00020516072981990874,0.00023919540471044364,0.0005751324076629631,2.3005296306518524e-08,0.0006410128659772635,2.4044458895821417,0.0832519007467792,2.63034888214778e-08
vggss,epoch1,1,negative_half,-0.0007284716120921075,0.0006042216222010156,0.0005751324076629631,2.3005296306518524e-08,0.001155208781395498,0.9518567137136066,0.9188958362588007,2.994549902811616e-08
vggss,epoch1,1,base_view_a,0.0007183885900303721,0.0005342997069543543,0.0005751324076629631,2.3005296306518524e-08,0.00039726038885967626,1.0764228394235242,-0.7459290188578599,2.3328131614947314e-08
vggss,epoch1,1,base_view_b,0.0007183885900303721,0.00029087431878508686,0.0005751324076629631,2.3005296306518524e-08,0.0005375068303400027,1.9772539908822302,-0.37799814686328703,2.4994767878104936e-08
vggss,epoch1,2,base,0.000785522279329598,0.0006126153506565972,0.0006496415712698432,2.598566285079373e-08,0.00031337290722139005,1.0604395899867045,-0.8783462223082206,2.2132454751884507e-08
vggss,epoch1,2,coarse,0.0004306608170736581,0.0006954454779873279,0.0006496415712698432,2.598566285079373e-08,0.0005897772657625371,0.9341373146173232,-0.6173675811165138,2.539038096006697e-08
vggss,epoch1,2,equiv,0.0003548614913597703,0.0004457866478414802,0.0006496415712698432,2.598566285079373e-08,0.0006924381336519328,1.4572925735112034,-0.24393747796787635,2.726605292690068e-08
