step,base_loss,coarse_loss,equiv_loss,cram_loss,d_pos,d_neg,gap,anchor_entropy,scale,amp
0,0.0005901867989450693,3.9068894693627954e-05,0.0005511178751476109,0.6931471824645996,1.2639568502947895e-08,2.535733401032303e-08,1.2717764619196714e-08,5.273623943328857,65536.0,True
1,0.0005980177083984017,3.7843296013306826e-05,0.0005601744051091373,0.6931471824645996,1.3096816964264235e-08,2.379869812330071e-08,1.0701880270858055e-08,5.273891448974609,65536.0,True
2,0.0006199625786393881,4.228713805787265e-05,0.000577675411477685,0.6931471824645996,1.407453353863275e-08,2.6329217917009373e-08,1.2254682602019784e-08,5.27381706237793,65536.0,True
3,0.0006826578755863011,4.086240369360894e-05,0.0006417954573407769,0.6931471824645996,1.1553256129559486e-08,2.2990040093873176e-08,1.143678574067053e-08,5.274203300476074,65536.0,True
4,0.0006525915232487023,3.963528070016764e-05,0.0006129562389105558,0.6931471824645996,1.254711445852763e-08,2.4923856756231544e-08,1.2376740521347074e-08,5.273741722106934,65536.0,True
5,0.0006267324788495898,3.7779464037157595e-05,0.0005889530293643475,0.6931471824645996,1.2465973142639086e-08,2.4539943410673004e-08,1.2073970268033918e-08,5.274044990539551,65536.0,True
6,0.0005892749177291989,3.641031798906624e-05,0.0005528645706363022,0.6931471824645996,1.149465944649819e-08,2.0360705121902356e-08,8.866045675404166e-09,5.2745256423950195,65536.0,True
7,0.0006228267448022962,4.1254654206568375e-05,0.0005815720651298761,0.6931471824645996,1.1091831453313716e-08,2.1742529554558132e-08,1.0650697213065996e-08,5.274101257324219,65536.0,True
8,0.0006091102259233594,3.752291013370268e-05,0.0005715872975997627,0.6931471824645996,1.2432648688331938e-08,2.6082496162871394e-08,1.3649848362717876e-08,5.27402400970459,65536.0,True
9,0.0006066371570341289,3.887125785695389e-05,0.0005677659064531326,0.6931471824645996,1.1305388625260093e-08,2.0090656249749372e-08,8.785268512667699e-09,5.274386882781982,65536.0,True
10,0.0006497211288660765,3.709096199600026e-05,0.0006126301595941186,0.6931471824645996,1.1256518384072933e-08,2.227649886776817e-08,1.1019980483695235e-08,5.274324417114258,65536.0,True
11,0.0005844910629093647,4.050150164403021e-05,0.0005439895903691649,0.6931471824645996,1.236570312812546e-08,2.190803982671241e-08,9.54233758676537e-09,5.274170398712158,65536.0,True
12,0.0006227317498996854,4.046896719955839e-05,0.0005822627572342753,0.6931471824645996,1.2164250939861176e-08,2.1817134765456103e-08,9.652884713773346e-09,5.274230480194092,65536.0,True
13,0.0006377552053891122,4.096313932677731e-05,0.0005967920878902078,0.6931471824645996,1.2475241284448657e-08,2.4184927838177828e-08,1.170968744190759e-08,5.274290084838867,65536.0,True
14,0.0005781771033070982,4.234833977534436e-05,0.000535828759893775,0.6931471824645996,1.2249099512473549e-08,2.2715372693937752e-08,1.0466273181464203e-08,5.274326324462891,65536.0,True
15,0.0005916372174397111,4.4041647925041616e-05,0.0005475955549627542,0.6931471824645996,1.097799984250969e-08,2.0936541389460217e-08,9.958540658772108e-09,5.274199485778809,65536.0,True
16,0.0005685695796273649,4.7065939725143835e-05,0.000521503621712327,0.6931471824645996,1.2133567928174216e-08,2.3948935279349826e-08,1.181536646299719e-08,5.274125099182129,65536.0,True
17,0.0006426323670893908,4.944487227476202e-05,0.0005931875202804804,0.6931471824645996,1.1050002690637939e-08,1.8282236169397947e-08,7.232233034670799e-09,5.2744340896606445,65536.0,True
