scale dataset         model       readout     cIoU      AUC    n  stored_cIoU  stored_AUC  replay_cIoU_error  replay_AUC_error  Delta_OGL  Delta_OGL_AUC
 144k   vggss  hard_default EXTRA_IQR_OGL 0.439511 0.434539 5158          NaN         NaN                NaN               NaN        NaN            NaN
 144k   vggss hard_adjusted           AUD 0.425359 0.427995 5158          NaN         NaN                NaN               NaN  -0.025010      -0.010712
 144k   vggss hard_adjusted     IMG_QUERY 0.388135 0.413116 5158          NaN         NaN                NaN               NaN        NaN            NaN
 144k   vggss hard_adjusted           IQR 0.421093 0.424302 5158          NaN         NaN                NaN               NaN        NaN            NaN
 144k   vggss hard_adjusted     OBJ_PRIOR 0.347809 0.392420 5158          NaN         NaN                NaN               NaN        NaN            NaN
 144k   vggss hard_adjusted           OGL 0.450368 0.438707 5158          NaN         NaN                NaN               NaN        NaN            NaN
 144k   vggss hard_adjusted EXTRA_IQR_OGL 0.438348 0.434451 5158          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr      baseline           AUD 0.812000 0.635600  250     0.812000    0.635600                0.0          0.000000  -0.056000      -0.023600
 144k  flickr      baseline     IMG_QUERY 0.804000 0.616600  250     0.804000    0.616600                0.0          0.000000        NaN            NaN
 144k  flickr      baseline           IQR 0.804000 0.636600  250     0.804000    0.636600                0.0          0.000000        NaN            NaN
 144k  flickr      baseline     OBJ_PRIOR 0.448000 0.466800  250     0.448000    0.466800                0.0          0.000000        NaN            NaN
 144k  flickr      baseline           OGL 0.868000 0.659200  250     0.868000    0.659600                0.0         -0.000400        NaN            NaN
 144k  flickr      baseline EXTRA_IQR_OGL 0.844000 0.653400  250     0.844000    0.653400                0.0          0.000000        NaN            NaN
 144k  flickr          mean           AUD 0.896000 0.653200  250          NaN         NaN                NaN               NaN   0.008000       0.010200
 144k  flickr          mean     IMG_QUERY 0.824000 0.605400  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr          mean           IQR 0.884000 0.641400  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr          mean     OBJ_PRIOR 0.448000 0.466800  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr          mean           OGL 0.888000 0.643000  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr          mean EXTRA_IQR_OGL 0.908000 0.650600  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr  hard_default           AUD 0.872000 0.643000  250          NaN         NaN                NaN               NaN  -0.008000      -0.002200
 144k  flickr  hard_default     IMG_QUERY 0.796000 0.597400  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr  hard_default           IQR 0.852000 0.630400  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr  hard_default     OBJ_PRIOR 0.448000 0.466800  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr  hard_default           OGL 0.880000 0.645200  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr  hard_default EXTRA_IQR_OGL 0.880000 0.648400  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr hard_adjusted           AUD 0.848000 0.655800  250          NaN         NaN                NaN               NaN  -0.052000      -0.004000
 144k  flickr hard_adjusted     IMG_QUERY 0.836000 0.630800  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr hard_adjusted           IQR 0.856000 0.650600  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr hard_adjusted     OBJ_PRIOR 0.448000 0.466800  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr hard_adjusted           OGL 0.900000 0.659800  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k  flickr hard_adjusted EXTRA_IQR_OGL 0.876000 0.663800  250          NaN         NaN                NaN               NaN        NaN            NaN
