sample_index,sample_id,IoU_AUD_L4,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_FINE
0,10000130166,0.7189983880829304,0.7258430869541981,0.7164594333730767,0.7232774466662953,0.7260794566330656
1,10007936344,0.7179313388606916,0.7001901907671028,0.6641986442847584,0.6706157853896464,0.6813805299797889
2,10008553263,0.4435887309110058,0.44848805244237683,0.4358682093853499,0.43971499380421314,0.44531282738968275
3,10009662863,0.6728871696459602,0.6907618697092381,0.6719763407170988,0.6916979018568782,0.6904605790386269
4,10013411946,0.5042490619612615,0.5075406604238542,0.5205281439451145,0.52997289517366,0.5165741955008575
5,10016382545,0.465823352873531,0.4908416676031015,0.44845534860165437,0.47586325373647137,0.4885334008666779
6,10031203703,0.7775113207041612,0.7828439348157331,0.753204265173138,0.7586936332679806,0.7745674428199376
7,10035917404,0.5503605886365851,0.5460945802337939,0.5704041879717555,0.5714475303428805,0.555342313634608
8,10045181004,0.5949987284902941,0.592179945343704,0.6043124645356535,0.6015597891640918,0.5964444153420532
9,10060697266,0.6835711816700409,0.7231348003048533,0.6890764470508189,0.7386434648848724,0.7305708696425396
10,10061269855,0.7451100335695636,0.7612004066178529,0.7396496932968738,0.7413795634367247,0.7546309238306825
11,10067897816,0.3728936214204487,0.36135279458882164,0.45377170458422367,0.40736995843163687,0.3731637379604441
12,10069511285,0.8065406375051746,0.8131307650569723,0.7853665400309554,0.8148389964715361,0.8183791013812306
13,10079676496,0.7482165828558064,0.7664927289679878,0.7459251674416263,0.7649707264781067,0.7716490191250103
14,10080652613,0.786957819339435,0.8427862632551805,0.7589006356420643,0.8116184478121105,0.8320781168492436
15,10106776154,0.3837295019263669,0.4421390638508089,0.228188013377552,0.3092098905195146,0.39605199807414543
16,10109936483,0.557789126734036,0.5378000410312521,0.5631638916455324,0.5530704543848491,0.5439903013508832
17,10110769444,0.6308862909019659,0.6811675599345294,0.6409573599085117,0.690235365892817,0.6855183269619969
